bbl,year,stmt_date,stmt_type,status,estimated_gross_income_raw,estimated_gross_income,estimated_expenses_raw,estimated_expenses,base_cap_rate_raw,base_cap_rate,overall_cap_rate_raw,overall_cap_rate,source_url
1015300015,2025,20250115,NPV,ok,"$1,035,859",1035859.0,"$304,138",304138.0,6.91%,0.0691,12.535%,0.12535,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1015300015&stmtDate=20250115&stmtType=NPV
1019080053,2025,20250115,NPV,ok,"$286,908",286908.0,"$140,355",140355.0,7.01%,0.0701,12.635%,0.12635,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1019080053&stmtDate=20250115&stmtType=NPV
5005900001,2025,20250115,NPV,ok,"$4,980,528",4980528.0,"$2,957,039",2957039.0,7.56%,0.0756,13.185%,0.13185,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=5005900001&stmtDate=20250115&stmtType=NPV
2028660072,2025,20250115,NPV,ok,"$249,745",249745.0,"$159,875",159875.0,9.05%,0.09050000000000001,14.675%,0.14675000000000002,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2028660072&stmtDate=20250115&stmtType=NPV
3014520051,2025,20250115,NPV,ok,"$337,325",337325.0,"$84,331",84331.0,7.04%,0.0704,12.665%,0.12664999999999998,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3014520051&stmtDate=20250115&stmtType=NPV
3008900015,2025,20250115,NPV,ok,"$274,333",274333.0,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3008900015&stmtDate=20250115&stmtType=NPV
3062730039,2025,20250115,NPV,ok,"$609,042",609042.0,"$359,145",359145.0,9.24%,0.0924,14.865%,0.14865,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3062730039&stmtDate=20250115&stmtType=NPV
3050260339,2025,20250115,NPV,ok,"$666,345",666345.0,"$334,591",334591.0,8.24%,0.0824,13.865%,0.13865,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3050260339&stmtDate=20250115&stmtType=NPV
3001197501,2025,20250115,NPV,not_found_pdf,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3001197501&stmtDate=20250115&stmtType=NPV
1022500050,2025,20250115,NPV,ok,"$1,365,142",1365142.0,"$414,108",414108.0,7.63%,0.07629999999999999,13.255%,0.13255,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1022500050&stmtDate=20250115&stmtType=NPV
4097110056,2025,20250115,NPV,ok,"$2,531,896",2531896.0,"$1,298,172",1298172.0,7.24%,0.0724,12.865%,0.12865000000000001,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=4097110056&stmtDate=20250115&stmtType=NPV
2037760066,2025,20250115,NPV,ok,"$522,954",522954.0,"$272,407",272407.0,8.13%,0.08130000000000001,13.75%,0.1375,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2037760066&stmtDate=20250115&stmtType=NPV
1021660074,2025,20250115,NPV,ok,"$748,762",748762.0,"$297,244",297244.0,6.97%,0.0697,12.595%,0.12595,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1021660074&stmtDate=20250115&stmtType=NPV
2029850013,2025,20250115,NPV,ok,"$730,583",730583.0,"$415,663",415663.0,8.08%,0.0808,13.705%,0.13705,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2029850013&stmtDate=20250115&stmtType=NPV
1002840027,2025,20250115,NPV,ok,"$269,402",269402.0,"$94,226",94226.0,7.25%,0.0725,12.875%,0.12875,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1002840027&stmtDate=20250115&stmtType=NPV
4021130034,2025,20250115,NPV,ok,"$2,846,791",2846791.0,"$1,138,347",1138347.0,7.29%,0.0729,12.915%,0.12915,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=4021130034&stmtDate=20250115&stmtType=NPV
3017750051,2025,20250115,NPV,ok,"$141,515",141515.0,"$70,758",70758.0,,,15.735%,0.15735,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3017750051&stmtDate=20250115&stmtType=NPV
1009017501,2025,20250115,NPV,not_found_pdf,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1009017501&stmtDate=20250115&stmtType=NPV
4014950068,2025,20250115,NPV,ok,"$784,206",784206.0,"$407,787",407787.0,7.21%,0.0721,12.835%,0.12835000000000002,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=4014950068&stmtDate=20250115&stmtType=NPV
1007671608,2025,20250115,NPV,parsed_empty,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1007671608&stmtDate=20250115&stmtType=NPV
3027570033,2025,20250115,NPV,ok,"$379,535",379535.0,"$169,311",169311.0,7.51%,0.0751,13.135%,0.13135,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3027570033&stmtDate=20250115&stmtType=NPV
1020690008,2025,20250115,NPV,ok,"$496,079",496079.0,"$284,948",284948.0,7.72%,0.07719999999999999,13.345%,0.13345,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1020690008&stmtDate=20250115&stmtType=NPV
2032670001,2025,20250115,NPV,ok,"$413,789",413789.0,"$248,273",248273.0,7.18%,0.0718,12.805%,0.12805,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2032670001&stmtDate=20250115&stmtType=NPV
1012700008,2025,20250115,NPV,ok,"$3,229,465",3229465.0,"$1,152,237",1152237.0,6.99%,0.0699,12.615%,0.12615,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1012700008&stmtDate=20250115&stmtType=NPV
3011460023,2025,20250115,NPV,ok,"$258,957",258957.0,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3011460023&stmtDate=20250115&stmtType=NPV
1012090109,2025,20250115,NPV,ok,"$2,615,132",2615132.0,"$914,218",914218.0,6.92%,0.0692,12.545%,0.12545,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1012090109&stmtDate=20250115&stmtType=NPV
3016227501,2025,20250115,NPV,not_found_pdf,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3016227501&stmtDate=20250115&stmtType=NPV
1011200038,2025,20250115,NPV,ok,"$806,681",806681.0,"$278,481",278481.0,7.08%,0.0708,12.705%,0.12705,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1011200038&stmtDate=20250115&stmtType=NPV
2028370031,2025,20250115,NPV,ok,"$1,187,245",1187245.0,"$593,623",593623.0,7.76%,0.0776,13.385%,0.13385,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2028370031&stmtDate=20250115&stmtType=NPV
2038110006,2025,20250115,NPV,ok,"$203,011",203011.0,"$50,788",50788.0,9.22%,0.0922,14.845%,0.14845,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2038110006&stmtDate=20250115&stmtType=NPV
4003730002,2025,20250115,NPV,ok,"$593,671",593671.0,"$212,486",212486.0,6.99%,0.0699,12.615%,0.12615,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=4003730002&stmtDate=20250115&stmtType=NPV
3053850056,2025,20250115,NPV,ok,"$286,706",286706.0,"$102,421",102421.0,6.98%,0.0698,12.605%,0.12605,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3053850056&stmtDate=20250115&stmtType=NPV
3020300015,2025,20250115,NPV,ok,"$861,446",861446.0,"$249,819",249819.0,9.47%,0.0947,14.313%,0.14313,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3020300015&stmtDate=20250115&stmtType=NPV
2026690042,2025,20250115,NPV,ok,"$388,737",388737.0,"$171,220",171220.0,7.79%,0.0779,13.415%,0.13415,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2026690042&stmtDate=20250115&stmtType=NPV
1021590024,2025,20250115,NPV,ok,"$327,414",327414.0,"$163,707",163707.0,7.65%,0.0765,13.275%,0.13275,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1021590024&stmtDate=20250115&stmtType=NPV
1018740061,2025,20250115,NPV,ok,"$1,650,735",1650735.0,"$796,331",796331.0,7.13%,0.0713,12.755%,0.12755,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1018740061&stmtDate=20250115&stmtType=NPV
3017342515,2025,20250115,NPV,parsed_empty,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3017342515&stmtDate=20250115&stmtType=NPV
3054880004,2025,20250115,NPV,ok,"$1,179,241",1179241.0,"$635,877",635877.0,7.76%,0.0776,13.38%,0.1338,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3054880004&stmtDate=20250115&stmtType=NPV
2022850048,2025,20250115,NPV,ok,"$405,713",405713.0,"$245,417",245417.0,7.75%,0.0775,13.37%,0.13369999999999999,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2022850048&stmtDate=20250115&stmtType=NPV
