term,estimate,std_error,t_value,p_value,spec,n,r2
high_evict_num,-0.2204,0.0072,-30.65,0,year_fe,227666,0.3642
log_units,0.4498,0.0296,15.21,0,year_fe,227666,0.3642
log_violations_p1,-0.2219,0.0052,-42.86,0,year_fe,227666,0.3642
high_evict_num,0.0874,0.0059,14.9,0,bg_x_year_fe,226255,0.6512
log_units,0.405,0.0232,17.48,0,bg_x_year_fe,226255,0.6512
log_violations_p1,-0.1616,0.0042,-38.6,0,bg_x_year_fe,226255,0.6512
filing_rate_eb_pre_covid,0.5513,0.0267,20.63,0,bg_x_year_fe_cont,226255,0.6519
log_units,0.4052,0.023,17.6,0,bg_x_year_fe_cont,226255,0.6519
log_violations_p1,-0.163,0.0042,-39.08,0,bg_x_year_fe_cont,226255,0.6519
high_evict_num,0.0814,0.011,7.39,0,bg_x_year_fe_rent,45262,0.6613
log_units,0.5087,0.0394,12.92,0,bg_x_year_fe_rent,45262,0.6613
longrun_rent,0.2923,0.0179,16.35,0,bg_x_year_fe_rent,45262,0.6613
filing_rate_eb_pre_covid,0.5811,0.0644,9.02,0,bg_x_year_fe_cont_rent,19008,0.7741
log_units,0.5253,0.0523,10.05,0,bg_x_year_fe_cont_rent,19008,0.7741
log_violations_p1,-0.0925,0.013,-7.13,0,bg_x_year_fe_cont_rent,19008,0.7741
log_rent,0.34,0.0269,12.65,0,bg_x_year_fe_cont_rent,19008,0.7741
