buyer,n_acquisitions,n_pids,total_units_acquired,median_price_per_unit
DEUTSCHE BANK NATIONAL TRUST COMPANY TR,171,169,210,8033.33333333333
FANNIE MAE,158,155,169,7850
STATESIDE-PHILLY LLC,149,149,171,20500
GIOVANNI REAL ESTATE LLC,144,142,171,20000
FEDERAL NATIONAL MORTGAGE ASSOCIATION,87,86,99,10000
GULLE JEAN PAUL,86,86,89,31875
FEDERAL HOME LOAN MORTGAGE CORPORATION,82,82,95,10000
US BANK NATIONAL ASSOCIATION TR,77,76,96,8062.76
PHILLY SFR II LLC,54,54,55,417507.055
U S BANK NATIONAL ASSOCIATION TR,51,50,68,20000
RAD DIVERSIFIED REIT INC,50,50,56,204000
PHILLY ACQUISITIONS LLC,49,47,51,29000
GREEN HOMES REAL ESTATE L P,47,47,47,21029
PHILLY SFR I LLC,46,46,49,347550.33
WELLS FARGO BANK NA,42,40,50,6350
SPECTOR MARK,39,39,39,27900
GILLER REALTY LLC,36,36,51,40000
GREEN HOMES REAL ESTATE LP,33,32,34,18333
FOTIADIS NIKOLAOS; OSEROFF AARON,33,33,33,22000
HOME 4 RENT,32,32,33,28750
