year,n_transfers,median_price,p25_price,p75_price,n_sheriff_deed,pct_sheriff
2006,18258,72000,35000,137000,1918,10.5
2007,15299,72000,34000,135000,1743,11.4
2008,11513,65000,27050,132000,1602,13.9
2009,9837,58200,20000,130000,1916,19.5
2010,10017,54500,20000,125000,2168,21.6
2011,8473,52734.08,21000,124000,1353,16
2012,8013,67500,26500,152000,136,1.7
2013,9655,68875,26000,155000,832,8.6
2014,10765,68000,25000,150000,1433,13.3
2015,12435,71000,25500,159000,1628,13.1
2016,15491,75000,28000,165000,2876,18.6
2017,15920,99000,40000,195000,2138,13.4
2018,15541,118000,50000,217900,1518,9.8
2019,14772,131400,60000,230000,1134,7.7
2020,11743,162000,78000,272000,257,2.2
2021,14914,2e+05,109000,315000,61,0.4
2022,12847,2e+05,111000,310000,234,1.8
2023,9566,190000,105000,305000,166,1.7
2024,4922,212500,125000,335000,76,1.5
