year,building_type,n_transfers,median_price
2006,COMMERCIAL,72,253500
2006,DETACHED,317,140000
2006,HIGHRISE_MULTI,4,16672794
2006,LOWRISE_MULTI,201,340000
2006,MIDRISE_MULTI,52,741262.5
2006,OTHER,164,50012.5
2006,ROW,13857,61000
2006,SMALL_MULTI_2_4,1847,127000
2006,TWIN,1744,128670
2007,COMMERCIAL,59,220000
2007,DETACHED,278,152500
2007,HIGHRISE_MULTI,6,12375000
2007,LOWRISE_MULTI,192,391250
2007,MIDRISE_MULTI,46,670625
2007,OTHER,129,35100
2007,ROW,11550,61225
2007,SMALL_MULTI_2_4,1600,114725
2007,TWIN,1439,127500
2008,COMMERCIAL,45,270000
2008,DETACHED,181,120000
2008,LOWRISE_MULTI,148,393044
2008,MIDRISE_MULTI,25,950000
2008,OTHER,92,90000
2008,ROW,8784,54000
2008,SMALL_MULTI_2_4,1143,117000
2008,TWIN,1095,124000
2009,COMMERCIAL,26,90000
2009,DETACHED,199,125000
2009,HIGHRISE_MULTI,3,2550000
2009,LOWRISE_MULTI,78,285000
2009,MIDRISE_MULTI,31,632500
2009,OTHER,75,23000
2009,ROW,7486,48000
2009,SMALL_MULTI_2_4,997,110000
2009,TWIN,942,105000
2010,COMMERCIAL,42,222500
2010,DETACHED,211,108800
2010,HIGHRISE_MULTI,3,11690267
2010,LOWRISE_MULTI,138,312914.5
2010,MIDRISE_MULTI,42,757500
2010,OTHER,55,45000
2010,ROW,7482,44262.5
2010,SMALL_MULTI_2_4,1082,1e+05
2010,TWIN,962,95500
2011,COMMERCIAL,40,116048.275
2011,DETACHED,149,145000
2011,HIGHRISE_MULTI,2,13911500
2011,LOWRISE_MULTI,127,4e+05
2011,MIDRISE_MULTI,42,8e+05
2011,OTHER,60,66930
2011,ROW,6250,43000
2011,SMALL_MULTI_2_4,998,88750
2011,TWIN,805,85000
2012,COMMERCIAL,35,281365
2012,DETACHED,172,156500
2012,HIGHRISE_MULTI,8,5861750
2012,LOWRISE_MULTI,149,595000
2012,MIDRISE_MULTI,55,6e+05
2012,OTHER,63,52000
2012,ROW,5846,53750
2012,SMALL_MULTI_2_4,943,135000
2012,TWIN,742,120000
2013,COMMERCIAL,47,225000
2013,DETACHED,222,150000
2013,HIGHRISE_MULTI,4,4709000
2013,LOWRISE_MULTI,172,480000
2013,MIDRISE_MULTI,49,925000
2013,OTHER,82,37250
2013,ROW,7018,55000
2013,SMALL_MULTI_2_4,1144,132750
2013,TWIN,917,105000
2014,COMMERCIAL,51,345000
2014,DETACHED,255,160000
2014,HIGHRISE_MULTI,6,31432500
2014,LOWRISE_MULTI,173,405000
2014,MIDRISE_MULTI,58,1312500
2014,OTHER,107,50000
2014,ROW,7838,52500
2014,SMALL_MULTI_2_4,1211,135000
2014,TWIN,1066,119900
2015,COMMERCIAL,66,318750
2015,DETACHED,237,150000
2015,HIGHRISE_MULTI,12,11587782.5
2015,LOWRISE_MULTI,167,550000
2015,MIDRISE_MULTI,48,1e+06
2015,OTHER,138,43250
2015,ROW,9405,59000
2015,SMALL_MULTI_2_4,1241,149120
2015,TWIN,1121,120000
2016,COMMERCIAL,54,377500
2016,DETACHED,258,150000
2016,HIGHRISE_MULTI,9,16350000
2016,LOWRISE_MULTI,170,439500
2016,MIDRISE_MULTI,48,1014187.5
2016,OTHER,210,29861.095
2016,ROW,11703,62000
2016,SMALL_MULTI_2_4,1515,142000
2016,TWIN,1524,125000
2017,COMMERCIAL,87,225000
2017,DETACHED,269,142000
2017,HIGHRISE_MULTI,3,6260225.96
2017,LOWRISE_MULTI,188,562500
2017,MIDRISE_MULTI,45,1600000
2017,OTHER,428,130250
2017,ROW,11589,78000
2017,SMALL_MULTI_2_4,1738,160000
2017,TWIN,1573,143000
2018,COMMERCIAL,76,250000
2018,DETACHED,263,197400
2018,HIGHRISE_MULTI,5,3.7e+07
2018,LOWRISE_MULTI,178,732500
2018,MIDRISE_MULTI,39,1950000
2018,OTHER,566,145000
2018,ROW,11227,95000
2018,SMALL_MULTI_2_4,1617,185000
2018,TWIN,1570,168000
2019,COMMERCIAL,100,525000
2019,DETACHED,288,212100
2019,HIGHRISE_MULTI,5,28141500
2019,LOWRISE_MULTI,208,620437
2019,MIDRISE_MULTI,46,1402500
2019,OTHER,562,178500
2019,ROW,10708,110000
2019,SMALL_MULTI_2_4,1450,204000
2019,TWIN,1405,185000
2020,COMMERCIAL,45,330000
2020,DETACHED,234,270000
2020,HIGHRISE_MULTI,7,20700000
2020,LOWRISE_MULTI,139,805000
2020,MIDRISE_MULTI,31,1550000
2020,OTHER,457,219500
2020,ROW,8524,138010
2020,SMALL_MULTI_2_4,1121,242000
2020,TWIN,1185,209900
2021,COMMERCIAL,86,625000
2021,DETACHED,284,280000
2021,HIGHRISE_MULTI,9,63150000
2021,LOWRISE_MULTI,230,1451000
2021,MIDRISE_MULTI,56,2120000
2021,OTHER,575,265000
2021,ROW,10708,170000
2021,SMALL_MULTI_2_4,1538,275000
2021,TWIN,1428,254250
2022,COMMERCIAL,68,737500
2022,DETACHED,259,275000
2022,HIGHRISE_MULTI,15,34700000
2022,LOWRISE_MULTI,178,1045000
