year,n_obs,n_pid,share_pct_black_nonmiss,share_pct_female_nonmiss,share_demog_cov_nonmiss,share_log_med_rent_nonmiss,share_log_total_area_nonmiss,share_census_tract_nonmiss,mean_total_severe_complaints,mean_total_units
2007,185607,185607,0.750634404952399,0.71524242081387,0.752493171054971,0.0404133464793892,0.965674785972512,0.998270539365434,0.0375329188792471,1.91854294288285
2008,185982,185982,0.685082427331677,0.651638330591133,0.68705035971223,0.0430149154219226,0.965362239356497,0.998274026518695,0.0405592447180349,1.92504113301198
2009,186397,186397,0.711073676078478,0.678428300884671,0.713096240819327,0.0416744904692672,0.964977977113366,0.998277869279012,0.046444270100057,1.93559445699081
2010,186894,186894,0.735133284107569,0.703864222500455,0.737450105407343,0.0453465600821856,0.964685864714758,0.998282448874763,0.0516959553247477,1.93913127227126
2011,187283,187283,0.754040676409498,0.7259655174255,0.756026975219321,0.0615912816432885,0.96443884388866,0.998286016349589,0.0599850251363782,1.94789169332122
2012,187790,187790,0.750103839395069,0.723712657756004,0.751967623409127,0.0675861334469354,0.96412482027797,0.998290643804249,0.0586333985823017,1.95985941743632
2013,188274,188274,0.760290852693415,0.736060210119294,0.761804603928317,0.0795648894696028,0.964015211872059,0.998295038082794,0.0607859723042384,1.97989632131667
2014,188780,188780,0.751822226930819,0.729854857506092,0.75336370378218,0.108560228837801,0.963857400148321,0.998299608009323,0.0643208455143068,1.99435851255329
2015,189368,189368,0.729167546787208,0.706492121160914,0.730688395082591,0.127888555616577,0.963557728866546,0.998304887837438,0.0708433607489488,2.01359258163803
2016,190037,190037,0.731062898277704,0.710377452811821,0.732520509164005,0.140346353604824,0.963554465709309,0.998300330988176,0.0796852435514984,2.02613701542494
2017,190821,190821,0.738393573034414,0.717939849387646,0.739860916775407,0.143925458937958,0.963374052122146,0.998307314184497,0.0739667642952372,2.03919903993902
2018,191474,191474,0.777562488901888,0.757324754274732,0.779061386924596,0.135851342741051,0.963352726740967,0.99830786425311,0.0793216544350346,2.05419534767438
2019,192043,192043,0.787443437146889,0.768374791062418,0.788786886270262,0.101466858984707,0.963237399957301,0.998312877845066,0.0697663502659852,2.0610644491065
