model,term,estimate,std_error,t_stat,p_value
B1,plaintiff_typeFor-profit corp,-0.082079862373702,0.00753381100988364,-10.8948661263232,1.31671417599003e-27
B1,plaintiff_typeNonprofit,-0.143671777098642,0.0173753824339834,-8.26869725857909,1.38968184308391e-16
B1,plaintiff_typePHA,-0.486684936236163,0.0187545265709978,-25.9502650943361,2.02495651876279e-147
B1,log_ongoing_rent,-0.250840026782806,0.00860764244747268,-29.1415481432382,4.93477912462535e-185
B2,plaintiff_typeFor-profit corp,-0.0456873095102055,0.0105538737236342,-4.32896116692147,1.50126944986257e-05
B2,plaintiff_typeNonprofit,-0.0674123734760911,0.0374743035854705,-1.79889596406611,0.0720416182013698
B2,plaintiff_typePHA,-0.516480250659634,0.0405258897838627,-12.7444518408895,3.86263074777642e-37
B2,owner_typeFor-profit corp,-0.0144393348007375,0.0109264809262142,-1.3214991082898,0.186341498632535
B2,owner_typeNonprofit,-0.0247252891711609,0.0366590295944542,-0.674466548751779,0.500018097467488
B2,owner_typePHA,0.0174837480806593,0.0471872477199153,0.370518496531858,0.710997884417012
B2,owner_typeReligious,-0.192858685568059,0.0891337935396395,-2.16369883867101,0.0304925438597746
B2,owner_typeTrust,-0.0836357329466937,0.0385955917699084,-2.1669763076907,0.0302417187239809
B2,owner_typeGovernment-Local,-0.0386050276889247,0.0799123622291028,-0.483092060002519,0.62903264497503
B2,owner_typeFinancial-Intermediary,-0.0868110411942558,0.0494349449984861,-1.7560663048561,0.0790836674898545
B2,high_filer_bldgTRUE,-0.145670636748651,0.00672826130029059,-21.6505617494908,1.95002947317752e-103
B2,total_units_conglomerate_yr_net_parcel_binsmall landlord,0.0164647019496464,0.008388160657914,1.96285009564193,0.0496695446850638
B2,total_units_conglomerate_yr_net_parcel_binmedium landlord,0.0402116137297353,0.0113198736494355,3.552302346744,0.000382253262726434
B2,total_units_conglomerate_yr_net_parcel_binlarge landlord,-0.0123820589045764,0.0148074391814798,-0.836205285250339,0.403043720648721
B2,log_ongoing_rent,-0.234411576239121,0.00855548390667171,-27.3989851183429,5.68890589920818e-164
B3,plaintiff_typeFor-profit corp,-0.0172881523146202,0.0104904414692503,-1.64799092252651,0.0993629319120023
B3,plaintiff_typeNonprofit,-0.0548518411725169,0.0363006239495002,-1.51104403188287,0.130785679351293
B3,plaintiff_typePHA,-0.526797990568986,0.0402364261399949,-13.092564154085,4.42672389967538e-39
B3,owner_typeFor-profit corp,0.0254386828010791,0.011956745645304,2.12755908302441,0.0333801789511484
B3,owner_typeNonprofit,-0.00072561186624437,0.0356779836568803,-0.0203378047712189,0.983774006637237
B3,owner_typePHA,0.0770129523114043,0.0470436180268513,1.6370541965426,0.101627557201731
B3,owner_typeReligious,-0.129230278343339,0.0814591602122868,-1.58644255608035,0.112647405230234
B3,owner_typeTrust,-0.0448754959214086,0.040259967154849,-1.11464313293668,0.265010539833085
B3,owner_typeGovernment-Local,0.0653000774658328,0.11504837931782,0.567587982143076,0.570318175551589
B3,owner_typeFinancial-Intermediary,-0.0553292191502544,0.0470470874474632,-1.17603920140731,0.239586695279817
B3,plaintiff_is_ownerTRUE,-0.0131146009093432,0.0116137237344721,-1.12923307021814,0.258806767571611
B3,high_filer_bldgTRUE,-0.124872589968723,0.00709312451661195,-17.6047367667485,4.30746576269839e-69
B3,total_units_conglomerate_yr_net_parcel_binsmall landlord,-0.0149252421864482,0.00893299175994901,-1.67079995006436,0.09476956339725
B3,total_units_conglomerate_yr_net_parcel_binmedium landlord,0.00309579193418606,0.0128654821122531,0.240627743847828,0.809844964024312
B3,total_units_conglomerate_yr_net_parcel_binlarge landlord,-0.0308943589344548,0.0170335133411792,-1.81373967399705,0.0697258226696815
B3,log_ongoing_rent,-0.26059338854489,0.00890993323088405,-29.2475130612212,6.03571287134242e-186
B3,pct_black,0.0047487432106644,0.0143666455496306,0.330539456427705,0.740994235524351
B3,num_units_bin2-5,-0.0703753940502905,0.0105073028419473,-6.69776013015798,2.14628829790273e-11
B3,num_units_bin21-50,-0.145718001871512,0.0249619385927767,-5.83760757722874,5.33920396190741e-09
