model,term,estimate,std_error,t_stat,p_value
Case Black prob.,(Intercept),0.737070589190738,0.0149056997029309,49.4489090670336,0
Case Black prob.,case_race_black_prob,0.10393965968926,0.0188923011963009,5.50169397625371,3.78571909057355e-08
+ FE + controls,case_race_black_prob,-0.00358448665380684,0.00769103289606566,-0.466060502177865,0.641174855649013
+ FE + controls,plaintiff_typeFor-profit corp,-0.0285192160520341,0.0104117796429321,-2.73912981546762,0.00616306504365495
+ FE + controls,plaintiff_typeNonprofit,-0.0951666665767356,0.0354776257015494,-2.68244181212441,0.00731183511770957
+ FE + controls,owner_typeFor-profit corp,-0.000577294922902151,0.0111933843886854,-0.051574653639671,0.958867885982005
+ FE + controls,owner_typeNonprofit,-0.0274825901534748,0.0342336206456752,-0.802795311600988,0.422098054405247
+ FE + controls,owner_typeReligious,-0.197620952116304,0.0833091579545833,-2.3721395938732,0.0176903397262259
+ FE + controls,owner_typeTrust,-0.091544489304146,0.0352978534325671,-2.5934860169056,0.00950446908983492
+ FE + controls,owner_typeGovernment-Local,0.0394275641654048,0.131772571536797,0.299209188267187,0.764782069175989
+ FE + controls,owner_typeFinancial-Intermediary,-0.0957937593596736,0.0477126205542668,-2.00772370594738,0.0446796989570722
+ FE + controls,plaintiff_is_ownerTRUE,-0.00207157183615675,0.0112042012563179,-0.184892415689929,0.85331440281969
+ FE + controls,log_ongoing_rent,-0.311725483281821,0.00855062814796865,-36.4564424843895,4.54032264544702e-286
+ FE + controls,pct_black,-0.0166891867308167,0.0120416915957698,-1.3859503540748,0.165770165652186
+ Interactions,case_race_black_prob,-0.0181420338832199,0.010713841827783,-1.69332664928599,0.0904014735215602
+ Interactions,plaintiff_typeFor-profit corp,-0.0438878102552141,0.013201933734091,-3.32434710999069,0.000887092888774266
+ Interactions,plaintiff_typeNonprofit,-0.0991992314993938,0.0560601874074784,-1.7695130196115,0.076816288313922
+ Interactions,owner_typeFor-profit corp,-0.000929894603156476,0.0111832176113517,-0.0831508994524595,0.933731990354507
+ Interactions,owner_typeNonprofit,-0.0278193967096871,0.0344504059388669,-0.807520142405673,0.419371910036105
+ Interactions,owner_typeReligious,-0.201910497434242,0.0832274815643426,-2.42600753548149,0.0152705588611027
+ Interactions,owner_typeTrust,-0.0915157482760865,0.0355335852741863,-2.57547184079308,0.0100140722588232
+ Interactions,owner_typeGovernment-Local,0.0399379355510032,0.132037858077573,0.302473367354531,0.762292882246993
+ Interactions,owner_typeFinancial-Intermediary,-0.0954452973171192,0.0478092156934824,-1.99637864651544,0.0458998185443151
+ Interactions,plaintiff_is_ownerTRUE,-0.00258517647086054,0.011173616121986,-0.231364353548335,0.817032996662276
+ Interactions,log_ongoing_rent,-0.311606258842097,0.00855217842513482,-36.4358930966977,9.36786260950045e-286
+ Interactions,pct_black,-0.0141593929494979,0.0122406087080983,-1.15675562279268,0.247379461493866
+ Interactions,case_race_black_prob:plaintiff_typeFor-profit corp,0.0264402200997557,0.0135633948561947,1.94938069562135,0.0512572967105875
+ Interactions,case_race_black_prob:plaintiff_typeNonprofit,0.00887818074644242,0.0522818760676464,0.169813736885707,0.865157523918995
No tract FE,case_race_black_prob,0.00397092280086661,0.00872373680082483,0.455185993288009,0.648978027079857
No tract FE,plaintiff_typeFor-profit corp,-0.0440584174170281,0.0154138919554675,-2.85835774276335,0.00426070600148755
No tract FE,plaintiff_typeNonprofit,-0.0979789897946635,0.0385947111588694,-2.53866363687365,0.0111316147388432
No tract FE,owner_typeFor-profit corp,0.00310439936818114,0.0188017425785534,0.165112321648433,0.868856449796203
No tract FE,owner_typeNonprofit,0.0185264286706569,0.0392928156874776,0.471496591590946,0.637288849753265
No tract FE,owner_typeReligious,-0.182613916737653,0.110804297813941,-1.64807611564212,0.0993452886367219
No tract FE,owner_typeTrust,-0.0930550584992657,0.0515207538461553,-1.8061664776322,0.0709002181186887
No tract FE,owner_typeGovernment-Local,0.023070082580425,0.160364050162843,0.143860687959666,0.885611239115876
No tract FE,owner_typeFinancial-Intermediary,-0.0574572067507383,0.0415328643154334,-1.38341546382072,0.166545607714682
No tract FE,plaintiff_is_ownerTRUE,0.00217115480894016,0.0160317985081875,0.135428024986176,0.892274182100626
No tract FE,log_ongoing_rent,-0.320787831443622,0.0106195457396779,-30.2073025821678,4.13541816532185e-198
No tract FE,pct_black,0.0125143835409924,0.0119452720237162,1.04764324463656,0.294809643433881
