spec,owner_type,owner_label,estimate,std_error,conf_low,conf_high,p_value
Landlord only,For-profit corp,For-profit corporate owner,0.0474360136470316,0.00669984141618825,0.0343043244713026,0.0605677028227605,6.9261141979277e-12
Landlord only,Nonprofit,Nonprofit owner,0.0429810370000252,0.0139593568324768,0.0156206976083707,0.0703413763916797,0.00222657794537933
Landlord only,PHA,PHA owner,-0.0616394798425008,0.0143239008684876,-0.0897143255447365,-0.0335646341402651,2.13960964971548e-05
Landlord only,Religious,Religious owner,0.00845730714511612,0.025862517668601,-0.0422332274853419,0.0591478417755742,0.743838812937661
Landlord only,Trust,Trust owner,0.0327726595099995,0.0166236041381513,0.000190395399223012,0.0653549236207759,0.0493914392814073
Landlord only,Government-Local,Local government owner,-0.0376962515511404,0.0135442047026954,-0.0642428927684234,-0.0111496103338575,0.00564920295258834
Landlord only,Government-Federal,Federal government owner,-0.0674479902591705,0.0127412983779932,-0.0924209350800371,-0.0424750454383039,2.02414197456353e-07
Landlord only,Financial-Intermediary,Financial intermediary owner,0.0247226102837241,0.0304392811723182,-0.0349383808140195,0.0843836013814678,0.41718467317862
+ Neighborhood,For-profit corp,For-profit corporate owner,0.0506687083614536,0.00616578327896565,0.0385837731346809,0.0627536435882263,3.25899951337218e-15
+ Neighborhood,Nonprofit,Nonprofit owner,0.0526952818560125,0.0127679643556531,0.0276700717189324,0.0777204919930925,4.5121243656218e-05
+ Neighborhood,PHA,PHA owner,-0.0536552809476173,0.0106452025261008,-0.0745198778987748,-0.0327906839964598,7.18902783832299e-07
+ Neighborhood,Religious,Religious owner,0.000967795381168594,0.0270213706497863,-0.0519940910924125,0.0539296818547497,0.971447843043808
+ Neighborhood,Trust,Trust owner,0.0396894044576163,0.0148790498946182,0.0105264666641646,0.0688523422510681,0.00796766827217526
+ Neighborhood,Government-Local,Local government owner,-0.0211189697662426,0.0134714295569767,-0.047522971697917,0.00528503216543169,0.117782415302936
+ Neighborhood,Government-Federal,Federal government owner,-0.133538761861434,0.0443823763708523,-0.220528219548305,-0.0465493041745638,0.00279645233575174
+ Neighborhood,Financial-Intermediary,Financial intermediary owner,0.0215902810587553,0.02400686299975,-0.0254631704207546,0.0686437325382652,0.369039271628491
+ Building chars,For-profit corp,For-profit corporate owner,0.0203697763141344,0.00493218100497283,0.0107027015443877,0.0300368510838812,4.45938448837828e-05
+ Building chars,Nonprofit,Nonprofit owner,0.00595843898240092,0.0151068875051771,-0.0236510605277462,0.035567938492548,0.693492040601759
+ Building chars,PHA,PHA owner,-0.0991449335365008,0.0130204722513579,-0.124665059149162,-0.0736248079238393,2.0975672550533e-13
+ Building chars,Religious,Religious owner,-0.0225542323593521,0.023317309645239,-0.0682561592640205,0.0231476945453163,0.334018956228024
+ Building chars,Trust,Trust owner,0.0210014545808081,0.0141812294662422,-0.00679375517302655,0.0487966643346428,0.139448676028611
+ Building chars,Government-Local,Local government owner,-0.0161032236378844,0.0135920394490742,-0.0427436209580698,0.0105371736823009,0.236851275659118
+ Building chars,Government-Federal,Federal government owner,-0.104880547729929,0.0453757928896322,-0.193817101793608,-0.01594399366625,0.0213435955628232
+ Building chars,Financial-Intermediary,Financial intermediary owner,0.00937762804717317,0.0144289265633111,-0.0189030680169165,0.0376583241112629,0.516135422957656
