owner_type,rank_in_category,entity_id,primary_entity_name,max_holdings_pids,max_holdings_units,sample_pid_count,sample_pid_years,representative_conglomerate_id,total_entities_in_cg
Financial-Intermediary,1,117,FEDERAL NATIONAL MORTGAGE ASSOCIATION,343,416,1285,2076,117,1
Financial-Intermediary,2,1544,WELLS FARGO BANK NA,225,260,428,975,1544,1
For-profit corp,1,15168,WEST VILLAGE GROUP LLC,87,755,87,783,15168,2
For-profit corp,2,50564,VDBE WOODCREST LLC,20,696,20,170,50564,1
Government-Federal,1,576683,UNITED STATES OF AMERICA INC,26,53,26,234,576683,1
Government-Federal,2,580202,ADMIN OF VETERAN AFFAIRS,11,11,11,99,580202,1
Government-Local,1,566959,CITY OF PHILA,1655,1215,1655,14888,1,293
Government-Local,2,810245,SEPTA,278,820,278,2502,810245,1
Nonprofit,1,576224,TEMPLE UNIV COMMONWEALTH SYSTEM OF HIGHER ED,112,995,112,992,576224,1
Nonprofit,2,576729,GEDR UPENN LLC,146,757,146,1304,1303,42
PHA,1,4796,HLP PHILADELPHIA HOUSING,5543,9883,5544,49573,4796,30
PHA,2,22597,PHILADELPHIA HOUSING AUTHORITY DEVELOPMENT CORPORATION,4,61,4,19,4796,30
Person,1,140314,DOMB ALLAN,226,548,226,2034,986,34
Person,2,825045,SUMMIT PARK EAST,2,487,2,18,825045,1
Religious,1,654110,EVANGELICAL MANOR,1,159,1,9,654110,1
Religious,2,576320,TIOGA PRESBYTERIAN APARTMENTS INC,3,116,3,27,576320,1
Trust,1,565889,BIENENFELD JACK TR JACK BIENENFELD SEPARATE SHARE TRUST UND,2,108,2,18,565889,1
Trust,2,562833,2011 IRREVOCABLE TRUST FOR FAMILY OF HEN BIENENFELD JACK TR,1,74,1,9,562833,1
