year,series,value,panel
2011,Lower-filing (<=5%),35.8703337672146,ZIP x filing-rate corporate share
2012,Lower-filing (<=5%),36.045181982987,ZIP x filing-rate corporate share
2013,Lower-filing (<=5%),36.5380991268296,ZIP x filing-rate corporate share
2014,Lower-filing (<=5%),37.0321881806528,ZIP x filing-rate corporate share
2015,Lower-filing (<=5%),37.40536886458,ZIP x filing-rate corporate share
2016,Lower-filing (<=5%),37.9748951431524,ZIP x filing-rate corporate share
2017,Lower-filing (<=5%),38.6580569548216,ZIP x filing-rate corporate share
2018,Lower-filing (<=5%),39.4784282514946,ZIP x filing-rate corporate share
2019,Lower-filing (<=5%),40.0108619468572,ZIP x filing-rate corporate share
2011,High-filing (>5%),43.3360914467837,ZIP x filing-rate corporate share
2012,High-filing (>5%),43.7951525265064,ZIP x filing-rate corporate share
2013,High-filing (>5%),44.3578702061908,ZIP x filing-rate corporate share
2014,High-filing (>5%),45.3999399339273,ZIP x filing-rate corporate share
2015,High-filing (>5%),46.2769396015873,ZIP x filing-rate corporate share
2016,High-filing (>5%),47.0335032630472,ZIP x filing-rate corporate share
2017,High-filing (>5%),47.7922513999032,ZIP x filing-rate corporate share
2018,High-filing (>5%),48.1608288110508,ZIP x filing-rate corporate share
2019,High-filing (>5%),48.5110622305955,ZIP x filing-rate corporate share
