model,term,estimate,std_error,statistic,p_value
Year FE,log_hhi_units,0.0249767548422333,0.0270021714014048,0.924990604308729,0.35901162139022
+ Corp share,log_hhi_units,-0.0051300580661159,0.0375905489330306,-0.136472017880222,0.891946463520283
+ Corp share,share_corp_units,0.00314649573638287,0.00292203441842238,1.07681679467749,0.286262778464139
Market + year FE,log_hhi_units,-0.0259127996034803,0.0817584273747385,-0.316943469138777,0.752555503054495
Market + year FE,share_corp_units,0.00735104147725328,0.00260380359548165,2.82319353503062,0.0067231122526081
+ Income,log_hhi_units,-0.027963848139775,0.0829245042472283,-0.337220564580097,0.73733457183282
+ Income,share_corp_units,0.00742532008791194,0.00264118858572005,2.81135551170332,0.00698356619046996
+ Income,mean_log_income,-0.0190185951890331,0.0279069042702146,-0.681501430788648,0.498637410725129
+ Market size,log_hhi_units,0.006858719648339,0.0674242529461299,0.101724814864748,0.919374002701422
+ Market size,share_corp_units,0.00601928214438076,0.00245120664140679,2.45564043549025,0.0175110700352767
+ Market size,mean_log_income,-0.0365360745447106,0.0280940097144117,-1.3004934118026,0.199278065781681
+ Market size,log_total_units_market,0.229011654754095,0.110342508329274,2.0754617438159,0.0430051843049486
