year,n_markets,total_units,weighted_mean_hhi,market_typology
2011,55,346809,84.1221946577595,ZIP
2012,55,349263,83.0216035633598,ZIP
2013,55,353399,87.997019195241,ZIP
2014,55,356537,87.2299002609368,ZIP
2015,56,360902,86.7176157105182,ZIP
2016,56,364042,86.5234838677678,ZIP
2017,56,367468,85.4890926053521,ZIP
2018,57,371495,85.7909620528724,ZIP
2019,57,373892,85.1660484612202,ZIP
2011,384,346775,374.931024271583,Tract
2012,384,349229,372.820913495606,Tract
2013,384,353365,374.899011562173,Tract
2014,384,356503,377.665768682724,Tract
2015,384,360868,377.641519149475,Tract
2016,384,364006,373.681681630343,Tract
2017,384,367432,371.266293091287,Tract
2018,384,371457,374.183461201086,Tract
2019,384,373854,371.316712935055,Tract
2011,196,346809,262.765984210723,ZIP x property size
2012,196,349263,260.812936351327,ZIP x property size
2013,197,353399,264.716384857231,ZIP x property size
2014,197,356537,264.678062195591,ZIP x property size
2015,198,360902,261.945861087931,ZIP x property size
2016,198,364042,260.693804834163,ZIP x property size
2017,198,367468,258.529604319251,ZIP x property size
2018,199,371495,259.735742540749,ZIP x property size
2019,199,373892,256.817784974521,ZIP x property size
2011,144,208619,400.376752502557,ZIP x property size (SFH excluded)
2012,144,210809,396.220150774847,ZIP x property size (SFH excluded)
2013,145,214741,400.493556634026,ZIP x property size (SFH excluded)
2014,145,217643,399.081225932496,ZIP x property size (SFH excluded)
2015,146,221706,392.754286300183,ZIP x property size (SFH excluded)
2016,146,224500,389.499053476233,ZIP x property size (SFH excluded)
2017,146,227530,384.207872458929,ZIP x property size (SFH excluded)
2018,147,231260,384.277658984015,ZIP x property size (SFH excluded)
2019,147,233457,378.775806968238,ZIP x property size (SFH excluded)
