market_id,market_group,hhi_units_start,total_units_start,hhi_units_end,total_units_end,total_units_plot,log_hhi_units_start,log_hhi_units_end
00000__low,Lower-filing (<=5%),2896,25,2372.44897959184,28,28,7.97108575350561,7.77167802533898
08021__high,High-filing (>5%),10000,1,10000,1,1,9.21034037197618,9.21034037197618
11911__low,Lower-filing (<=5%),10000,107,10000,107,107,9.21034037197618,9.21034037197618
19050__high,High-filing (>5%),10000,1,10000,1,1,9.21034037197618,9.21034037197618
19102__high,High-filing (>5%),1342.58158277183,435,1093.92943239097,585,585,7.20234959382665,6.99753147668843
19102__low,Lower-filing (<=5%),266.60459569993,3974,259.249366391186,4125,4125,5.58576664578032,5.55779040309965
19103__high,High-filing (>5%),1065.98566803012,1113,847.790995453986,1931,1931,6.97165516001076,6.74263413778875
19103__low,Lower-filing (<=5%),72.3617716294296,12834,72.73254768498,13631,13631,4.28167814377394,4.28678898290781
19104__high,High-filing (>5%),90.2093806641358,2736,100.774978449786,3106,3106,4.50213342015485,4.61289009515836
19104__low,Lower-filing (<=5%),92.4960418526204,11772,75.1162288370526,13668,13668,4.52716585282035,4.31903663179018
19105__high,High-filing (>5%),10000,1,10000,1,1,9.21034037197618,9.21034037197618
19105__low,Lower-filing (<=5%),10000,7,10000,7,7,9.21034037197618,9.21034037197618
19106__high,High-filing (>5%),371.349862258953,330,792.091047932733,541,541,5.91714464319549,6.67467634471811
19106__low,Lower-filing (<=5%),92.4152626563115,6571,92.1396861647545,7269,7269,4.52629214526999,4.52330575343245
19107__high,High-filing (>5%),723.401548985245,1064,648.38926808171,1146,1146,6.58396446077261,6.47449123833915
19107__low,Lower-filing (<=5%),64.5790040590621,7349,71.4041441620814,8378,8378,4.16788934339427,4.26835590914693
19110__high,High-filing (>5%),10000,27,10000,27,27,9.21034037197618,9.21034037197618
19111__high,High-filing (>5%),72.9500261695201,3614,72.5534254814868,3614,3614,4.28977463370101,4.28432319367371
19111__low,Lower-filing (<=5%),34.484742518785,6157,34.6215752399707,6165,6165,3.54051698038546,3.54447704957863
19112__low,Lower-filing (<=5%),10000,1,9906.54411602636,213,213,9.21034037197618,9.20095083956483
19114__high,High-filing (>5%),436.933882489576,2346,437.14101527041,2346,2346,6.07978188499794,6.08025583244853
19114__low,Lower-filing (<=5%),71.8687247984685,2785,71.8570805004417,2786,2786,4.27484118815428,4.27467915325696
19115__high,High-filing (>5%),506.854997036312,1503,506.256366002716,1504,1504,6.22822496078407,6.22704319316187
19115__low,Lower-filing (<=5%),249.197592190999,4611,248.990954742035,4613,4613,5.51824612471172,5.51741656946768
19116__high,High-filing (>5%),427.367676930764,1354,504.858246638845,1363,1363,6.05764471281591,6.22427769014676
19116__low,Lower-filing (<=5%),100.046093032599,4224,99.9750801070382,4231,4231,4.60563101011833,4.60492095600326
19118__high,High-filing (>5%),2165.38461538462,520,2165.08875739645,520,520,7.6803532761063,7.68021663608423
19118__low,Lower-filing (<=5%),326.370017543183,1406,326.115043663845,1409,1409,5.78803176085354,5.7872502137884
19119__high,High-filing (>5%),158.28108001241,1911,155.424822990421,1960,1960,5.06437243992337,5.04616216128019
19119__low,Lower-filing (<=5%),62.091320763879,2870,62.9278952602819,2884,2884,4.1286062169154,4.14198955125065
19120__high,High-filing (>5%),60.4864605031244,3950,60.6261817016503,3950,3950,4.10241954665454,4.10472684105367
19120__low,Lower-filing (<=5%),17.7140309155764,5800,18.9644545043009,5875,5875,2.87435703264817,2.94256641144224
19121__high,High-filing (>5%),102.662759194971,2336,90.2168968563477,2719,2719,4.63144943379193,4.5022167360922
19121__low,Lower-filing (<=5%),673.944629890996,8257,518.482603993263,10352,10352,6.51314795604065,6.25090647646695
19122__high,High-filing (>5%),134.29242438936,487,251.040582726327,744,744,4.90001969381727,5.52561461023094
19122__low,Lower-filing (<=5%),523.352216236513,3552,289.688860431404,6036,6036,6.2602546910039,5.66880745195248
19123__high,High-filing (>5%),608.972921006251,790,503.214179548157,928,928,6.41177380203536,6.22101588374152
19123__low,Lower-filing (<=5%),94.6489714710326,4586,49.5598260838307,7639,7639,4.55017501094053,3.9031805475504
19124__high,High-filing (>5%),20.4686808841013,5422,27.494165377917,5432,5432,3.01889595617523,3.31397381408595
19124__low,Lower-filing (<=5%),13.5666686708339,7177,13.6213713325912,7181,7181,2.60761595150774,2.61163998086522
