year,market_group,n_markets,total_units,weighted_mean_hhi,weighted_mean_hhi_parcels,weighted_mean_top1,weighted_mean_top3,weighted_mean_corp_share,weighted_mean_log_rent,median_n_owners
2011,Lower-filing (<=5%),50,248916,113.493661823393,71.1312484445557,6.16874768998377,10.8249369265134,35.8703337672146,7.03907515314952,1915.5
2012,Lower-filing (<=5%),50,250985,111.634500903554,70.1152287371399,6.11152060880132,10.7360997669183,36.045181982987,7.06888891667584,1911.5
2013,Lower-filing (<=5%),50,254704,118.062071158228,73.800213975445,6.10434072491991,10.7285319429612,36.5380991268296,7.11417063530489,1913
2014,Lower-filing (<=5%),50,256647,116.172979858335,73.4096993838833,6.05267156834095,10.6367890526677,37.0321881806528,7.09537047947014,1909.5
2015,Lower-filing (<=5%),50,260353,115.279492544769,72.1189346589954,5.96574650570572,10.6332556183336,37.40536886458,7.13756954362975,1913.5
2016,Lower-filing (<=5%),50,263216,115.322063989737,71.5259538529775,5.99849553218649,10.6657649990882,37.9748951431524,7.18142897477163,1909
2017,Lower-filing (<=5%),50,266211,113.549508081192,71.8737937857728,5.98284819184782,10.6302895071954,38.6580569548216,7.20666633030499,1899.5
2018,Lower-filing (<=5%),51,270145,113.653536356611,73.0004202936562,5.95235891835866,10.6724166651243,39.4784282514946,7.19753094058934,1877
2019,Lower-filing (<=5%),51,272511,112.296774148536,72.911334139272,5.89554183133892,10.6182869682325,40.0108619468572,7.31249055887658,1887
2011,High-filing (>5%),52,97893,203.200735611914,36.6385227248906,7.19152544104277,14.8866619676586,43.3360914467837,6.71784822320347,518.5
2012,High-filing (>5%),52,98278,205.583539292615,36.6490477638919,7.25492989275321,15.1020574289261,43.7951525265064,6.74536136934297,517
2013,High-filing (>5%),52,98695,203.815028355024,36.9536446266094,7.21211814174984,15.1132276204468,44.3578702061908,6.77048714754925,518.5
2014,High-filing (>5%),52,99890,208.82348037758,37.664503924861,7.37911702873161,15.4499949944939,45.3999399339273,6.79913207589921,517.5
2015,High-filing (>5%),53,100549,211.759510863488,38.4384572717006,7.33672139951665,15.6033376761579,46.2769396015873,6.82258545329316,498
2016,High-filing (>5%),53,100826,211.806792031627,38.9717349954484,7.25110586555055,15.5098883224565,47.0335032630472,6.86348090986729,494
2017,High-filing (>5%),53,101257,210.264094479782,39.4798994621525,7.19851467059068,15.5209022586093,47.7922513999032,6.8982260710875,494
2018,High-filing (>5%),53,101350,208.677611777785,39.4601525435043,7.17118894918599,15.4711396151949,48.1608288110508,6.91953577043828,496
2019,High-filing (>5%),53,101381,208.652356570689,39.5333908088406,7.16899616298912,15.4644361369487,48.5110622305955,6.96223700573192,496
