market_id,market_group,hhi_units_start,total_units_start,hhi_units_end,total_units_end,total_units_plot,log_hhi_units_start,log_hhi_units_end
00000,All ZIPs,2896,25,2372.44897959184,28,28,7.97108575350561,7.77167802533898
08021,All ZIPs,10000,1,10000,1,1,9.21034037197618,9.21034037197618
11911,All ZIPs,10000,107,10000,107,107,9.21034037197618,9.21034037197618
19050,All ZIPs,10000,1,10000,1,1,9.21034037197618,9.21034037197618
19102,All ZIPs,237.297356831255,4409,222.47465527112,4710,4710,5.46931402486833,5.40481318622434
19103,All ZIPs,69.662723464443,13947,70.3459920635193,15562,15562,4.24366536070595,4.25342581055892
19104,All ZIPs,70.7462655820394,14508,60.0199577010907,16774,16774,4.25909975183753,4.09467713526507
19105,All ZIPs,7812.5,8,7812.5,8,8,8.96348029404466,8.96348029404466
19106,All ZIPs,84.830902094522,6901,83.771585396444,7810,7810,4.44065988790812,4.42809387357388
19107,All ZIPs,65.7361411192129,8413,68.5862070242838,9524,9524,4.1856488673835,4.22809145072986
19110,All ZIPs,10000,27,10000,27,27,9.21034037197618,9.21034037197618
19111,All ZIPs,26.6582688505889,9771,26.696653157179,9779,9779,3.28309937830574,3.28453820763086
19112,All ZIPs,10000,1,9906.54411602636,213,213,9.21034037197618,9.20095083956483
19114,All ZIPs,113.539397582595,5131,113.583621541728,5132,5132,4.73214989195605,4.73253931932331
19115,All ZIPs,198.44361557407,6114,198.266921294897,6117,6117,5.29050500725311,5.28961421018857
19116,All ZIPs,82.8081585175381,5578,87.537607649239,5594,5594,4.41652658935768,4.47206850273086
19118,All ZIPs,345.633722930139,1926,345.975763233998,1929,1929,5.84537961009234,5.84636872414756
19119,All ZIPs,49.7231577217231,4781,49.9464378621244,4844,4844,3.9064707747168,3.91095118848001
19120,All ZIPs,16.4140433925052,9750,16.8308244145316,9825,9825,2.79813727283173,2.82321199182365
19121,All ZIPs,442.394265144462,10593,349.683734148249,13071,13071,6.09220148706909,5.85702912925648
19122,All ZIPs,428.354491957907,4039,242.044970022887,6780,6780,6.05995110500829,5.48912353543393
19123,All ZIPs,85.5758563190912,5376,46.937814878919,8567,8567,4.44940319101639,3.84882363797416
19124,All ZIPs,8.76260272629117,12599,10.233030548063,12613,12613,2.17049297569184,2.32562077735014
19125,All ZIPs,22.4533162744973,5828,18.6844138661873,7394,7394,3.11143832151941,2.9276896932288
19126,All ZIPs,107.666450810383,2511,110.308747445134,2511,2511,4.67903802969541,4.70328322905447
19127,All ZIPs,53.5043856013887,2483,72.7024709323149,2796,2796,3.97976362440002,4.28637537202675
19128,All ZIPs,75.0568198070217,7328,71.693125,8000,8000,4.3182454241312,4.27239485737367
19129,All ZIPs,121.85810446063,2776,118.711304040822,2867,2867,4.80285728964135,4.77669452910175
19130,All ZIPs,87.4869257805285,11368,71.6595075607929,13607,13607,4.47148936254824,4.2719258399692
19131,All ZIPs,73.9654561204835,12506,72.4408208816415,12700,12700,4.30359817503219,4.28276996483452
19132,All ZIPs,65.0521572729447,8481,64.3229331097678,8838,8838,4.17518936771292,4.16391622566195
19133,All ZIPs,383.784764823867,4926,365.48891569688,5049,5049,5.95008188717306,5.90123595231925
19134,All ZIPs,9.23594852500944,12703,9.71613994617399,12750,12750,2.22310331817761,2.27378841471816
19135,All ZIPs,11.0975827694925,6454,11.8708606360777,6457,6457,2.40672731608909,2.47408671113876
19136,All ZIPs,47.1839329439044,6673,47.329456318159,6673,6673,3.85405343091017,3.85713285680716
19137,All ZIPs,181.196627391633,1276,174.460629748285,1289,1289,5.19958278080671,5.16169909869869
19138,All ZIPs,15.4787000787942,4701,16.0443306226718,4731,4731,2.73946489039744,2.77535555494254
19139,All ZIPs,37.4795596410616,11670,69.6573918763825,12423,12423,3.62379570812995,4.24358882347297
19140,All ZIPs,13.9592162406091,10798,14.5334088484935,10915,10915,2.63613995253529,2.67645005767064
19141,All ZIPs,41.3902224408076,6345,41.586216956391,6369,6369,3.7230446800107,3.72776878920389
19142,All ZIPs,21.2798858001452,5655,22.7024612980421,5659,5659,3.05776229792451,3.12247334583607
19143,All ZIPs,22.8779896800774,14317,23.7925198918419,14511,14511,3.13017529901838,3.16937124101915
19144,All ZIPs,62.4632519239074,12027,63.2512928645749,12308,12308,4.13457841460319,4.14711556794536
19145,All ZIPs,66.6537127985595,8871,66.465478849261,9131,9131,4.19951075097807,4.19668269782624
19146,All ZIPs,15.8624283511209,12033,16.8146664148037,14840,14840,2.7639533161585,2.82225150644675
19147,All ZIPs,15.1577802110317,11205,15.2525521177178,12895,12895,2.71851394541875,2.72474684103314
19148,All ZIPs,6.59995351115022,9324,6.7085469957416,9559,9559,1.88706260524245,1.90338238442619
19149,All ZIPs,5.05533364992141,10692,5.18462114878941,10692,10692,1.6204438542352,1.64569677224041
19150,All ZIPs,29.5733533264023,2858,29.654154838223,2858,2858,3.38687373042435,3.38960224507755
19151,All ZIPs,161.50654360334,6005,119.355288996464,6013,6013,5.08454565950963,4.78210466681313
19152,All ZIPs,64.2112297663456,6042,64.2267755410248,6044,6044,4.16217811387837,4.16242018825063
19153,All ZIPs,561.810711194115,2107,546.833798701799,2147,2147,6.33116498033765,6.304144914757
19154,All ZIPs,191.381313397562,2836,192.582373314288,2836,2836,5.25426784310091,5.26052397552002
19193,All ZIPs,10000,3,10000,3,3,9.21034037197618,9.21034037197618
91134,All ZIPs,10000,1,10000,1,1,9.21034037197618,9.21034037197618
