market_id,market_group,market_cluster,year,n_owners,total_units_market,total_parcels_market,hhi_units,hhi_parcels,share_top1,share_top3,share_corp_units,n_buildings,mean_log_rent,mean_log_income,share_with_rent,share_with_income,market_filing_rate,log_hhi_units,log_total_units_market
0000-__2-4,2-4,0000-,2015,1,4,1,10000,10000,100,100,100,1,7.9373746961633,,1,0,0,9.21034037197618,1.38629436111989
0000-__2-4,2-4,0000-,2016,1,4,1,10000,10000,100,100,100,1,7.86231852512766,,1,0,0,9.21034037197618,1.38629436111989
0000-__2-4,2-4,0000-,2017,1,4,1,10000,10000,100,100,100,1,7.40087491354901,,1,0,0.25,9.21034037197618,1.38629436111989
0000-__2-4,2-4,0000-,2018,1,4,1,10000,10000,100,100,100,1,7.40098547978809,1.82097156681451,1,1,0,9.21034037197618,1.38629436111989
0000-__2-4,2-4,0000-,2019,1,4,1,10000,10000,100,100,100,1,7.9585769038139,1.78074065107892,1,1,0,9.21034037197618,1.38629436111989
00000__2-4,2-4,00000,2011,3,10,3,3400,3333.33333333333,40,100,30,3,,3.59714732459013,0,1,0,8.13153071060425,2.30258509299405
00000__2-4,2-4,00000,2012,3,10,3,3400,3333.33333333333,40,100,30,3,,3.63606018773038,0,1,0,8.13153071060425,2.30258509299405
00000__2-4,2-4,00000,2013,3,10,3,3400,3333.33333333333,40,100,30,3,,4.13527542601827,0,0.666666666666667,0,8.13153071060425,2.30258509299405
00000__2-4,2-4,00000,2014,3,10,3,3400,3333.33333333333,40,100,30,3,,3.44164016526867,0,1,0,8.13153071060425,2.30258509299405
00000__2-4,2-4,00000,2015,3,10,3,3400,3333.33333333333,40,100,30,3,,3.3937432629464,0,1,0,8.13153071060425,2.30258509299405
00000__2-4,2-4,00000,2016,3,10,3,3400,3333.33333333333,40,100,30,3,,3.63382267530422,0,1,0,8.13153071060425,2.30258509299405
00000__2-4,2-4,00000,2017,3,10,3,3400,3333.33333333333,40,100,30,3,,3.50205798373275,0,1,0,8.13153071060425,2.30258509299405
00000__2-4,2-4,00000,2018,4,12,4,2638.88888888889,2500,33.3333333333333,83.3333333333333,41.6666666666667,4,7.57628961024044,3.9521006780144,0.75,1,0,7.87811323212657,2.484906649788
00000__2-4,2-4,00000,2019,4,12,4,2638.88888888889,2500,33.3333333333333,83.3333333333333,41.6666666666667,4,7.80390279724747,3.88750003220863,0.5,1,0,7.87811323212657,2.484906649788
00000__5-49,5-49,00000,2011,1,12,1,10000,10000,100,100,100,1,,4.51392846896797,0,1,0,9.21034037197618,2.484906649788
00000__5-49,5-49,00000,2012,1,12,1,10000,10000,100,100,100,1,8.19560956728878,,1,0,0,9.21034037197618,2.484906649788
00000__5-49,5-49,00000,2013,1,12,1,10000,10000,100,100,100,1,,,0,0,0,9.21034037197618,2.484906649788
00000__5-49,5-49,00000,2014,1,12,1,10000,10000,100,100,100,1,7.49276030092238,3.29353091222188,1,1,0,9.21034037197618,2.484906649788
00000__5-49,5-49,00000,2015,1,12,1,10000,10000,100,100,100,1,7.97246601597457,3.26687794002518,1,1,0,9.21034037197618,2.484906649788
00000__5-49,5-49,00000,2016,1,12,1,10000,10000,100,100,100,1,8.16051824747751,,1,0,0,9.21034037197618,2.484906649788
00000__5-49,5-49,00000,2017,1,12,1,10000,10000,100,100,100,1,,,0,0,0,9.21034037197618,2.484906649788
00000__5-49,5-49,00000,2018,1,12,1,10000,10000,100,100,100,1,,,0,0,0,9.21034037197618,2.484906649788
00000__5-49,5-49,00000,2019,1,12,1,10000,10000,100,100,100,1,8.16051824747751,3.60528994312997,1,1,0,9.21034037197618,2.484906649788
11911__50+,50+,11911,2011,1,107,1,10000,10000,100,100,0,1,6.73881643098819,3.04700221523592,1,1,0.00934579439252336,9.21034037197618,4.67282883446191
11911__50+,50+,11911,2012,1,107,1,10000,10000,100,100,0,1,,3.11541240046864,0,1,0,9.21034037197618,4.67282883446191
11911__50+,50+,11911,2013,1,107,1,10000,10000,100,100,0,1,,3.24332297470679,0,1,0,9.21034037197618,4.67282883446191
11911__50+,50+,11911,2014,1,107,1,10000,10000,100,100,0,1,,3.0385825600376,0,1,0,9.21034037197618,4.67282883446191
11911__50+,50+,11911,2015,1,107,1,10000,10000,100,100,0,1,7.19279394260857,2.92281553413729,1,1,0,9.21034037197618,4.67282883446191
11911__50+,50+,11911,2016,1,107,1,10000,10000,100,100,0,1,7.18916773842032,3.3246546759315,1,1,0,9.21034037197618,4.67282883446191
11911__50+,50+,11911,2017,1,107,1,10000,10000,100,100,0,1,7.19279394260857,3.22914785034901,1,1,0,9.21034037197618,4.67282883446191
11911__50+,50+,11911,2018,1,107,1,10000,10000,100,100,0,1,,3.31734978430913,0,1,0,9.21034037197618,4.67282883446191
11911__50+,50+,11911,2019,1,107,1,10000,10000,100,100,0,1,7.20785987143248,3.33966469239174,1,1,0,9.21034037197618,4.67282883446191
19027__2-4,2-4,19027,2018,1,6,2,10000,10000,100,100,0,2,7.82108465197,,0.5,0,0,9.21034037197618,1.79175946922806
19027__2-4,2-4,19027,2019,1,6,2,10000,10000,100,100,0,2,8.0127259268054,4.54075059111185,1,0.5,0,9.21034037197618,1.79175946922806
19102__2-4,2-4,19102,2011,205,731,244,94.7486811350386,93.7248051599035,6.56634746922025,10.2599179206566,29.2749658002736,244,7.35271278082693,4.5285620107273,0.0286885245901639,0.172131147540984,0.00410396716826265,4.55122792444654,6.59441345974978
19102__2-4,2-4,19102,2012,205,731,244,94.7486811350386,93.7248051599035,6.56634746922025,10.2599179206566,29.2749658002736,244,7.39953904380627,4.52807988195649,0.0327868852459016,0.176229508196721,0.00136798905608755,4.55122792444654,6.59441345974978
19102__2-4,2-4,19102,2013,205,731,244,94.7486811350386,93.7248051599035,6.56634746922025,10.2599179206566,29.5485636114911,244,7.3866731882083,4.69092384507533,0.0532786885245902,0.184426229508197,0.0027359781121751,4.55122792444654,6.59441345974978
19102__2-4,2-4,19102,2014,205,731,244,94.7486811350386,93.7248051599035,6.56634746922025,10.2599179206566,29.9589603283174,244,7.30259492942422,4.46191439456437,0.0819672131147541,0.188524590163934,0.0027359781121751,4.55122792444654,6.59441345974978
19102__2-4,2-4,19102,2015,204,731,244,95.0855320654021,94.0607363611935,6.56634746922025,10.2599179206566,30.3693570451436,244,7.46435159505951,4.49760003473526,0.0819672131147541,0.184426229508197,0,4.55477682407036,6.59441345974978
19102__2-4,2-4,19102,2016,204,731,244,95.0855320654021,94.0607363611935,6.56634746922025,10.2599179206566,30.3693570451436,244,7.46996768246273,4.60681017419847,0.10655737704918,0.172131147540984,0.00136798905608755,4.55477682407036,6.59441345974978
19102__2-4,2-4,19102,2017,204,731,244,95.0855320654021,94.0607363611935,6.56634746922025,10.2599179206566,29.5485636114911,244,7.503029693438,4.55264931221004,0.10655737704918,0.172131147540984,0.00136798905608755,4.55477682407036,6.59441345974978
19102__2-4,2-4,19102,2018,204,731,244,95.0855320654021,94.0607363611935,6.56634746922025,10.2599179206566,29.5485636114911,244,7.44007312083105,4.66006258845919,0.102459016393443,0.188524590163934,0.0027359781121751,4.55477682407036,6.59441345974978
19102__2-4,2-4,19102,2019,204,731,244,95.0855320654021,94.0607363611935,6.56634746922025,10.2599179206566,29.5485636114911,244,7.43828002647068,4.71729558847623,0.069672131147541,0.19672131147541,0.00410396716826265,4.55477682407036,6.59441345974978
19102__5-49,5-49,19102,2011,109,1580,123,140.338086845057,109.062066230418,3.67088607594937,9.62025316455696,55.1898734177215,123,7.63786877055825,4.01729060177345,0.0975609756097561,0.51219512195122,0.00822784810126582,4.94405441744575,7.36518012602101
19102__5-49,5-49,19102,2012,110,1590,124,138.973932993157,107.960457856399,3.64779874213837,9.55974842767296,54.8427672955975,124,7.31042873364798,4.00368332644451,0.185483870967742,0.475806451612903,0.0150943396226415,4.93428638312096,7.37148929521428
19102__5-49,5-49,19102,2013,110,1590,124,138.973932993157,107.960457856399,3.64779874213837,9.55974842767296,54.8427672955975,124,7.56260738561269,4.09858689978146,0.233870967741935,0.508064516129032,0.0163522012578616,4.93428638312096,7.37148929521428
19102__5-49,5-49,19102,2014,109,1590,124,140.00237332384,113.163371488033,3.64779874213837,9.55974842767296,55.6603773584906,124,7.44891782589369,4.29666006658304,0.346774193548387,0.524193548387097,0.020125786163522,4.94165937477876,7.37148929521428
19102__5-49,5-49,19102,2015,109,1590,124,140.00237332384,113.163371488033,3.64779874213837,9.55974842767296,55.6603773584906,124,7.47232054415883,4.25864895118797,0.338709677419355,0.524193548387097,0.0125786163522013,4.94165937477876,7.37148929521428
19102__5-49,5-49,19102,2016,109,1603,124,139.916228500134,113.163371488033,3.61821584529008,9.48222083593263,55.2089831565814,124,7.50645493622108,4.55375601647529,0.387096774193548,0.516129032258065,0.00873362445414847,4.94104387565962,7.37963215260955
19102__5-49,5-49,19102,2017,109,1590,124,140.00237332384,113.163371488033,3.64779874213837,9.55974842767296,55.9748427672956,124,7.56144746523604,4.43666417103743,0.370967741935484,0.524193548387097,0.00691823899371069,4.94165937477876,7.37148929521428
19102__5-49,5-49,19102,2018,109,1590,124,140.00237332384,113.163371488033,3.64779874213837,9.55974842767296,55.9748427672956,124,7.56379044743239,4.58775904366329,0.354838709677419,0.548387096774194,0.00566037735849057,4.94165937477876,7.37148929521428
19102__5-49,5-49,19102,2019,109,1590,124,140.00237332384,113.163371488033,3.64779874213837,9.55974842767296,58.7421383647799,124,7.54967999802727,4.55589084686193,0.225806451612903,0.524193548387097,0.00754716981132076,4.94165937477876,7.37148929521428
19102__50+,50+,19102,2011,16,2029,17,992.302107368247,657.439446366782,20.0591424346969,44.4061113849187,77.8708723509118,17,7.77381435735562,4.27820550100315,0.764705882352941,0.941176470588235,0.0162641695416461,6.90002760463884,7.61529833982582
19102__50+,50+,19102,2012,16,2029,17,992.302107368247,657.439446366782,20.0591424346969,44.4061113849187,77.8708723509118,17,7.77469058967868,4.3134693884757,0.764705882352941,0.941176470588235,0.00936421882700838,6.90002760463884,7.61529833982582
19102__50+,50+,19102,2013,16,2029,17,992.302107368247,657.439446366782,20.0591424346969,44.4061113849187,77.8708723509118,17,7.84099931903205,4.39847643429265,0.882352941176471,0.941176470588235,0.00936421882700838,6.90002760463884,7.61529833982582
19102__50+,50+,19102,2014,16,2029,17,992.302107368247,657.439446366782,20.0591424346969,44.4061113849187,77.8708723509118,17,7.79338506067176,4.52371931739366,0.882352941176471,0.941176470588235,0.00542138984721538,6.90002760463884,7.61529833982582
19102__50+,50+,19102,2015,16,2029,17,992.302107368247,657.439446366782,20.0591424346969,44.4061113849187,77.8708723509118,17,7.82865338977557,4.46162270346848,0.764705882352941,0.941176470588235,0.0059142434696895,6.90002760463884,7.61529833982582
