year,market_group,n_markets,total_units,weighted_mean_hhi,weighted_mean_hhi_parcels,weighted_mean_top1,weighted_mean_top3,weighted_mean_corp_share,weighted_mean_log_rent,median_n_owners
2011,2-4,48,89766,42.62555335316,44.2674626554394,3.22616580888087,5.05202415168327,26.4042064924359,6.76282994163233,676.5
2012,2-4,48,90117,41.8562197835092,43.4429245108875,3.20139374368876,5.05010153467159,26.7629858961128,6.80098837337902,673.5
2013,2-4,48,90533,41.4292114039881,43.0206820286176,3.19110158726652,5.05119680116643,27.0718964355539,6.83037664188094,673
2014,2-4,48,90925,41.0074239192915,42.6478374102404,3.18174319494089,5.0701127302722,27.5292823755843,6.8694278795667,671.5
2015,2-4,49,91340,41.0567294299889,42.6659302213549,3.17385592292533,5.07554193124589,28.053426757171,6.91482094049737,655
2016,2-4,49,91903,40.7812827423378,42.4628254394231,3.17617488003656,5.07926835903072,28.4125654222387,6.949907526527,658
2017,2-4,49,92656,40.3894951360819,42.0958831173846,3.17842341564497,5.12217233638404,29.1972457261268,6.99922347841274,656
2018,2-4,50,93347,40.9225065750243,42.6374401461479,3.20631621798237,5.17102852796555,29.9024071475248,7.01562080997967,651
2019,2-4,50,94030,40.4202060906139,42.0543572280172,3.22237583749867,5.22067425289801,30.5179198128257,7.04514887066742,654
2011,5-49,49,67264,276.002490397025,182.444223110584,7.71437916270219,15.8598953377735,57.6965390104662,6.96585949115332,63
2012,5-49,49,68420,274.201701044556,181.608692335172,7.65857936275943,15.8111663256358,57.8456591639871,6.99697649909543,63
2013,5-49,49,70119,267.309202732971,177.429720369207,7.47301016842796,15.4294841626378,57.519359945236,7.00699108487365,63
2014,5-49,49,71116,263.31043234339,175.732343589449,7.39917880645706,15.2483266775409,57.8519601777378,7.02974546957929,63
2015,5-49,49,72856,257.856382363308,172.833829668517,7.24717250466674,14.9925881190293,57.8662018227737,7.08228581394529,64
2016,5-49,49,73973,256.275030134219,171.795527511741,7.2161464318062,14.9486974977357,58.341557054601,7.12518139015491,64
2017,5-49,49,75517,240.536967744679,164.417932495753,6.99842419587643,14.7079465550803,58.8092747328416,7.14168834143326,64
2018,5-49,49,76727,237.600066523274,163.355822339266,6.94540383437382,14.6193647607752,59.3767513391635,7.14859110642646,64
2019,5-49,49,78078,231.392402409332,160.005127832854,6.85340300724916,14.4663029278414,60.1949332718564,7.20427423991534,63
2011,50+,47,51589,1185.03636034747,987.241282326704,19.4324371474539,43.0770125414333,70.7534551939367,7.08063612943653,8
2012,50+,47,52272,1166.85675736524,975.897648117958,19.1842669115396,42.6595500459137,70.2651515151515,7.07400367363363,8
2013,50+,48,54089,1174.14302469406,984.692015444854,19.2238717669027,42.0399711586459,71.1623435448982,7.15091311243273,8
2014,50+,48,55602,1158.28658194367,960.850862863839,19.1917556922413,41.6585734326103,72.1628718391425,7.17043583028425,8
2015,50+,48,57510,1122.23049102542,946.895627178902,18.6889236654495,40.7077030081725,72.0466005912015,7.19573765283434,8
2016,50+,48,58624,1104.27781238787,935.552144330883,18.2979667030568,40.2139055676856,72.7807723799127,7.26085002979846,8
2017,50+,48,59357,1103.69220085376,944.66519383071,18.4662297622858,40.1553313004364,73.4100443081692,7.23238995493655,8
2018,50+,48,61186,1092.04258966517,930.711100871571,18.5107704376818,39.7231392802275,73.655738240774,7.24706670342753,8
2019,50+,48,61349,1084.94833808811,925.918690717356,18.3735676213141,39.4986063342516,73.521980798383,7.36126972091436,8
