market_id,market_group,hhi_units_start,total_units_start,hhi_units_end,total_units_end,total_units_plot,log_hhi_units_start,log_hhi_units_end
00000__1,1,3333.33333333333,3,2500,4,4,8.11172808330807,7.82404601085629
00000__2-4,2-4,3400,10,2638.88888888889,12,12,8.13153071060425,7.87811323212657
00000__5-49,5-49,10000,12,10000,12,12,9.21034037197618,9.21034037197618
08021__1,1,10000,1,10000,1,1,9.21034037197618,9.21034037197618
11911__50+,50+,10000,107,10000,107,107,9.21034037197618,9.21034037197618
19050__1,1,10000,1,10000,1,1,9.21034037197618,9.21034037197618
19102__1,1,455.786599453895,69,455.786599453895,69,69,6.12202471632212,6.12202471632212
19102__2-4,2-4,94.7486811350386,731,95.0855320654021,731,731,4.55122792444654,4.55477682407036
19102__5-49,5-49,140.338086845057,1580,140.00237332384,1590,1590,4.94405441744575,4.94165937477876
19102__50+,50+,992.302107368247,2029,818.162901307967,2320,2320,6.90002760463884,6.7070614626291
19103__1,1,38.7899362614705,419,38.6334538756987,422,422,3.65816083828142,3.65411858183749
19103__2-4,2-4,38.1945263967509,2149,38.7014456241484,2162,2162,3.64269221730265,3.65587695396723
19103__5-49,5-49,48.2795604899508,6184,48.7067183974554,6266,6266,3.87700829283145,3.88581697534687
19103__50+,50+,353.24000181562,5195,279.424999396239,6712,6712,5.86714771774051,5.63273391811095
19104__1,1,174.005841369257,2763,168.227352743766,2810,2810,5.15908886973872,5.12531635467292
19104__2-4,2-4,34.4538387865616,5109,32.8027724218755,5374,5374,3.53962042192116,3.49051303687524
19104__5-49,5-49,106.780991735537,4400,81.5935121940176,5366,5366,4.67077993068144,4.40174975138292
19104__50+,50+,743.189185902503,2236,521.822990105228,3224,3224,6.61095063667055,6.25732843096016
19105__1,1,10000,1,10000,1,1,9.21034037197618,9.21034037197618
19105__5-49,5-49,10000,7,10000,7,7,9.21034037197618,9.21034037197618
19106__1,1,74.9182230663712,351,62.7342773844234,392,392,4.3163971595473,4.13890798700581
19106__2-4,2-4,95.0331719562482,2145,93.6333310463089,2163,2163,4.55422600913874,4.53938642101677
19106__5-49,5-49,74.5140097492914,2958,70.4163777188008,3158,3158,4.31098715803233,4.25442587415911
19106__50+,50+,1209.34144422915,1447,807.582374075279,2097,2097,7.09783122945938,6.69404506113276
19107__1,1,44.8205385635915,334,44.4657029478461,336,336,3.80266648444498,3.79471817174151
19107__2-4,2-4,30.8668914897838,1420,31.0005866787993,1445,1445,3.4296841366438,3.43400612942863
19107__5-49,5-49,97.6824068497223,4489,95.9527167862062,4683,4683,4.58172146964756,4.56385553665636
19107__50+,50+,527.656140499905,2170,416.239480541672,3060,3060,6.26844482249827,6.03126076900335
19110__5-49,5-49,10000,27,10000,27,27,9.21034037197618,9.21034037197618
19111__1,1,3.3481858195362,3331,3.71457106251847,3332,3332,1.20841865274065,1.31226321053952
19111__2-4,2-4,85.3850746827095,3841,85.5816411278277,3841,3841,4.44717131599724,4.44947078733936
19111__5-49,5-49,140.203243111037,1914,138.123770236145,1921,1921,4.94309310636602,4.92815016896465
19111__50+,50+,1486.21663381107,685,1486.21663381107,685,685,7.30398899783613,7.30398899783613
19112__1,1,10000,1,10000,1,1,9.21034037197618,9.21034037197618
19114__1,1,15.8861340679524,660,16.5018390052206,661,661,2.76544665755292,2.80347182955776
19114__2-4,2-4,14.1875065525311,1714,14.8955203152294,1714,1714,2.65236175709393,2.70106051776254
19114__5-49,5-49,280.71486513803,1069,280.71486513803,1069,1069,5.63733943935086,5.63733943935086
19114__50+,50+,918.927303968914,1688,918.927303968914,1688,1688,6.82320701581979,6.82320701581979
19115__1,1,147.667030742181,1096,146.787426074333,1099,1099,4.99495994689666,4.98898545906735
19115__2-4,2-4,28.5505284304304,856,29.0964276356011,856,856,3.35167544487751,3.37061540497843
19115__5-49,5-49,251.626027640137,1134,251.626027640137,1134,1134,5.52794396796607,5.52794396796607
19115__50+,50+,686.494523155961,3028,686.494523155961,3028,3028,6.53159824725335,6.53159824725335
19116__1,1,16.3062283737025,680,16.2870626859547,684,684,2.79154714364384,2.79037109241773
19116__2-4,2-4,12.3557407505626,2314,13.5489149329139,2318,2318,2.51412079317246,2.6063064653675
19116__5-49,5-49,269.081371207222,1058,265.620984973019,1066,1066,5.59501382905353,5.58207042416875
19116__50+,50+,781.001736609129,1526,819.547244872194,1526,1526,6.66057737340844,6.70875204737289
19118__1,1,464.820418460571,373,464.268351968893,374,374,6.14165113413516,6.14046272980992
19118__2-4,2-4,255.901606824043,355,289.135261947916,357,357,5.54479302225522,5.66689461304034
19118__5-49,5-49,729.198626634524,585,729.198626634524,585,585,6.59194615941618,6.59194615941618
19118__50+,50+,2154.3820804803,613,2154.3820804803,613,613,7.67525922382461,7.67525922382461
19119__1,1,9.7967128027679,1360,10.473308026401,1368,1368,2.28204690111888,2.34882992783572
19119__2-4,2-4,37.9536065550977,967,44.3701080859683,967,967,3.63636453371608,3.79256600140246
19119__5-49,5-49,164.385770809336,1989,161.357186898028,2044,2044,5.10221592662157,5.08362045979312
19119__50+,50+,1738.7906116314,465,1738.7906116314,465,465,7.46094509976224,7.46094509976224
