tract_fips,year,filer_type,n_acq,units_acq,n_sell,units_sell,net_transfers,net_units,total_units
42101000100,2006,High-filer,0,0,0,0,0,0,2836
42101000100,2006,Low-filer,0,0,1,1,-1,-1,2836
42101000100,2006,Small portfolio,0,0,0,0,0,0,2836
42101000100,2006,Single-purchase,6,11,5,10,1,1,2836
42101000100,2007,High-filer,0,0,0,0,0,0,2987
42101000100,2007,Low-filer,0,0,2,5,-2,-5,2987
42101000100,2007,Small portfolio,0,0,0,0,0,0,2987
42101000100,2007,Single-purchase,14,23,12,18,2,5,2987
42101000100,2008,High-filer,0,0,0,0,0,0,3074
42101000100,2008,Low-filer,0,0,0,0,0,0,3074
42101000100,2008,Small portfolio,3,25,3,25,0,0,3074
42101000100,2008,Single-purchase,4,17,4,17,0,0,3074
42101000100,2009,High-filer,0,0,0,0,0,0,3076
42101000100,2009,Low-filer,0,0,0,0,0,0,3076
42101000100,2009,Small portfolio,1,1,0,0,1,1,3076
42101000100,2009,Single-purchase,9,43,10,44,-1,-1,3076
42101000100,2010,High-filer,0,0,0,0,0,0,3149
42101000100,2010,Low-filer,0,0,0,0,0,0,3149
42101000100,2010,Small portfolio,0,0,0,0,0,0,3149
42101000100,2010,Single-purchase,7,31,7,31,0,0,3149
42101000100,2011,High-filer,0,0,0,0,0,0,3149
42101000100,2011,Low-filer,2,2,0,0,2,2,3149
42101000100,2011,Small portfolio,4,9,1,5,3,4,3149
42101000100,2011,Single-purchase,5,16,10,22,-5,-6,3149
42101000100,2012,High-filer,0,0,0,0,0,0,3192
42101000100,2012,Low-filer,0,0,0,0,0,0,3192
42101000100,2012,Small portfolio,5,11,7,13,-2,-2,3192
42101000100,2012,Single-purchase,14,28,12,26,2,2,3192
42101000100,2013,High-filer,0,0,0,0,0,0,3198
42101000100,2013,Low-filer,1,4,2,9,-1,-5,3198
42101000100,2013,Small portfolio,7,38,0,0,7,38,3198
42101000100,2013,Single-purchase,12,54,18,87,-6,-33,3198
42101000100,2014,High-filer,0,0,0,0,0,0,3206
42101000100,2014,Low-filer,2,12,0,0,2,12,3206
42101000100,2014,Small portfolio,3,5,3,6,0,-1,3206
42101000100,2014,Single-purchase,10,20,12,31,-2,-11,3206
42101000100,2015,High-filer,0,0,0,0,0,0,3306
42101000100,2015,Low-filer,0,0,0,0,0,0,3306
42101000100,2015,Small portfolio,2,4,3,7,-1,-3,3306
42101000100,2015,Single-purchase,17,489,16,486,1,3,3306
42101000100,2016,High-filer,0,0,0,0,0,0,3428
42101000100,2016,Low-filer,0,0,0,0,0,0,3428
42101000100,2016,Small portfolio,0,0,2,21,-2,-21,3428
