zip5,year,filer_type,n_acq,units_acq,n_sell,units_sell,net_transfers,net_units,total_units
19102,2006,High-filer,0,0,0,0,0,0,3927
19102,2006,Low-filer,0,0,0,0,0,0,3927
19102,2006,Small portfolio,0,0,0,0,0,0,3927
19102,2006,Single-purchase,13,44,13,44,0,0,3927
19102,2007,High-filer,0,0,0,0,0,0,3936
19102,2007,Low-filer,1,10,1,10,0,0,3936
19102,2007,Small portfolio,0,0,3,9,-3,-9,3936
19102,2007,Single-purchase,14,37,11,28,3,9,3936
19102,2008,High-filer,0,0,0,0,0,0,4081
19102,2008,Low-filer,0,0,0,0,0,0,4081
19102,2008,Small portfolio,0,0,0,0,0,0,4081
19102,2008,Single-purchase,6,39,6,39,0,0,4081
19102,2009,High-filer,0,0,0,0,0,0,4424
19102,2009,Low-filer,1,10,0,0,1,10,4424
19102,2009,Small portfolio,0,0,0,0,0,0,4424
19102,2009,Single-purchase,4,51,5,61,-1,-10,4424
19102,2010,High-filer,0,0,0,0,0,0,4424
19102,2010,Low-filer,2,10,1,4,1,6,4424
19102,2010,Small portfolio,0,0,1,6,-1,-6,4424
19102,2010,Single-purchase,6,6,6,6,0,0,4424
19102,2011,High-filer,0,0,0,0,0,0,4424
19102,2011,Low-filer,5,37,5,37,0,0,4424
19102,2011,Small portfolio,0,0,1,5,-1,-5,4424
19102,2011,Single-purchase,10,35,9,30,1,5,4424
19102,2012,High-filer,2,10,2,10,0,0,4434
19102,2012,Low-filer,1,1,1,1,0,0,4434
19102,2012,Small portfolio,0,0,0,0,0,0,4434
19102,2012,Single-purchase,6,6,6,6,0,0,4434
19102,2013,High-filer,1,4,1,4,0,0,4434
19102,2013,Low-filer,1,3,1,3,0,0,4434
19102,2013,Small portfolio,1,2,0,0,1,2,4434
19102,2013,Single-purchase,6,14,7,16,-1,-2,4434
19102,2014,High-filer,2,13,0,0,2,13,4434
19102,2014,Low-filer,0,0,0,0,0,0,4434
19102,2014,Small portfolio,2,9,5,24,-3,-15,4434
19102,2014,Single-purchase,8,27,7,25,1,2,4434
