b,nhood,theta,theta_bad,units,year_built,old_bldg,new_bldg,first_year_active,exposure_years,unit_years,eta_sort,s,mbar,cbar,fbar,x,M_total,C_total,F_total,M,C,F,m_rate,c_rate,f_rate
1,179,G,0,1,1925,1,0,2011,9,9,0.219594174457277,0.234383529423198,0.345688570566939,0.136641615228235,0.111206086716607,0.111206086716607,3,0,1,0.333333333333333,0,0.111111111111111,0.333333333333333,0,0.111111111111111
2,14,G,0,1,1915,1,0,2011,9,9,-0.102122908513188,0.181005333116424,0.345688570566939,0.136641615228235,0.110797431376464,0.110797431376464,6,1,2,0.666666666666667,0.111111111111111,0.222222222222222,0.666666666666667,0.111111111111111,0.222222222222222
3,195,G,0,1,2016,0,1,2016,4,4,-0.187298311102981,0.168586135580751,0.262644956523924,0.102986179132146,0.110702567437351,0.110702567437351,0,0,0,0,0,0,0,0,0
4,118,G,0,1,1930,1,0,2011,9,9,0.270111410952252,0.243702614409971,0.345688570566939,0.136641615228235,0.11127758659801,0.11127758659801,2,0,2,0.222222222222222,0,0.222222222222222,0.222222222222222,0,0.222222222222222
5,299,G,0,1,1925,1,0,2011,9,9,0.423214370925583,0.273471152286026,0.345688570566939,0.136641615228235,0.111506291265788,0.111506291265788,2,0,4,0.222222222222222,0,0.444444444444444,0.222222222222222,0,0.444444444444444
6,229,B,1,2,2018,0,1,2018,2,4,0.636179618772094,0.676312593640106,0.24180055374726,0.0975601777173292,0.260697316303798,0.260697316303798,4,2,0,2,1,0,1,0.5,0
7,244,G,0,1,1948,0,0,2011,9,9,1.32198054912839,0.484538643101443,0.228310665990588,0.0983162911935611,0.113141411061743,0.113141411061743,2,1,2,0.222222222222222,0.111111111111111,0.222222222222222,0.222222222222222,0.111111111111111,0.222222222222222
8,14,G,0,3,1920,1,0,2011,9,27,-0.102122908513188,0.181005333116424,0.345688570566939,0.136641615228235,0.110797431376464,0.110797431376464,8,5,1,0.888888888888889,0.555555555555556,0.111111111111111,0.296296296296296,0.185185185185185,0.037037037037037
9,153,G,0,1,1940,1,0,2011,9,9,0.0286995289243029,0.201466400518258,0.345688570566939,0.136641615228235,0.110953900398587,0.110953900398587,5,3,0,0.555555555555556,0.333333333333333,0,0.555555555555556,0.333333333333333,0
10,90,B,1,1,1925,1,0,2011,9,9,0.83269490317626,0.719339461977786,0.317883239739987,0.127904572734519,0.261472107673203,0.261472107673203,4,2,3,0.444444444444444,0.222222222222222,0.333333333333333,0.444444444444444,0.222222222222222,0.333333333333333
11,91,G,0,1,1920,1,0,2011,9,9,0.096037531459262,0.212661908407991,0.345688570566939,0.136641615228235,0.111039607729544,0.111039607729544,0,2,2,0,0.222222222222222,0.222222222222222,0,0.222222222222222,0.222222222222222
12,256,G,0,1,1925,1,0,2011,9,9,-0.383621388034403,0.142583053381036,0.345688570566939,0.136641615228235,0.11050420608914,0.11050420608914,3,1,0,0.333333333333333,0.111111111111111,0,0.333333333333333,0.111111111111111,0
13,197,B,1,1,1940,1,0,2011,9,9,0.18672781624882,0.56651287669288,0.318527046570085,0.133658656010533,0.258730524966654,0.258730524966654,7,2,2,0.777777777777778,0.222222222222222,0.222222222222222,0.777777777777778,0.222222222222222,0.222222222222222
14,91,G,0,1,1925,1,0,2011,9,9,0.096037531459262,0.212661908407991,0.345688570566939,0.136641615228235,0.111039607729544,0.111039607729544,3,2,1,0.333333333333333,0.222222222222222,0.111111111111111,0.333333333333333,0.222222222222222,0.111111111111111
15,137,B,1,1,1925,1,0,2011,9,9,-0.427946408742886,0.407217808357777,0.319230394634595,0.139931622792159,0.255903495261428,0.255903495261428,3,1,2,0.333333333333333,0.111111111111111,0.222222222222222,0.333333333333333,0.111111111111111,0.222222222222222
16,26,G,0,1,1925,1,0,2011,9,9,-1.20568122582518,0.0677495998324555,0.345688570566939,0.136641615228235,0.109935329281056,0.109935329281056,5,1,1,0.555555555555556,0.111111111111111,0.111111111111111,0.555555555555556,0.111111111111111,0.111111111111111
17,7,B,1,1,1915,1,0,2011,9,9,-0.894867827383022,0.296940843415963,0.319737488364785,0.144445682288168,0.253964510527468,0.253964510527468,2,3,2,0.222222222222222,0.333333333333333,0.222222222222222,0.222222222222222,0.333333333333333,0.222222222222222
18,137,G,0,1,2002,0,1,2011,9,9,-0.427946408742886,0.137200696174809,0.262644956523924,0.102986179132146,0.110463191852665,0.110463191852665,2,1,1,0.222222222222222,0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111
19,254,G,0,1,1940,1,0,2011,9,9,0.295375980705246,0.248457833826933,0.345688570566939,0.136641615228235,0.1113140883233,0.1113140883233,5,2,2,0.555555555555556,0.222222222222222,0.222222222222222,0.555555555555556,0.222222222222222,0.222222222222222
20,211,B,1,4,2017,0,1,2017,3,12,-0.517036973867935,0.384967201317964,0.242527840990739,0.106101483884421,0.255511077374103,0.255511077374103,5,2,1,1.66666666666667,0.666666666666667,0.333333333333333,0.416666666666667,0.166666666666667,0.0833333333333333
21,78,G,0,3,1925,1,0,2011,9,27,0.281823490585114,0.245899214433669,0.345688570566939,0.136641615228235,0.111294446517396,0.111294446517396,7,5,3,0.777777777777778,0.555555555555556,0.333333333333333,0.259259259259259,0.185185185185185,0.111111111111111
22,81,G,0,1,1920,1,0,2011,9,9,-0.643123675458102,0.113474501611278,0.345688570566939,0.136641615228235,0.110282576653007,0.110282576653007,6,0,1,0.666666666666667,0,0.111111111111111,0.666666666666667,0,0.111111111111111
23,43,G,0,6,2008,0,1,2011,9,54,0.836553293560432,0.364313167384545,0.262644956523924,0.102986179132146,0.112207118991107,0.112207118991107,15,4,9,1.66666666666667,0.444444444444444,1,0.277777777777778,0.0740740740740741,0.166666666666667
24,143,G,0,1,1930,1,0,2011,9,9,-0.527916840751688,0.125692963559897,0.345688570566939,0.136641615228235,0.110375552547324,0.110375552547324,2,2,1,0.222222222222222,0.222222222222222,0.111111111111111,0.222222222222222,0.222222222222222,0.111111111111111
25,32,B,1,2,1906,1,0,2011,9,18,0.52815802539497,0.651199646776459,0.318166636797286,0.130438893614819,0.260246165126603,0.260246165126603,7,2,10,0.777777777777778,0.222222222222222,1.11111111111111,0.388888888888889,0.111111111111111,0.555555555555556
26,109,G,0,56,2011,0,1,2011,9,504,-0.616451485804897,0.116206935022699,0.262644956523924,0.102986179132146,0.110303362193812,0.110303362193812,133,51,51,14.7777777777778,5.66666666666667,5.66666666666667,0.263888888888889,0.101190476190476,0.101190476190476
27,263,G,0,1,1940,1,0,2011,9,9,0.397002744723476,0.268214514097071,0.345688570566939,0.136641615228235,0.111465871606778,0.111465871606778,3,0,1,0.333333333333333,0,0.111111111111111,0.333333333333333,0,0.111111111111111
28,23,G,0,1,1935,1,0,2011,9,9,-0.214063519599819,0.164828060225531,0.345688570566939,0.136641615228235,0.110673877420185,0.110673877420185,4,1,1,0.444444444444444,0.111111111111111,0.111111111111111,0.444444444444444,0.111111111111111,0.111111111111111
29,135,B,1,1,1900,1,0,2011,9,9,0.359022564140815,0.610109201721583,0.318340362441962,0.131991346513624,0.259509663279635,0.259509663279635,0,1,4,0,0.111111111111111,0.444444444444444,0,0.111111111111111,0.444444444444444
30,224,G,0,1,1925,1,0,2011,9,9,0.320242901584233,0.253199390667261,0.345688570566939,0.136641615228235,0.111350497094639,0.111350497094639,1,1,1,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
31,166,B,1,1,1955,0,0,2011,9,9,0.135995859893343,0.553434884814583,0.21045617888018,0.0964740000626128,0.258497256091588,0.258497256091588,3,1,1,0.333333333333333,0.111111111111111,0.111111111111111,0.333333333333333,0.111111111111111,0.111111111111111
32,217,G,0,2,1935,1,0,2011,9,18,0.0984744026691663,0.213075560256549,0.345688570566939,0.136641615228235,0.111042775713671,0.111042775713671,6,1,0,0.666666666666667,0.111111111111111,0,0.333333333333333,0.0555555555555556,0
33,290,G,0,1,1950,0,0,2011,9,9,-0.599046247614024,0.118020931318213,0.228310665990588,0.0983162911935611,0.110317163374055,0.110317163374055,4,1,1,0.444444444444444,0.111111111111111,0.111111111111111,0.444444444444444,0.111111111111111,0.111111111111111
34,69,G,0,1,1925,1,0,2011,9,9,0.296037530135811,0.248583191870236,0.345688570566939,0.136641615228235,0.111315050751033,0.111315050751033,2,0,1,0.222222222222222,0,0.111111111111111,0.222222222222222,0,0.111111111111111
35,72,G,0,1,1925,1,0,2011,9,9,0.445129790790486,0.277915981082186,0.345688570566939,0.136641615228235,0.111540480147308,0.111540480147308,6,1,2,0.666666666666667,0.111111111111111,0.222222222222222,0.666666666666667,0.111111111111111,0.222222222222222
36,76,G,0,1,1925,1,0,2011,9,9,-0.5375169878128,0.124632890327618,0.345688570566939,0.136641615228235,0.110367482858354,0.110367482858354,2,1,1,0.222222222222222,0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111
37,63,G,0,1,1925,1,0,2011,9,9,0.124233609334735,0.217484455149489,0.345688570566939,0.136641615228235,0.111076547186453,0.111076547186453,5,2,2,0.555555555555556,0.222222222222222,0.222222222222222,0.555555555555556,0.222222222222222,0.222222222222222
38,141,G,0,1,1925,1,0,2011,9,9,-0.835809161805137,0.0953665388297071,0.345688570566939,0.136641615228235,0.110144928863829,0.110144928863829,3,0,2,0.333333333333333,0,0.222222222222222,0.333333333333333,0,0.222222222222222
39,210,G,0,1,1925,1,0,2011,9,9,0.180367042567189,0.227322073311111,0.345688570566939,0.136641615228235,0.111151938895864,0.111151938895864,2,1,1,0.222222222222222,0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111
40,153,B,1,2,1935,1,0,2011,9,18,0.0286995289243029,0.525543864323343,0.318704727834907,0.135244652398969,0.258000473229657,0.258000473229657,3,3,4,0.333333333333333,0.333333333333333,0.444444444444444,0.166666666666667,0.166666666666667,0.222222222222222
41,294,G,0,1,1920,1,0,2011,9,9,0.186222623296787,0.228366423154372,0.345688570566939,0.136641615228235,0.11115994539393,0.11115994539393,3,0,3,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333
42,277,G,0,2,1920,1,0,2011,9,18,-0.341569153375386,0.147852650902614,0.345688570566939,0.136641615228235,0.110544375835752,0.110544375835752,7,4,1,0.777777777777778,0.444444444444444,0.111111111111111,0.388888888888889,0.222222222222222,0.0555555555555556
43,41,G,0,1,1925,1,0,2011,9,9,0.459511185435709,0.280857199027774,0.345688570566939,0.136641615228235,0.111563109268109,0.111563109268109,4,1,0,0.444444444444444,0.111111111111111,0,0.444444444444444,0.111111111111111,0
44,90,G,0,87,2003,0,1,2011,9,783,0.83269490317626,0.363403693452119,0.262644956523924,0.102986179132146,0.112200080801543,0.112200080801543,202,81,90,22.4444444444444,9,10,0.257982120051086,0.103448275862069,0.114942528735632
45,223,G,0,2,1942,0,0,2011,9,18,-0.210010431838725,0.165392751860976,0.228310665990588,0.0983162911935611,0.11067818793211,0.11067818793211,5,0,2,0.555555555555556,0,0.222222222222222,0.277777777777778,0,0.111111111111111
46,16,G,0,1,1973,0,0,2011,9,9,-0.391472530608275,0.141616911825053,0.228310665990588,0.0983162911935611,0.110496842848144,0.110496842848144,3,2,1,0.333333333333333,0.222222222222222,0.111111111111111,0.333333333333333,0.222222222222222,0.111111111111111
47,116,G,0,1,1925,1,0,2011,9,9,-0.344739535007173,0.147449768317372,0.345688570566939,0.136641615228235,0.11054130417657,0.11054130417657,2,1,0,0.222222222222222,0.111111111111111,0,0.222222222222222,0.111111111111111,0
48,94,G,0,1,1998,0,0,2011,9,9,-0.697556017237218,0.108073001586631,0.228310665990588,0.0983162911935611,0.110241499124502,0.110241499124502,2,1,0,0.222222222222222,0.111111111111111,0,0.222222222222222,0.111111111111111,0
49,262,B,1,1,1925,1,0,2011,9,9,0.152528670997323,0.557706206027446,0.318565056056396,0.133998005894912,0.258573419444675,0.258573419444675,2,0,2,0.222222222222222,0,0.222222222222222,0.222222222222222,0,0.222222222222222
50,235,G,0,1,1920,1,0,2011,9,9,-0.318350233229982,0.150831303067681,0.345688570566939,0.136641615228235,0.110567088337181,0.110567088337181,2,1,0,0.222222222222222,0.111111111111111,0,0.222222222222222,0.111111111111111,0
51,86,G,0,1,1940,1,0,2011,9,9,-0.185480058646931,0.168843923260203,0.345688570566939,0.136641615228235,0.110704535720727,0.110704535720727,5,0,2,0.555555555555556,0,0.222222222222222,0.555555555555556,0,0.222222222222222
52,39,B,1,1,1925,1,0,2011,9,9,0.214578736952811,0.573652931967905,0.318496304073068,0.133384156426758,0.258857969172775,0.258857969172775,4,2,3,0.444444444444444,0.222222222222222,0.333333333333333,0.444444444444444,0.222222222222222,0.333333333333333
53,159,G,0,1,1920,1,0,2011,9,9,1.06840875042257,0.420566499802104,0.345688570566939,0.136641615228235,0.112643308630399,0.112643308630399,2,0,2,0.222222222222222,0,0.222222222222222,0.222222222222222,0,0.222222222222222
54,240,B,1,1,1925,1,0,2011,9,9,0.465760879893838,0.636273275260726,0.318229495535456,0.131000711737635,0.259978384613567,0.259978384613567,6,1,4,0.666666666666667,0.111111111111111,0.444444444444444,0.666666666666667,0.111111111111111,0.444444444444444
55,209,G,0,1,1925,1,0,2011,9,9,0.269755472581426,0.243636069934785,0.345688570566939,0.136641615228235,0.1112770758783,0.1112770758783,4,0,1,0.444444444444444,0,0.111111111111111,0.444444444444444,0,0.111111111111111
56,34,G,0,1,1920,1,0,2011,9,9,0.519923235144002,0.293420592564285,0.345688570566939,0.136641615228235,0.111659821111086,0.111659821111086,3,0,1,0.333333333333333,0,0.111111111111111,0.333333333333333,0,0.111111111111111
