moment,target,simulated,weight,diff,weighted_sq_error
mean_f_rate,0.044241339993459,0.15378534682289,10,-0.109544006829431,0.119998894322465
mean_m_rate,0.0441024730331521,0.29392126790964,10,-0.249818794876488,0.624094302735405
mean_c_rate,0.071375934398548,0.120645914089999,10,-0.0492699796914514,0.0242753089879603
mean_m_rate_pos,0.256854603562484,0.32550032768567,5,-0.0686457241231864,0.0235611772019831
m_rate_pos_p50,0.125,0.333333333333333,5,-0.208333333333333,0.217013888888889
m_rate_pos_p90,0.555555555555556,0.555555555555556,5,4.44089209850063e-16,9.86076131526265e-31
nhood_mean_s_sd,0.310673322365642,0.119730794139628,8,0.190942528226014,0.291672392682738
nhood_mean_s_p90_p10,0.840913393975788,0.316028468733076,8,0.524884925242712,2.20403347797638
nhood_mean_f_rate_sd,0.0386669403524218,0.0347233195005798,5,0.00394362085184203,7.77607271154163e-05
nhood_mean_f_rate_p90_p10,0.0808385761830327,0.0879596835073807,5,-0.00712110732434802,0.000253550847624415
sorting_coef_high_filing_nhood,0.0658888106203269,0.142142721611696,5,-0.0762539109913689,0.029073294707398
sorting_coef_high_bin_nhood,0.072062596883406,0.141957883909876,5,-0.0698952870264698,0.024426755742563
beta_ppml_s,-0.0569810497914896,0.114867497687312,2,-0.171848547478801,0.0590638465411475
beta_ppml_s_x_high_filing,-0.115921198470314,-0.118110760623899,2,0.00218956215358494,9.58836484882306e-06
beta_maint_on_c_rate,1.20232679111338,0.511667933580653,3,0.690658857532727,1.43102897246524
filing_resid_sd_nhood_fe,0.126117532234751,0.13359036397119,5,-0.00747283173643876,0.000279216070805631
