parameter,baseline,calibrated,change
p_bad_shape1,2,2.16427973531467,0.16427973531467
p_bad_shape2,6,5.99400462440812,-0.00599537559187979
Dalph,6,10.0608876618474,4.0608876618474
sigma_eta_sort,0.6,0.527838245308758,-0.072161754691242
m0,0.1826835,0.220552841720173,0.037869341720173
bM_theta,-0.2,-0.0807820376895219,0.119217962310478
bM_old,0.15,0.401355067998238,0.251355067998238
bM_new,0.25,0.138453847974407,-0.111546152025593
bM_C,0.12,0.35161985919673,0.23161985919673
aC,-2.1,-2.29760007414007,-0.19760007414007
bC_theta,0.35,0.139064208811502,-0.210935791188498
bC_s_bad,-0.1,-0.288280435579571,-0.188280435579571
bC_old,0.1,0.33892041270896,0.23892041270896
bC_new,-0.05,0.0493498328854923,0.0993498328854923
bC_M,-0.1,-0.106815236618927,-0.006815236618927
aF,-3,-2.22019912967957,0.77980087032043
bF_theta,0.7,0.821494803365979,0.121494803365979
bF_delta,1.1,0.766339839895251,-0.333660160104749
