moment,target,simulated,weight,diff
mean_f_rate,0.0442,0.1538,10,-0.11
mean_m_rate,0.0441,0.2939,10,-0.25
mean_c_rate,0.0714,0.1206,10,-0.0493
mean_m_rate_pos,0.2569,0.3255,5,-0.0686
m_rate_pos_p50,0.125,0.3333,5,-0.208
m_rate_pos_p90,0.5556,0.5556,5,4.44e-16
nhood_mean_s_sd,0.3107,0.1197,8,0.191
nhood_mean_s_p90_p10,0.8409,0.316,8,0.525
nhood_mean_f_rate_sd,0.0387,0.0347,5,0.00394
nhood_mean_f_rate_p90_p10,0.0808,0.088,5,-0.00712
sorting_coef_high_filing_nhood,0.0659,0.1421,5,-0.0763
sorting_coef_high_bin_nhood,0.0721,0.142,5,-0.0699
beta_ppml_s,-0.057,0.1149,2,-0.172
beta_ppml_s_x_high_filing,-0.1159,-0.1181,2,0.00219
beta_maint_on_c_rate,1.2023,0.5117,3,0.691
filing_resid_sd_nhood_fe,0.1261,0.1336,5,-0.00747
