apt_id,place_id,place_name,formatted_address,rating,user_ratings_total,url,types,text_search_query
5100 lebanon ave,ChIJXbGOXUDHxokRhQmz5wqBsho,Bryn Mawr Apartments,"5100 Lebanon Ave, Philadelphia, PA 19131, USA",4,37,https://maps.google.com/?cid=1923741874677549445,establishment|point_of_interest|real_estate_agency,"5100 lebanon ave, philadelphia, PA 19131 apartments"
4203 chester ave,ChIJ--z18vPGxokRJZAT1PMtSg8,Chester Hall Apartments,"4205 Chester Ave, Philadelphia, PA 19104, USA",5,1,https://maps.google.com/?cid=1101743584103862309,establishment|point_of_interest,"4203 chester ave, philadelphia, PA 19104 apartments"
5220 wayne ave,ChIJgZ1yWU64xokRr0II2Sgmwkc,Wayne Manor Apartments,"6200 Wayne Ave b209, Philadelphia, PA 19144, USA",3.2,25,https://maps.google.com/?cid=5170737279056495279,establishment|point_of_interest,"5220 wayne ave, philadelphia, PA 19144 apartments"
5926 greene st,ChIJm5cyH024xokR6UnIaQED2x8,Greene Manor Apartments,"259 W Johnson St, Philadelphia, PA 19144, USA",3.1,79,https://maps.google.com/?cid=2295431739679984105,establishment|point_of_interest|real_estate_agency,"5926 greene st, philadelphia, PA 19144 apartments"
2014 walnut st,ChIJvcJD_EfGxokRq9G9vwnWjJI,Roosevelt Apartments,"2220 Walnut St, Philadelphia, PA 19103, USA",3.4,63,https://maps.google.com/?cid=10560050563636908459,establishment|point_of_interest,"2014 walnut st, philadelphia, PA 19103 apartments"
315 n 12th st,ChIJc_ptLivGxokRST2DzofAQQ8,Goldtex,"315 N 12th St, Philadelphia, PA 19107, USA",3.6,84,https://maps.google.com/?cid=1099371473572937033,establishment|point_of_interest|real_estate_agency,"315 n 12th st, philadelphia, PA 19107 apartments"
4901 stenton ave,ChIJhU-SjSi4xokRJUhwxrkN4lg,Hilltop Crescent Apartments,"4901 Stenton Ave # 417, Philadelphia, PA 19144, USA",3.7,130,https://maps.google.com/?cid=6404696711623624741,establishment|lodging|point_of_interest|real_estate_agency,"4901 stenton ave, philadelphia, PA 19144 apartments"
2323 race st,ChIJ030EgkrGxokRfZsF-U8dmRI,Edgewater,"2323 Race St, Philadelphia, PA 19103, USA",4.4,139,https://maps.google.com/?cid=1340134593436949373,establishment|point_of_interest|real_estate_agency,"2323 race st, philadelphia, PA 19103 apartments"
1604 w allegheny ave,ChIJp1hCuwG4xokRQSLALhKoKuY,Bancroft Court,"1604 W Allegheny Ave, Philadelphia, PA 19132, USA",3.3,4,https://maps.google.com/?cid=16585253373792494145,establishment|point_of_interest,"1604 w allegheny ave, philadelphia, PA 19132 apartments"
2101 w venango st,ChIJmaAPKxu4xokRMJwPFDqHXJI,James Widener Ray Homes,"2101 W Venango St, Philadelphia, PA 19140, USA",3.9,38,https://maps.google.com/?cid=10546453110909279280,establishment|point_of_interest,"2101 w venango st, philadelphia, PA 19140 apartments"
545 e wister st,ChIJz6rHLSy4xokR8-IkRSwqp4A,Wister Apartments,"292 E Ashmead St, Philadelphia, PA 19144, USA",3.3,13,https://maps.google.com/?cid=9270424727592428275,establishment|point_of_interest,"545 e wister st, philadelphia, PA 19144 apartments"
2101 w venango st,ChIJmaAPKxu4xokRMJwPFDqHXJI,James Widener Ray Homes,"2101 W Venango St, Philadelphia, PA 19140, USA",3.9,38,https://maps.google.com/?cid=10546453110909279280,establishment|point_of_interest,"2101 w venango st, philadelphia, PA 19140 apartments"
