model,term,estimate,std_error,p_value
baseline_bin,filing_rate_bin0,0.0952934457430467,0.0117721476598411,5.83392311431682e-16
baseline_bin,filing_rate_bin(0-5%],0.0476781876979846,0.0129922784047309,0.000242999846836298
baseline_bin,filing_rate_bin(10-20%],-0.0294525083589828,0.0110289269186987,0.0075762294565474
baseline_bin,filing_rate_bin20%+,-0.0377133248475485,0.00967205941119245,9.6607417548304e-05
tenant_bin,filing_rate_bin0,0.0910666879906239,0.0116835255347487,6.56505560998335e-15
tenant_bin,filing_rate_bin(0-5%],0.046313275687538,0.0129397773237679,0.000344979457004996
tenant_bin,filing_rate_bin(10-20%],-0.0261231655221808,0.0110012767840585,0.0175729026385768
tenant_bin,filing_rate_bin20%+,-0.0342823415538819,0.00956987168962318,0.000340807000568092
baseline_cont,filing_rate_longrun_pre2019,-0.327046445767272,0.0284434844131798,1.44414687944061e-30
tenant_cont,filing_rate_longrun_pre2019,-0.302356100741694,0.0279681590922228,3.23160695466752e-27
