year,group,sample,n_cases,n_valid_ratio,share_one_month,mean_months_back
2011,high_black,pre,7128,7128,0.141975308641975,2.75826256219494
2011,low_black,pre,5641,5641,0.174259882999468,2.59292101467026
2011,missing_black,pre,3303,3303,0.138359067514381,2.82279602184469
2012,high_black,pre,7062,7062,0.155480033984707,2.66932875906204
2012,low_black,pre,6023,6023,0.178482483812054,2.46318201429119
2012,missing_black,pre,3297,3297,0.155595996360328,2.80543149348957
2013,high_black,pre,7248,7248,0.156456953642384,2.63771409515233
2013,low_black,pre,5908,5908,0.20260663507109,2.47326916065655
2013,missing_black,pre,3020,3020,0.189403973509934,2.79234546841604
2014,high_black,pre,7381,7381,0.163934426229508,2.63239557801836
2014,low_black,pre,5934,5934,0.209976407145265,2.42550891902144
2014,missing_black,pre,3277,3277,0.17882209337809,2.75745700436208
2015,high_black,pre,6726,6726,0.163247100802855,2.61083025544914
2015,low_black,pre,5589,5589,0.198067632850242,2.40669999178516
2015,missing_black,pre,3190,3190,0.197805642633229,2.6555589111683
2016,high_black,pre,6888,6888,0.157955865272938,2.62419828214756
2016,low_black,pre,5758,5758,0.217957624175061,2.42020214513509
2016,missing_black,pre,3594,3594,0.191986644407346,2.67125793770458
2017,high_black,pre,6893,6893,0.204700420716669,2.37842401533675
2017,low_black,pre,5483,5483,0.269378077694693,2.14282127855643
2017,missing_black,pre,3523,3523,0.241839341470338,2.23027444745427
2018,high_black,pre,6730,6730,0.198365527488856,2.21132385073572
2018,low_black,pre,4749,4749,0.232680564329332,1.9838495448844
2018,missing_black,pre,2556,2556,0.231611893583725,2.13350426472938
2019,high_black,pre,6416,6416,0.192019950124688,2.29532170230704
2019,low_black,pre,4750,4750,0.232421052631579,2.00743331894337
2019,missing_black,pre,2598,2598,0.248267898383372,2.08566823962803
