portfolio_evict_group,term,estimate,std_error,conf_low,conf_high,timing
Solo,total_severe_complaints,0.127560576845403,0.00725109556294157,0.113348429542038,0.141772724148769,0
Solo,total_severe_complaints_lag_1,0.084084279683119,0.00742594574942085,0.0695294260142541,0.0986391333519839,1
Solo,total_severe_complaints_lag_2,0.0231386996096365,0.007908433853544,0.00763816925669026,0.0386392299625827,2
Solo,total_severe_complaints_lag_3,0.0252671728925931,0.00822587281565426,0.00914446217391074,0.0413898836112754,3
Solo,total_severe_complaints_lead_1,-0.0112302622947149,0.00705335623774161,-0.0250548405206885,0.00259431593125864,-1
Solo,total_severe_complaints_lead_2,-0.044194852667618,0.00685413680392859,-0.057628960803318,-0.0307607445319179,-2
Solo,total_severe_complaints_lead_3,-0.0238062371238273,0.00573045129672136,-0.0350379216654012,-0.0125745525822534,-3
Small portfolio,total_severe_complaints,0.231441880086052,0.017654668284772,0.196838730247899,0.266045029924205,0
Small portfolio,total_severe_complaints_lag_1,0.110276309914697,0.0192391424211183,0.0725675907693048,0.147985029060089,1
Small portfolio,total_severe_complaints_lag_2,0.0563177278305546,0.0215194814957133,0.0141395440989565,0.0984959115621527,2
Small portfolio,total_severe_complaints_lag_3,0.0301845501195302,0.0222889142306553,-0.0135017217725542,0.0738708220116146,3
Small portfolio,total_severe_complaints_lead_1,-0.0494676395762579,0.0183548502143886,-0.0854431459964596,-0.0134921331560563,-1
Small portfolio,total_severe_complaints_lead_2,-0.0273031544843495,0.018611207178368,-0.0637811205539507,0.00917481158525181,-2
Small portfolio,total_severe_complaints_lead_3,-0.0638057148629079,0.0182002665824313,-0.0994782373644734,-0.0281331923613425,-3
Low-evicting portfolio,total_severe_complaints,0.0353672234981309,0.0139600738203267,0.00800547881029045,0.0627289681859713,0
Low-evicting portfolio,total_severe_complaints_lag_1,0.0510333195483001,0.0144617555821294,0.0226882786073266,0.0793783604892736,1
Low-evicting portfolio,total_severe_complaints_lag_2,0.0193565304742711,0.0150779357825875,-0.0101962236596004,0.0489092846081426,2
Low-evicting portfolio,total_severe_complaints_lag_3,0.0659927019494971,0.0149952719337887,0.0366019689592712,0.095383434939723,3
Low-evicting portfolio,total_severe_complaints_lead_1,0.00274424437067602,0.0131284010132099,-0.0229874216152154,0.0284759103565674,-1
Low-evicting portfolio,total_severe_complaints_lead_2,0.0355755304309466,0.0116031845799314,0.0128332886542811,0.0583177722076122,-2
Low-evicting portfolio,total_severe_complaints_lead_3,-0.0275215175261663,0.0107867566401727,-0.0486635605409048,-0.00637947451142784,-3
High-evicting portfolio,total_severe_complaints,0.0380731401118942,0.0190117714907454,0.000810067990033227,0.0753362122337552,0
High-evicting portfolio,total_severe_complaints_lag_1,0.00466753768339262,0.0205883444115915,-0.0356856173633267,0.045020692730112,1
High-evicting portfolio,total_severe_complaints_lag_2,0.0062083557639835,0.0208618555214898,-0.0346808810581365,0.0470975925861035,2
High-evicting portfolio,total_severe_complaints_lag_3,0.0551142137081702,0.020247314761389,0.0154294767758478,0.0947989506404927,3
High-evicting portfolio,total_severe_complaints_lead_1,0.110168090785913,0.0164545476906916,0.0779171773121576,0.142419004259669,-1
High-evicting portfolio,total_severe_complaints_lead_2,-0.0617035677047924,0.0130531492637062,-0.0872877402616565,-0.0361193951479283,-2
High-evicting portfolio,total_severe_complaints_lead_3,-0.0462601273388051,0.0145624267999102,-0.0748024838666291,-0.0177177708109812,-3
