term,estimate,std_error,t_value,p_value,timing,sample,stem,conf_low,conf_high,stem_label,sample_label
lag_complaint_4,0.00162189646223217,0.000470593495412349,3.44649145821918,0.000568160209650155,-4,full,complaint,0.000699533211223963,0.00254425971324037,Any Complaint,Full Sample
lag_complaint_3,0.00237091609579769,0.000466836524295729,5.07868594766543,3.80765720698302e-07,-3,full,complaint,0.00145591650817806,0.00328591568341732,Any Complaint,Full Sample
lag_complaint_2,0.00556818687655363,0.000480898706491655,11.57871044648,5.54105108851029e-31,-2,full,complaint,0.00462562541182998,0.00651074834127727,Any Complaint,Full Sample
lag_complaint_1,0.0199969529027109,0.000540075434989623,37.0262219074917,5.64792727013712e-298,-1,full,complaint,0.0189384050501312,0.0210555007552905,Any Complaint,Full Sample
filed_complaint,0.0516715165363254,0.000665424034823433,77.6520141026108,0,0,full,complaint,0.0503672854280715,0.0529757476445794,Any Complaint,Full Sample
lead_complaint_1,0.0135902740912344,0.0005140056868141,26.4399294402157,1.70292940196174e-153,1,full,complaint,0.0125828229450788,0.01459772523739,Any Complaint,Full Sample
lead_complaint_2,0.00294076006473823,0.000471957247282695,6.23098825512209,4.65423162758267e-10,2,full,complaint,0.00201572386006414,0.00386579626941231,Any Complaint,Full Sample
lead_complaint_3,0.00148061285230561,0.000470113315816787,3.14948077940137,0.00163611150373732,3,full,complaint,0.000559190753304712,0.00240203495130652,Any Complaint,Full Sample
lead_complaint_4,0.00150453897510753,0.000468111185570907,3.21406328556878,0.00130914181031825,4,full,complaint,0.000587041051388548,0.0024220368988265,Any Complaint,Full Sample
lag_severe_4,0.00531800964989591,0.000717041550036709,7.41659900967197,1.21153588916246e-13,-4,full,severe,0.00391260821182396,0.00672341108796786,Severe Complaint,Full Sample
lag_severe_3,0.00646021769461509,0.000722378669587199,8.94297958480247,3.85353831298175e-19,-3,full,severe,0.00504435550222418,0.007876079887006,Severe Complaint,Full Sample
lag_severe_2,0.0126234863197309,0.000758888567974521,16.6341764159435,4.81892380246313e-62,-2,full,severe,0.0111360647265008,0.014110907912961,Severe Complaint,Full Sample
lag_severe_1,0.036908005664296,0.000855942585592651,43.1197212120729,0,-1,full,severe,0.0352303581965344,0.0385856531320576,Severe Complaint,Full Sample
filed_severe,0.0887419680595431,0.00108110328890871,82.0846342527746,0,0,full,severe,0.0866230056132821,0.0908609305058042,Severe Complaint,Full Sample
lead_severe_1,0.0202402635914239,0.00079378560933984,25.4984007687629,6.18415257406986e-143,1,full,severe,0.0186844437971178,0.02179608338573,Severe Complaint,Full Sample
lead_severe_2,0.00423645656844669,0.000707035609156505,5.99185743063323,2.08195784674028e-09,2,full,severe,0.00285066677449995,0.00562224636239344,Severe Complaint,Full Sample
lead_severe_3,0.00314055348866804,0.000710038461046623,4.42307517263044,9.74129459584732e-06,3,full,severe,0.00174887810501666,0.00453222887231942,Severe Complaint,Full Sample
lead_severe_4,0.00451574402749942,0.000716128945592608,6.30576945016874,2.88011135122705e-10,4,full,severe,0.00311213129413791,0.00591935676086093,Severe Complaint,Full Sample
lag_non_severe_4,-0.000694505995589135,0.000553175443221872,-1.25548956321002,0.209304159316801,-4,full,non_severe,-0.001778729864304,0.000389717873125735,Non-Severe Complaint,Full Sample
lag_non_severe_3,-0.000628442712660827,0.000541494627642313,-1.16057054046333,0.245819486047783,-3,full,non_severe,-0.00168977218283976,0.000432886757518106,Non-Severe Complaint,Full Sample
lag_non_severe_2,-0.000360822198588909,0.000546366589350158,-0.660403116922042,0.508996761722912,-2,full,non_severe,-0.00143170071371522,0.000710056316537401,Non-Severe Complaint,Full Sample
lag_non_severe_1,0.00338855909168949,0.000588768152612251,5.75533692957934,8.67320700206662e-09,-1,full,non_severe,0.00223457351256948,0.00454254467080951,Non-Severe Complaint,Full Sample
filed_non_severe,0.00987991885946355,0.00063517649234894,15.5546040800829,1.72701646344032e-54,0,full,non_severe,0.00863497293445963,0.0111248647844675,Non-Severe Complaint,Full Sample
lead_non_severe_1,0.0076812036701762,0.000618556044149803,12.4179591208003,2.2236491332414e-35,1,full,non_severe,0.00646883382364258,0.00889357351670981,Non-Severe Complaint,Full Sample
lead_non_severe_2,0.00302361019500012,0.000591375068427766,5.11284691632116,3.17949036491693e-07,2,full,non_severe,0.0018645150608817,0.00418270532911854,Non-Severe Complaint,Full Sample
