building_type,high_filing_longrun,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_female,mean_case_p_male
COMMERCIAL,low_or_mid_filing,1114,0.105924596050269,0.157091561938959,0.736983842010772,0.419816911031319,0.580183088968681
COMMERCIAL,high_filing,516,0.112403100775194,0.135658914728682,0.751937984496124,0.567386750645995,0.432613249354005
COMMERCIAL,missing,12,0.0833333333333333,0,0.916666666666667,0.751583333333333,0.248416666666667
DETACHED,low_or_mid_filing,946,0.13953488372093,0.101479915433404,0.758985200845666,0.623800947850599,0.376199052149401
DETACHED,high_filing,1027,0.124634858812074,0.112950340798442,0.762414800389484,0.645766569295683,0.354233430704317
DETACHED,missing,2,0,0,1,0.996,0.004
HIGHRISE_MULTI,low_or_mid_filing,10173,0.193256659785707,0.197876732527278,0.608866607687015,0.66207064664635,0.337929353353649
HIGHRISE_MULTI,high_filing,12868,0.485312402859807,0.268262356232515,0.246425240907678,0.571640575495508,0.428359424504493
HIGHRISE_MULTI,missing,6,0,0,1,0.219483333333333,0.780516666666667
LOWRISE_MULTI,low_or_mid_filing,16575,0.190407239819005,0.179788838612368,0.629803921568627,0.577004818682323,0.422995181317677
LOWRISE_MULTI,high_filing,48607,0.326701915361985,0.232415084247125,0.44088300039089,0.5710827621536,0.4289172378464
LOWRISE_MULTI,missing,255,0.0901960784313725,0.117647058823529,0.792156862745098,0.639054575163399,0.360945424836601
MIDRISE_MULTI,low_or_mid_filing,3631,0.211787386394933,0.197741668961719,0.590470944643349,0.444846781222541,0.555153218777459
MIDRISE_MULTI,high_filing,3799,0.338773361410898,0.215846275335615,0.445380363253488,0.507305320562638,0.492694679437362
MIDRISE_MULTI,missing,147,0.054421768707483,0.0204081632653061,0.925170068027211,0.53742052154195,0.46257947845805
OTHER,low_or_mid_filing,2994,0.0754843019372077,0.0684702738810955,0.856045424181697,0.501752119795146,0.498247880204854
OTHER,high_filing,1313,0.0327494287890328,0.0396039603960396,0.927646610814928,0.656635618177202,0.343364381822798
OTHER,missing,59,0.101694915254237,0.0508474576271187,0.847457627118644,0.525231355932203,0.474768644067797
ROW,low_or_mid_filing,43944,0.109776078645549,0.0893637356635718,0.800860185690879,0.691973392675964,0.308026607324037
ROW,high_filing,57194,0.104521453299297,0.0948526069168095,0.800625939783893,0.679059414653053,0.320940585346948
ROW,missing,132,0.0454545454545455,0.053030303030303,0.901515151515152,0.565061742424243,0.434938257575758
SMALL_MULTI_2_4,low_or_mid_filing,15869,0.122439977314261,0.106370911840696,0.771189110845044,0.599234496407591,0.400765503592409
SMALL_MULTI_2_4,high_filing,16368,0.124816715542522,0.110581622678397,0.764601661779081,0.619651201175057,0.380348798824943
SMALL_MULTI_2_4,missing,4,0.25,0.25,0.5,0.74965,0.25035
TWIN,low_or_mid_filing,8258,0.133446355049649,0.108258658270768,0.758294986679583,0.612396953661096,0.387603046338904
TWIN,high_filing,10064,0.123112082670906,0.115759141494436,0.761128775834658,0.616151151629571,0.383848848370429
TWIN,missing,1,0,0,1,0.0157,0.9843
