term,estimate,std_error,stat_value,p_value,model,conf_low,conf_high,heterogeneity_dim,heterogeneity_cut,sample,n_obs,n_pid
retaliatory_status::plausibly_retaliatory,0.000937136553127436,0.0108173853596177,0.0866324460091673,0.930965922862744,fe_full_filing_rate_longrun_pre2019_cuts__0_5_,-0.0202649387517232,0.0221392118579781,filing_rate_longrun_pre2019_cuts,(0-5%],full,28281,7717
retaliatory_status::retaliatory,0.0109467341585165,0.010347594325223,1.05790136474843,0.290133534902124,fe_full_filing_rate_longrun_pre2019_cuts__0_5_,-0.00933455071892053,0.0312280190359536,filing_rate_longrun_pre2019_cuts,(0-5%],full,28281,7717
retaliatory_status::plausibly_retaliatory,0.020936402498441,0.00607123546376353,3.44845832835852,0.000565771291521197,fe_full_filing_rate_longrun_pre2019_cuts__10_20_,0.00903678098946445,0.0328360240074175,filing_rate_longrun_pre2019_cuts,(10-20%],full,50794,11766
retaliatory_status::retaliatory,0.0213870702727545,0.00626311809765141,3.41476401040153,0.000640528694181167,fe_full_filing_rate_longrun_pre2019_cuts__10_20_,0.00911135880135777,0.0336627817441513,filing_rate_longrun_pre2019_cuts,(10-20%],full,50794,11766
retaliatory_status::plausibly_retaliatory,0.0145955039230058,0.00659093823745633,2.21448045743464,0.0268053890577559,fe_full_filing_rate_longrun_pre2019_cuts__5_10_,0.00167726497759134,0.0275137428684202,filing_rate_longrun_pre2019_cuts,(5-10%],full,44758,23296
retaliatory_status::retaliatory,0.0149237741605258,0.00608487376463474,2.45260209788784,0.0141899934397994,fe_full_filing_rate_longrun_pre2019_cuts__5_10_,0.00299742158184174,0.0268501267392099,filing_rate_longrun_pre2019_cuts,(5-10%],full,44758,23296
retaliatory_status::plausibly_retaliatory,-0.0163784495413382,0.00902309829517232,-1.8151691365372,0.0695183204259232,fe_full_filing_rate_longrun_pre2019_cuts_0,-0.0340637221998759,0.00130682311719955,filing_rate_longrun_pre2019_cuts,0,full,30795,14687
retaliatory_status::retaliatory,-0.0183005971197912,0.00934235523295673,-1.95888474195809,0.0501451917260786,fe_full_filing_rate_longrun_pre2019_cuts_0,-0.0366116133763864,1.04191368039581e-05,filing_rate_longrun_pre2019_cuts,0,full,30795,14687
retaliatory_status::plausibly_retaliatory,0.00477496664982559,0.00446703784097346,1.06893355727316,0.285123035972683,fe_full_filing_rate_longrun_pre2019_cuts_20_,-0.00398042751848239,0.0135303608181336,filing_rate_longrun_pre2019_cuts,20%+,full,100632,11017
retaliatory_status::retaliatory,0.00943143337842323,0.00452119265139702,2.08604987790312,0.0369970578384377,fe_full_filing_rate_longrun_pre2019_cuts_20_,0.00056989578168507,0.0182929709751614,filing_rate_longrun_pre2019_cuts,20%+,full,100632,11017
retaliatory_status::plausibly_retaliatory,0.00436223198126056,0.0123028082446785,0.354572053347855,0.722920009615732,fe_pre_filing_rate_longrun_pre2019_cuts__0_5_,-0.0197512721783092,0.0284757361408303,filing_rate_longrun_pre2019_cuts,(0-5%],pre,23716,7636
