retaliatory_status,building_type,num_units_bin,high_filing_longrun,intersection_group_bw,n_cases,within_bin_share
non_retaliatory,COMMERCIAL,1,high_filing,White+Male,3,0.0789473684210526
non_retaliatory,COMMERCIAL,1,high_filing,White+Female,3,0.0789473684210526
non_retaliatory,COMMERCIAL,1,high_filing,Black+Male,14,0.368421052631579
non_retaliatory,COMMERCIAL,1,high_filing,Black+Female,18,0.473684210526316
non_retaliatory,COMMERCIAL,1,low_or_mid_filing,White+Male,24,0.269662921348315
non_retaliatory,COMMERCIAL,1,low_or_mid_filing,White+Female,13,0.146067415730337
non_retaliatory,COMMERCIAL,1,low_or_mid_filing,Black+Male,14,0.157303370786517
non_retaliatory,COMMERCIAL,1,low_or_mid_filing,Black+Female,38,0.426966292134831
non_retaliatory,COMMERCIAL,2-5,high_filing,White+Male,19,0.292307692307692
non_retaliatory,COMMERCIAL,2-5,high_filing,White+Female,17,0.261538461538462
non_retaliatory,COMMERCIAL,2-5,high_filing,Black+Male,9,0.138461538461538
non_retaliatory,COMMERCIAL,2-5,high_filing,Black+Female,20,0.307692307692308
non_retaliatory,COMMERCIAL,2-5,low_or_mid_filing,White+Male,31,0.22962962962963
non_retaliatory,COMMERCIAL,2-5,low_or_mid_filing,White+Female,23,0.17037037037037
non_retaliatory,COMMERCIAL,2-5,low_or_mid_filing,Black+Male,36,0.266666666666667
non_retaliatory,COMMERCIAL,2-5,low_or_mid_filing,Black+Female,45,0.333333333333333
non_retaliatory,COMMERCIAL,21-50,low_or_mid_filing,White+Male,28,0.383561643835616
non_retaliatory,COMMERCIAL,21-50,low_or_mid_filing,White+Female,18,0.246575342465753
non_retaliatory,COMMERCIAL,21-50,low_or_mid_filing,Black+Male,12,0.164383561643836
non_retaliatory,COMMERCIAL,21-50,low_or_mid_filing,Black+Female,15,0.205479452054795
non_retaliatory,COMMERCIAL,21-50,missing,White+Male,1,0.142857142857143
non_retaliatory,COMMERCIAL,21-50,missing,White+Female,2,0.285714285714286
non_retaliatory,COMMERCIAL,21-50,missing,Black+Male,1,0.142857142857143
non_retaliatory,COMMERCIAL,21-50,missing,Black+Female,3,0.428571428571429
non_retaliatory,COMMERCIAL,51+,low_or_mid_filing,White+Male,24,0.406779661016949
non_retaliatory,COMMERCIAL,51+,low_or_mid_filing,White+Female,14,0.23728813559322
non_retaliatory,COMMERCIAL,51+,low_or_mid_filing,Black+Male,8,0.135593220338983
non_retaliatory,COMMERCIAL,51+,low_or_mid_filing,Black+Female,13,0.220338983050847
non_retaliatory,COMMERCIAL,6-20,high_filing,White+Male,56,0.518518518518519
non_retaliatory,COMMERCIAL,6-20,high_filing,White+Female,45,0.416666666666667
non_retaliatory,COMMERCIAL,6-20,high_filing,Black+Female,7,0.0648148148148148
non_retaliatory,COMMERCIAL,6-20,low_or_mid_filing,White+Male,50,0.280898876404494
non_retaliatory,COMMERCIAL,6-20,low_or_mid_filing,White+Female,24,0.134831460674157
non_retaliatory,COMMERCIAL,6-20,low_or_mid_filing,Black+Male,63,0.353932584269663
non_retaliatory,COMMERCIAL,6-20,low_or_mid_filing,Black+Female,41,0.230337078651685
non_retaliatory,DETACHED,1,high_filing,White+Male,56,0.127272727272727
non_retaliatory,DETACHED,1,high_filing,White+Female,86,0.195454545454545
non_retaliatory,DETACHED,1,high_filing,Black+Male,67,0.152272727272727
non_retaliatory,DETACHED,1,high_filing,Black+Female,231,0.525
non_retaliatory,DETACHED,1,low_or_mid_filing,White+Male,59,0.163434903047091
non_retaliatory,DETACHED,1,low_or_mid_filing,White+Female,98,0.271468144044321
non_retaliatory,DETACHED,1,low_or_mid_filing,Black+Male,43,0.119113573407202
non_retaliatory,DETACHED,1,low_or_mid_filing,Black+Female,161,0.445983379501385
non_retaliatory,DETACHED,2-5,high_filing,White+Male,22,0.229166666666667
non_retaliatory,DETACHED,2-5,high_filing,White+Female,39,0.40625
non_retaliatory,DETACHED,2-5,high_filing,Black+Male,10,0.104166666666667
non_retaliatory,DETACHED,2-5,high_filing,Black+Female,25,0.260416666666667
non_retaliatory,DETACHED,2-5,low_or_mid_filing,White+Male,33,0.275
non_retaliatory,DETACHED,2-5,low_or_mid_filing,White+Female,24,0.2
non_retaliatory,DETACHED,2-5,low_or_mid_filing,Black+Male,20,0.166666666666667
non_retaliatory,DETACHED,2-5,low_or_mid_filing,Black+Female,43,0.358333333333333
non_retaliatory,DETACHED,6-20,low_or_mid_filing,White+Male,4,0.19047619047619
non_retaliatory,DETACHED,6-20,low_or_mid_filing,White+Female,3,0.142857142857143
non_retaliatory,DETACHED,6-20,low_or_mid_filing,Black+Male,3,0.142857142857143
non_retaliatory,DETACHED,6-20,low_or_mid_filing,Black+Female,11,0.523809523809524
non_retaliatory,DETACHED,6-20,missing,Black+Female,1,1
non_retaliatory,HIGHRISE_MULTI,1,high_filing,White+Male,31,0.246031746031746
non_retaliatory,HIGHRISE_MULTI,1,high_filing,White+Female,68,0.53968253968254
non_retaliatory,HIGHRISE_MULTI,1,high_filing,Black+Male,7,0.0555555555555556
non_retaliatory,HIGHRISE_MULTI,1,high_filing,Black+Female,20,0.158730158730159
non_retaliatory,HIGHRISE_MULTI,1,low_or_mid_filing,White+Female,1,1
non_retaliatory,HIGHRISE_MULTI,2-5,high_filing,White+Male,23,0.178294573643411
non_retaliatory,HIGHRISE_MULTI,2-5,high_filing,White+Female,23,0.178294573643411
non_retaliatory,HIGHRISE_MULTI,2-5,high_filing,Black+Male,14,0.108527131782946
non_retaliatory,HIGHRISE_MULTI,2-5,high_filing,Black+Female,69,0.534883720930233
non_retaliatory,HIGHRISE_MULTI,2-5,low_or_mid_filing,White+Male,3,0.111111111111111
non_retaliatory,HIGHRISE_MULTI,2-5,low_or_mid_filing,White+Female,2,0.0740740740740741
non_retaliatory,HIGHRISE_MULTI,2-5,low_or_mid_filing,Black+Male,3,0.111111111111111
non_retaliatory,HIGHRISE_MULTI,2-5,low_or_mid_filing,Black+Female,19,0.703703703703704
non_retaliatory,HIGHRISE_MULTI,21-50,high_filing,White+Male,57,0.268867924528302
non_retaliatory,HIGHRISE_MULTI,21-50,high_filing,White+Female,52,0.245283018867925
non_retaliatory,HIGHRISE_MULTI,21-50,high_filing,Black+Male,22,0.10377358490566
non_retaliatory,HIGHRISE_MULTI,21-50,high_filing,Black+Female,81,0.382075471698113
non_retaliatory,HIGHRISE_MULTI,21-50,low_or_mid_filing,White+Male,106,0.18694885361552
non_retaliatory,HIGHRISE_MULTI,21-50,low_or_mid_filing,White+Female,122,0.215167548500882
