status,N,bandwidth_periods,time_unit,share
non_retaliatory,8250,1,month,0.853860484371766
same_period,609,1,month,0.0630304284827158
within_bw_not_same_period,803,1,month,0.0831090871455185
non_retaliatory,7714,2,month,0.798385427447733
same_period,609,2,month,0.0630304284827158
within_bw_not_same_period,1339,2,month,0.138584144069551
non_retaliatory,7298,3,month,0.75533015938729
same_period,609,3,month,0.0630304284827158
within_bw_not_same_period,1755,3,month,0.181639412129994
non_retaliatory,6967,4,month,0.72107224177189
same_period,609,4,month,0.0630304284827158
within_bw_not_same_period,2086,4,month,0.215897329745394
non_retaliatory,6692,5,month,0.692610225626164
same_period,609,5,month,0.0630304284827158
within_bw_not_same_period,2361,5,month,0.24435934589112
non_retaliatory,6466,6,month,0.669219623266405
same_period,609,6,month,0.0630304284827158
within_bw_not_same_period,2587,6,month,0.26774994825088
