term,estimate,std_error,t_value,p_value,timing,sample,stem,model,conf_low,conf_high,stem_label,sample_label
event_t_complaint::-12,-0.799415747402236,22.8295476275863,-0.0350167143231631,0.972066510640069,-12,full,complaint,event_study,-45.5453290974715,43.946497602667,Any Complaint,Full Sample
event_t_complaint::-11,-0.729507098672912,20.7541532166998,-0.0351499331751061,0.971960283141966,-11,full,complaint,event_study,-41.4076474034045,39.9486332060587,Any Complaint,Full Sample
event_t_complaint::-10,-0.6574044409208,18.6787266941998,-0.0351953562833027,0.971924063283196,-10,full,complaint,event_study,-37.2677087615525,35.9528998797109,Any Complaint,Full Sample
event_t_complaint::-9,-0.586496779462323,16.6033216684348,-0.0353240629299699,0.971821434413137,-9,full,complaint,event_study,-33.1290072495944,31.9560136906698,Any Complaint,Full Sample
event_t_complaint::-8,-0.515702840872109,14.5279133219509,-0.0354973786973873,0.971683235595047,-8,full,complaint,event_study,-28.9904129518959,27.9590072701517,Any Complaint,Full Sample
event_t_complaint::-7,-0.444558233721182,12.4524940479792,-0.0357003369773403,0.971521401461569,-7,full,complaint,event_study,-24.8514465677604,23.9623301003181,Any Complaint,Full Sample
event_t_complaint::-6,-0.372438390739262,10.3770779288274,-0.0358904879864718,0.971369780606842,-6,full,complaint,event_study,-20.711511131241,19.9666343497625,Any Complaint,Full Sample
event_t_complaint::-5,-0.300605974160135,8.30166603558775,-0.036210318853046,0.971114759162331,-5,full,complaint,event_study,-16.5718714039121,15.9706594555918,Any Complaint,Full Sample
event_t_complaint::-4,-0.228802176192403,6.22625204961965,-0.0367479784578236,0.970686055711826,-4,full,complaint,event_study,-12.4322561934469,11.9746518410621,Any Complaint,Full Sample
event_t_complaint::-3,-0.155882979859598,4.15083162950996,-0.0375546381480189,0.970042880686636,-3,full,complaint,event_study,-8.29151297369911,7.97974701397992,Any Complaint,Full Sample
