term,estimate,std_error,t_value,p_value,sample,outcome,fe,block,conf_low,conf_high
tc_black_c,0.00109802092797663,0.00110452277236519,0.994113435638241,0.320829840863231,full,complaint,tract,suppression,-0.00106684370585914,0.0032628855618124
tc_female_c,0.000353204731850426,0.00106010141094953,0.333180135600483,0.739190665782429,full,complaint,tract,suppression,-0.00172459403361064,0.0024310034973115
tc_black_female_c,-0.00122992858688517,0.00146247890892155,-0.840988939657351,0.400907763043148,full,complaint,tract,suppression,-0.0040963872483714,0.00163653007460106
tc_cov_c,0.00371178718212187,0.00103731225229697,3.57827372992334,0.00039280149280668,full,complaint,tract,suppression,0.0016786551676198,0.00574491919662393
tenant_comp_missing,0.00314109107967101,0.000601024282995471,5.22622990208646,2.92490412927373e-07,full,complaint,tract,suppression,0.00196308348499988,0.00431909867434213
building_type::COMMERCIAL:tc_black_c,-0.0256998939885284,0.0189698336788183,-1.35477698031822,0.176331180004688,full,complaint,tract,suppression,-0.0628807679990123,0.0114809800219555
building_type::DETACHED:tc_black_c,0.00524999563940623,0.00439794597155438,1.19373809350157,0.233359971759394,full,complaint,tract,suppression,-0.00336997846484036,0.0138699697436528
building_type::HIGHRISE_MULTI:tc_black_c,0.0460454717880597,0.0828975679349779,0.55545021325808,0.578928899681991,full,complaint,tract,suppression,-0.116433761364497,0.208524704940616
building_type::LOWRISE_MULTI:tc_black_c,0.0180916349015456,0.00632058832010835,2.86233400836893,0.00444921182390414,full,complaint,tract,suppression,0.00570328179413324,0.030479988008958
building_type::MIDRISE_MULTI:tc_black_c,0.0104705154689316,0.0278365414619059,0.376142829498427,0.707030452891727,full,complaint,tract,suppression,-0.0440891057964041,0.0650301367342672
building_type::OTHER:tc_black_c,-0.0121104441561152,0.00667101851232649,-1.81538158434697,0.0702903166706744,full,complaint,tract,suppression,-0.0251856404402751,0.000964752128044713
building_type::SMALL_MULTI_2_4:tc_black_c,-0.0013005023584329,0.0021934831286665,-0.59289371385479,0.553621465462437,full,complaint,tract,suppression,-0.00559972929061924,0.00299872457375343
building_type::TWIN:tc_black_c,0.00245509958443388,0.00274848666175199,0.893255047804709,0.372312408163438,full,complaint,tract,suppression,-0.00293193427260003,0.00784213344146779
building_type::COMMERCIAL:tc_female_c,0.0163961268751747,0.00873229693796714,1.87764192991262,0.0612317590089808,full,complaint,tract,suppression,-0.00071917512324093,0.0335114288735903
building_type::DETACHED:tc_female_c,-0.000681159725904349,0.00377871397128681,-0.180262314395917,0.857047230130647,full,complaint,tract,suppression,-0.00808743910962651,0.0067251196578178
building_type::HIGHRISE_MULTI:tc_female_c,-0.15873228618914,0.125465932719749,-1.26514251915456,0.206631768871121,full,complaint,tract,suppression,-0.404645514319848,0.0871809419415687
building_type::LOWRISE_MULTI:tc_female_c,-0.000302538897644906,0.00635960237574227,-0.0475719832420489,0.962083522498423,full,complaint,tract,suppression,-0.0127673595540997,0.0121622817588099
building_type::MIDRISE_MULTI:tc_female_c,-0.00570260790776402,0.0104963970821416,-0.543291937522671,0.587262275081261,full,complaint,tract,suppression,-0.0262755461887616,0.0148703303732335
building_type::OTHER:tc_female_c,-0.00492269259472282,0.0106810359184519,-0.460881569194863,0.645159575575902,full,complaint,tract,suppression,-0.0258575229948886,0.016012137805443
building_type::SMALL_MULTI_2_4:tc_female_c,-0.00281706653398812,0.00265067076642799,-1.06277496612088,0.288590518122447,full,complaint,tract,suppression,-0.00801238123618698,0.00237824816821073
building_type::TWIN:tc_female_c,-0.00118048795824217,0.0028379799786733,-0.415960636478496,0.677684610970724,full,complaint,tract,suppression,-0.00674292871644184,0.00438195279995749
tc_black_c,0.00089323575240183,0.00113806453186549,0.784872674080846,0.432684313846004,full,complaint,bg,suppression,-0.00133737073005452,0.00312384223485818
tc_female_c,-7.53215999578439e-05,0.00101234244142288,-0.0744032818104287,0.940701991782768,full,complaint,bg,suppression,-0.00205951278514669,0.001908869585231
tc_black_female_c,-0.000654689958936613,0.00137398916815638,-0.476488442638218,0.633813841537294,full,complaint,bg,suppression,-0.00334770872852311,0.00203832881064989
tc_cov_c,0.0035387841660252,0.001014776939214,3.48725323691943,0.000505790563346665,full,complaint,bg,suppression,0.00154982136516577,0.00552774696688464
tenant_comp_missing,0.00297534880409157,0.000575425413921306,5.17069411970476,2.73358616420445e-07,full,complaint,bg,suppression,0.00184751499280581,0.00410318261537733
