term,estimate,std_error,t_value,p_value,sample,stem,fe
tc_black_c,0.0014141235115496,0.0010836699559762,1.3049392979394,0.192740130594863,full,complaint,tract
tc_female_c,-0.000343880037429007,0.000958114733914369,-0.358913212850916,0.719868679210672,full,complaint,tract
tc_black_female_c,-0.00089290882807274,0.00145020477696307,-0.615712237510772,0.538470309382543,full,complaint,tract
tc_cov_c,0.00371770411727385,0.00103528511915977,3.59099541611406,0.000374743969694661,full,complaint,tract
tenant_comp_missing,0.00324928724136056,0.000603676250841263,5.38249970382711,1.32105945064887e-07,full,complaint,tract
total_permits,0.0136801842610048,0.00329091862859448,4.15695002062312,4.02749534129603e-05,full,complaint,tract
total_violations,0.0672407915505116,0.00290823541057668,23.1208214114889,2.36786228376167e-73,full,complaint,tract
log_total_area,0.00225547736537818,0.000529897676912365,4.25643942906205,2.6475880004558e-05,full,complaint,tract
log_market_value,0.00143464917361998,0.000823272603988984,1.74261741089004,0.0822473095826861,full,complaint,tract
tc_black_c,0.00112769410922919,0.00112519334567045,1.00222251897273,0.316439708288856,full,complaint,bg
tc_female_c,-0.000652606269837908,0.000920762012943087,-0.708767586699133,0.478607419504086,full,complaint,bg
tc_black_female_c,-0.000439933142304018,0.00136750986899437,-0.321703815291317,0.747733538183184,full,complaint,bg
tc_cov_c,0.00353277050214545,0.00100666985655093,3.50936355067738,0.000465943233215082,full,complaint,bg
tenant_comp_missing,0.00304055765165216,0.000575978919382257,5.27893912317692,1.54306250518912e-07,full,complaint,bg
total_permits,0.0134145209126219,0.00318279858185928,4.21469363128394,2.69016868713275e-05,full,complaint,bg
total_violations,0.0665682674469847,0.00288588154516601,23.0668745078916,1.2697099501326e-97,full,complaint,bg
log_total_area,0.00254655826053893,0.000601472178842179,4.23387539792947,2.47366870663453e-05,full,complaint,bg
log_market_value,0.00102416035597303,0.000880727873646694,1.1628567536218,0.245120565698012,full,complaint,bg
tc_black_c,0.000827940655971861,0.00162985418578779,0.507984495295005,0.61177274840624,pre,complaint,tract
tc_female_c,0.000504479906403851,0.00133513326507036,0.37784985184776,0.705762979536135,pre,complaint,tract
tc_black_female_c,-0.00226249610224256,0.00224796113092504,-1.00646584636966,0.314861950630232,pre,complaint,tract
tc_cov_c,0.0022569823613,0.00150130044548363,1.50335155637214,0.133617886146317,pre,complaint,tract
tenant_comp_missing,0.00308421259223789,0.000772186084681962,3.99413127667041,7.86253259560357e-05,pre,complaint,tract
total_permits,0.0152303462935717,0.00397219617324278,3.83423819703699,0.000148454260593223,pre,complaint,tract
total_violations,0.0774234978966641,0.00381100757236168,20.3157554600934,7.91149629294175e-62,pre,complaint,tract
log_total_area,0.00239263380331893,0.000684945213343739,3.49317544922851,0.00053624924876747,pre,complaint,tract
log_market_value,-0.000594988975834492,0.00108087104300934,-0.550471751170181,0.582334430066223,pre,complaint,tract
tc_black_c,0.000757311573354208,0.00172417174145416,0.439232099184907,0.660573044808563,pre,complaint,bg
tc_female_c,0.000729984905448585,0.00124878406886724,0.584556548764067,0.558956642376983,pre,complaint,bg
tc_black_female_c,-0.00207527488466191,0.00209966724794824,-0.9883827481187,0.323165983801598,pre,complaint,bg
tc_cov_c,0.00219575111723019,0.00159060336731671,1.38045169672585,0.167706634198892,pre,complaint,bg
tenant_comp_missing,0.00306323305891332,0.000792642387424419,3.86458396309951,0.000117280336246073,pre,complaint,bg
total_permits,0.0151677452843387,0.00384906098366941,3.94063522212082,8.59916628905489e-05,pre,complaint,bg
total_violations,0.0766126754369159,0.00365632791713989,20.9534476045696,3.07637562848267e-83,pre,complaint,bg
log_total_area,0.00270417232805207,0.000738004002873977,3.66417027214125,0.000259052773670231,pre,complaint,bg
log_market_value,-0.00158904410773887,0.00109528692186916,-1.45080168128647,0.147098406264247,pre,complaint,bg
tc_black_c,0.000698985171568814,0.000765937591649962,0.912587630100619,0.362065142394726,full,severe,tract
tc_female_c,-0.000747452737350759,0.000579141564959852,-1.29062181437897,0.197656267955622,full,severe,tract
tc_black_female_c,0.00136136431418737,0.00105608888475918,1.28906225018909,0.198197284340246,full,severe,tract
tc_cov_c,0.00113943061173513,0.000762479743656765,1.4943749276152,0.135946399018521,full,severe,tract
tenant_comp_missing,0.000553344462918863,0.000392083846923195,1.41129114923027,0.159015285959084,full,severe,tract
total_permits,0.000471612624436542,0.0013562106969136,0.347742887967052,0.728234835325605,full,severe,tract
total_violations,0.0411862482254247,0.00210023320882898,19.6103213930175,6.6177233479071e-59,full,severe,tract
log_total_area,0.00119636643340215,0.000415667192497529,2.87818344819038,0.00423646202980358,full,severe,tract
log_market_value,0.00237895816570107,0.000592091330391006,4.01789055774562,7.14100935689009e-05,full,severe,tract
tc_black_c,0.000690089592020604,0.000796348991935053,0.86656679296316,0.386353954791966,full,severe,bg
tc_female_c,-0.000865989180025393,0.000559633058617861,-1.54742320291826,0.122026892175983,full,severe,bg
tc_black_female_c,0.00133683960672616,0.00101639225556366,1.31527921371734,0.188669239276559,full,severe,bg
tc_cov_c,0.00135062622092596,0.000749532691270376,1.80195772199981,0.0718048397071968,full,severe,bg
tenant_comp_missing,0.000570166925746548,0.000386633815725545,1.47469492464489,0.140558860931406,full,severe,bg
total_permits,0.000317629904643588,0.00128770080576615,0.24666436739131,0.805210492835161,full,severe,bg
total_violations,0.0407683226884243,0.00207914185610903,19.6082448961513,2.06338215016229e-74,full,severe,bg
log_total_area,0.00139209863784172,0.000464185997314963,2.99901040939229,0.00276481847329211,full,severe,bg
log_market_value,0.00219683692052682,0.000643010877338634,3.41648484955548,0.000655744929983684,full,severe,bg
tc_black_c,0.000651672676413666,0.00119220000999066,0.546613547183892,0.584980088074897,pre,severe,tract
tc_female_c,-0.000192593612205841,0.000789648758979856,-0.243897821677897,0.80744774150231,pre,severe,tract
tc_black_female_c,0.000399262001091446,0.00154796600809697,0.257926853046527,0.796609523261275,pre,severe,tract
tc_cov_c,0.000241653045248425,0.00113923258231732,0.212119148450685,0.832133134719665,pre,severe,tract
tenant_comp_missing,0.000209828890226655,0.000513355933710996,0.408739582904641,0.682971809112936,pre,severe,tract
total_permits,-0.000269619637034015,0.00143999480798883,-0.187236534144578,0.85157978852816,pre,severe,tract
total_violations,0.0454476556121856,0.00279355616569271,16.2687459698581,4.38660355334484e-45,pre,severe,tract
log_total_area,0.000857549324031598,0.000460210340988304,1.86338560361336,0.0632153557640861,pre,severe,tract
log_market_value,0.00155947871828382,0.000613014568106555,2.54395050202584,0.0113744664897364,pre,severe,tract
tc_black_c,0.00130765842476038,0.0012783898311641,1.02289488924488,0.306565264544986,pre,severe,bg
tc_female_c,-6.91217273535486e-05,0.000771917702013449,-0.0895454621305527,0.928663480550225,pre,severe,bg
tc_black_female_c,-0.000113042641522449,0.00154945171219141,-0.0729565436812298,0.941852948439037,pre,severe,bg
tc_cov_c,0.000825051573883341,0.00118381106458186,0.69694531379867,0.485973025690195,pre,severe,bg
tenant_comp_missing,0.000314515267074065,0.000509105103311546,0.617780621384968,0.536838062816718,pre,severe,bg
total_permits,-0.000100139592327131,0.0014011507570406,-0.0714695344693946,0.943036069561219,pre,severe,bg
total_violations,0.0449857514790304,0.00268980673478673,16.7245292746274,1.46516238918852e-56,pre,severe,bg
log_total_area,0.00102521618473678,0.000478910217614577,2.14072731595353,0.0324985999458773,pre,severe,bg
log_market_value,0.00129055887003004,0.000599384515321759,2.15314015801234,0.0315079479586247,pre,severe,bg
tc_black_c,0.000705655246717419,0.000774903134007139,0.910636717996442,0.363091103757483,full,non_severe,tract
tc_female_c,0.000482811690107188,0.00066528901725938,0.725717210989147,0.468479762463067,full,non_severe,tract
tc_black_female_c,-0.00238759847878337,0.000954859894257418,-2.50046995705079,0.012843105863369,full,non_severe,tract
tc_cov_c,0.00248809799836859,0.000656970106340265,3.78723167820962,0.000178231144279704,full,non_severe,tract
tenant_comp_missing,0.002488831570252,0.000404578621620546,6.15166357600149,2.02607715042903e-09,full,non_severe,tract
