term,estimate,std_error,t_value,p_value,sample,outcome,fe,block,conf_low,conf_high
tc_black_c,0.00313846130309297,0.0178595479732202,0.175730164492348,0.860615713458897,full,same,tract,targeting,-0.0318662527244187,0.0381431753306046
tc_female_c,-0.0264302335805906,0.0190073300611636,-1.39052846957152,0.165322826543566,full,same,tract,targeting,-0.0636846005004714,0.0108241333392901
tc_black_female_c,0.0352865722959758,0.0211109817796369,1.67147945388368,0.0955925021475447,full,same,tract,targeting,-0.00609095199211251,0.0766640965840642
tc_cov_c,0.0162075402930855,0.0133611112536929,1.21303834578923,0.225998807120452,full,same,tract,targeting,-0.00998023776415261,0.0423953183503237
tenant_comp_missing,0.0138806698565101,0.00846475503339364,1.63981943975349,0.1020132164745,full,same,tract,targeting,-0.00271025000894148,0.0304715897219616
building_type::COMMERCIAL:tc_black_c,0.150482610764279,0.100389613595138,1.49898585496266,0.134850990767182,full,same,tract,targeting,-0.0462810318821913,0.34724625341075
building_type::DETACHED:tc_black_c,0.037896260302463,0.0789266446380782,0.480145335915876,0.631448048150386,full,same,tract,targeting,-0.11679996318817,0.192592483793096
building_type::HIGHRISE_MULTI:tc_black_c,0.211302336054641,0.383981105079443,0.550293577625192,0.58249720358082,full,same,tract,targeting,-0.541300629901066,0.963905302010349
building_type::LOWRISE_MULTI:tc_black_c,0.00785789090796403,0.0527583372702772,0.14894121601499,0.881692677938646,full,same,tract,targeting,-0.0955484501417792,0.111264231957707
building_type::MIDRISE_MULTI:tc_black_c,-0.141407952770797,0.0591305154294699,-2.39145476314115,0.0173517871916449,full,same,tract,targeting,-0.257303763012558,-0.0255121425290358
building_type::OTHER:tc_black_c,0.167792064019321,0.132665958143054,1.26477105632773,0.206862370002711,full,same,tract,targeting,-0.0922332139410645,0.427817341979706
building_type::SMALL_MULTI_2_4:tc_black_c,-0.00638856151195875,0.0228022863437804,-0.28017197116294,0.779524364338349,full,same,tract,targeting,-0.0510810427457684,0.0383039197218509
building_type::TWIN:tc_black_c,0.00729359472346189,0.0363211572064506,0.20080843465435,0.840974363223796,full,same,tract,targeting,-0.0638958734011812,0.078483062848105
building_type::COMMERCIAL:tc_female_c,-0.0971158893199225,0.0552916939503708,-1.75642817901532,0.0799600217706598,full,same,tract,targeting,-0.205487609462649,0.0112558308228044
building_type::DETACHED:tc_female_c,0.0150375715010101,0.0490807346885285,0.306384401057565,0.759508773921598,full,same,tract,targeting,-0.0811606684885058,0.111235811490526
building_type::HIGHRISE_MULTI:tc_female_c,0.326742275108166,0.219539005630283,1.4883108091435,0.137641574954219,full,same,tract,targeting,-0.103554175927188,0.75703872614352
building_type::LOWRISE_MULTI:tc_female_c,0.023452488562425,0.0504856481701292,0.464537733246359,0.642574532577659,full,same,tract,targeting,-0.0754993818510282,0.122404358975878
building_type::MIDRISE_MULTI:tc_female_c,0.114397652382986,0.0499059203819861,2.29226615815062,0.022531019022663,full,same,tract,targeting,0.0165820484342934,0.212213256331679
building_type::OTHER:tc_female_c,-0.234770307418822,0.209156909551424,-1.12246020426641,0.262497921447857,full,same,tract,targeting,-0.644717850139614,0.175177235301969
building_type::SMALL_MULTI_2_4:tc_female_c,0.0153730068961193,0.0272998195298874,0.563117528278501,0.57374432720332,full,same,tract,targeting,-0.0381346393824599,0.0688806531746985
building_type::TWIN:tc_female_c,0.0351683937281781,0.0383846512657775,0.916209801794739,0.360238291613882,full,same,tract,targeting,-0.0400655227527457,0.110402310209102
tc_black_c,-0.0148959617938709,0.019946591685812,-0.746792335678399,0.455392794438187,full,same,bg,targeting,-0.0539912814980624,0.0241993579103206
tc_female_c,-0.0284273370807785,0.0194875020141649,-1.45874710160982,0.144999420631384,full,same,bg,targeting,-0.0666228410285416,0.00976816686698464
tc_black_female_c,0.0373598806870345,0.0231666025154101,1.61266118595436,0.107184585645761,full,same,bg,targeting,-0.00804666024316918,0.0827664216172383
tc_cov_c,0.0121326714006531,0.0159185391499536,0.762172413332815,0.446165841886705,full,same,bg,targeting,-0.0190676653332561,0.0433330081345622
tenant_comp_missing,0.00551536585733083,0.00915556056187821,0.602406135599783,0.547062440494402,full,same,bg,targeting,-0.0124295328439505,0.0234602645586121
building_type::COMMERCIAL:tc_black_c,0.0460872803309046,0.0524318717272743,0.878993612332376,0.379649979485484,full,same,bg,targeting,-0.056679188254553,0.148853748916362
building_type::DETACHED:tc_black_c,0.0230697201112859,0.080599958148742,0.286224963897776,0.77477467804834,full,same,bg,targeting,-0.134906197860248,0.18104563808282
building_type::HIGHRISE_MULTI:tc_black_c,0.239781909261217,0.406240447268835,0.590246271323491,0.555180432296881,full,same,bg,targeting,-0.5564493673857,1.03601318590813
building_type::LOWRISE_MULTI:tc_black_c,-0.0142638289074515,0.0545868643534081,-0.261305152373365,0.793919684451213,full,same,bg,targeting,-0.121254083040131,0.0927264252252284
building_type::MIDRISE_MULTI:tc_black_c,-0.156061611657008,0.103768059965593,-1.50394651021474,0.13296184685759,full,same,bg,targeting,-0.35944700918957,0.0473237858755543
building_type::OTHER:tc_black_c,0.046087507494111,0.0618349829445971,0.745330641320052,0.45627527143842,full,same,bg,targeting,-0.0751090590772992,0.167284074065521
building_type::SMALL_MULTI_2_4:tc_black_c,-0.00288801325248439,0.0288337143875229,-0.100160985631948,0.920239835947977,full,same,bg,targeting,-0.0594020934520293,0.0536260669470605
building_type::TWIN:tc_black_c,0.016299137964417,0.0435650143839814,0.374133652769092,0.708396998137726,full,same,bg,targeting,-0.0690882902281865,0.101686566157021
building_type::COMMERCIAL:tc_female_c,-0.0167528333934948,0.0350669269681498,-0.477738850875382,0.632957346996457,full,same,bg,targeting,-0.0854840102510683,0.0519783434640787
building_type::DETACHED:tc_female_c,0.0221990655641798,0.0454810848776955,0.488094460012902,0.625607207367639,full,same,bg,targeting,-0.0669438607961034,0.111341991924463
building_type::HIGHRISE_MULTI:tc_female_c,0.348608051215536,0.220178446284499,1.5832978072935,0.113720824872999,full,same,bg,targeting,-0.082941703502081,0.780157805933154
building_type::LOWRISE_MULTI:tc_female_c,0.00980546615071943,0.0481450053358846,0.203665283289749,0.83866319864194,full,same,bg,targeting,-0.0845587443076145,0.104169676609053
building_type::MIDRISE_MULTI:tc_female_c,0.0544362817381559,0.0634267759608636,0.858253961572079,0.390991097433586,full,same,bg,targeting,-0.0698801991451368,0.178752762621449
building_type::OTHER:tc_female_c,-0.0312170061730459,0.0913997398626471,-0.341543709204839,0.732777643290464,full,same,bg,targeting,-0.210360496303834,0.147926483957742
