block,sample,outcome,fe,slope_var,slope_label,building_type,ref_building_type,base_term,interaction_term,estimable,estimate,std_error,stat_value,p_value,conf_low,conf_high
targeting,full,bw,bg,tc_black_c,pct_black,COMMERCIAL,ROW,tc_black_c,building_type::COMMERCIAL:tc_black_c,TRUE,0.613049508656929,0.431328950520342,1.42130387472801,0.155228437573071,-0.232355234362942,1.4584542516768
targeting,full,bw,bg,tc_black_c,pct_black,DETACHED,ROW,tc_black_c,building_type::DETACHED:tc_black_c,TRUE,0.663552985681286,0.316811613570389,2.09447178467736,0.036217973959609,0.0426022230833238,1.28450374827925
targeting,full,bw,bg,tc_black_c,pct_black,HIGHRISE_MULTI,ROW,tc_black_c,building_type::HIGHRISE_MULTI:tc_black_c,TRUE,0.170242244601472,0.697597809473652,0.244040681162578,0.80719931319893,-1.19704946196688,1.53753395116983
targeting,full,bw,bg,tc_black_c,pct_black,LOWRISE_MULTI,ROW,tc_black_c,building_type::LOWRISE_MULTI:tc_black_c,TRUE,0.0704152787921931,0.132621750066947,0.530948194822099,0.595454678974098,-0.189523351339023,0.330353908923409
targeting,full,bw,bg,tc_black_c,pct_black,MIDRISE_MULTI,ROW,tc_black_c,building_type::MIDRISE_MULTI:tc_black_c,TRUE,-0.0982415772245538,0.366182963571222,-0.268285493859263,0.788479571290958,-0.815960185824148,0.619477031375041
targeting,full,bw,bg,tc_black_c,pct_black,OTHER,ROW,tc_black_c,building_type::OTHER:tc_black_c,TRUE,-0.300375907185131,0.336372784086206,-0.892985168229752,0.371865115437985,-0.959666563994095,0.358914749623833
targeting,full,bw,bg,tc_black_c,pct_black,ROW,ROW,tc_black_c,,TRUE,-0.0542091832740583,0.0422768406981379,-1.2822430053636,0.199757414444921,-0.137071791042409,0.028653424494292
targeting,full,bw,bg,tc_black_c,pct_black,SMALL_MULTI_2_4,ROW,tc_black_c,building_type::SMALL_MULTI_2_4:tc_black_c,TRUE,-0.0479379577206646,0.0748707158952011,-0.640276470546441,0.521992875005244,-0.194684560875259,0.0988086454339295
targeting,full,bw,bg,tc_black_c,pct_black,TWIN,ROW,tc_black_c,building_type::TWIN:tc_black_c,TRUE,0.141471471305277,0.0831461250214541,1.70148003011293,0.0888528846146851,-0.0214949337367726,0.304437876347327
targeting,full,bw,bg,tc_female_c,pct_women,COMMERCIAL,ROW,tc_female_c,building_type::COMMERCIAL:tc_female_c,TRUE,-0.23520059352949,0.251815028466025,-0.934021273322149,0.350292919590457,-0.7287580493229,0.258356862263919
