term,estimate,std_error,t_value,p_value,sample,outcome,fe
tc_black_c,-0.00253116158496455,0.00431871588018731,-0.586091249155008,0.558162146752701,full,same,tract
tc_female_c,0.000698351314376419,0.00334294527247578,0.208903005420493,0.834635893414096,full,same,tract
tc_black_female_c,-0.00589010128252685,0.00436710396557882,-1.34874308671197,0.178222716815525,full,same,tract
tc_cov_c,-0.00695527819180279,0.00344022670343236,-2.02174995760117,0.043902580415714,full,same,tract
tenant_comp_missing,0.00315164043733479,0.00224581905446661,1.40333676084306,0.161333035209328,full,same,tract
tc_black_c,-0.00318849017690148,0.00420988739135007,-0.757381345508856,0.448956093318713,full,same,bg
tc_female_c,3.88390255751016e-05,0.00329155131368159,0.011799611147991,0.990587267226596,full,same,bg
tc_black_female_c,-0.00458546039044036,0.00458335035395892,-1.00046036988633,0.317270436057005,full,same,bg
tc_cov_c,-0.00787885995870591,0.0033219212197933,-2.3717780878609,0.0178449520922253,full,same,bg
tenant_comp_missing,0.00180675675729094,0.00204010204306123,0.885620777370456,0.375982604539098,full,same,bg
tc_black_c,-0.00454169082884936,0.00451218690292417,-1.00653871981812,0.314796986976831,pre,same,tract
tc_female_c,0.000762256019039904,0.00372046777470953,0.204881768959661,0.837774196378451,pre,same,tract
tc_black_female_c,-0.00755594442689513,0.00493452505099346,-1.53124046363366,0.126542014232162,pre,same,tract
tc_cov_c,-0.00418678825324035,0.00380734159488059,-1.0996618372436,0.272175655535944,pre,same,tract
tenant_comp_missing,0.00373495809985824,0.00229941458051752,1.62430826154787,0.105139172564085,pre,same,tract
tc_black_c,-0.00608436654410551,0.00459121589054278,-1.32521900280019,0.185327163888685,pre,same,bg
tc_female_c,0.000221432515709869,0.0036443702031391,0.0607601597442371,0.951559389570019,pre,same,bg
tc_black_female_c,-0.00593621624056962,0.00509922244736898,-1.16414145525903,0.244576420245145,pre,same,bg
tc_cov_c,-0.00522335244604098,0.00361037961419049,-1.44675989901747,0.148200881005136,pre,same,bg
tenant_comp_missing,0.00294170816390703,0.00210798095449961,1.39550983970124,0.163096145842118,pre,same,bg
tc_black_c,-0.0166056027050739,0.012492379472512,-1.32925858853491,0.184560161132911,full,bw,tract
tc_female_c,0.00728399954802393,0.00875043937065771,0.832415292476501,0.405697400741352,full,bw,tract
tc_black_female_c,-0.00456879469922039,0.0113994991682892,-0.400789072552391,0.688800673734393,full,bw,tract
tc_cov_c,-0.0242769216933059,0.00958356294887864,-2.5331833080041,0.0117045497555841,full,bw,tract
tenant_comp_missing,0.010415123289647,0.00840393684385196,1.23931479771487,0.215993809643673,full,bw,tract
tc_black_c,-0.0193174833968591,0.0110477093981642,-1.7485510073309,0.0806002341503364,full,bw,bg
tc_female_c,0.00389275199334634,0.00862439105167757,0.451365432065971,0.651800057283078,full,bw,bg
tc_black_female_c,5.32774236697391e-05,0.0108422408133353,0.00491387570032675,0.996080049918128,full,bw,bg
tc_cov_c,-0.0260134559199132,0.00852570875254126,-3.05117811022566,0.0023247569683535,full,bw,bg
tenant_comp_missing,0.00597484961413476,0.00640878029038223,0.932291222887032,0.351355885899153,full,bw,bg
tc_black_c,-0.0164764971859513,0.0130741074334541,-1.2602387788088,0.208356574160947,pre,bw,tract
tc_female_c,0.00712482454903014,0.00912726562083851,0.78060887510093,0.43551855849629,pre,bw,tract
tc_black_female_c,-0.00895658326502275,0.0115749562480021,-0.773789815971762,0.439536210754176,pre,bw,tract
tc_cov_c,-0.0214599687633677,0.0105494121498865,-2.0342336102205,0.0426220410061141,pre,bw,tract
tenant_comp_missing,0.0131263609629634,0.00885739916949449,1.48196560996952,0.139178207254853,pre,bw,tract
tc_black_c,-0.0238023559731178,0.0118212937586643,-2.01351531051093,0.0442624691984334,pre,bw,bg
tc_female_c,0.00330284968694724,0.00935802841405748,0.352942900022162,0.724187428973975,pre,bw,bg
tc_black_female_c,-0.00260333567568858,0.0116020598510382,-0.224385644369488,0.822491861486786,pre,bw,bg
tc_cov_c,-0.025780065431238,0.0094549228933128,-2.7266288389799,0.00648294634760477,pre,bw,bg
tenant_comp_missing,0.00766206568345269,0.0068602146817647,1.11688424326128,0.264246461743372,pre,bw,bg
