term,estimate,std_error,t_value,p_value,sample,stem,spec,model,conf_low,conf_high,stem_label,sample_label
filed_complaint,0.0435752174508847,0.00159178383603148,27.3750847725174,2.7399087736293e-131,full,complaint,tract_baseline,same_period,0.040455321132263,0.0466951137695064,Any Complaint,Full Sample
filed_complaint,0.0431898326571108,0.00157911946659599,27.3505795924436,4.21167272340048e-131,full,complaint,tract_tenant_augmented,same_period,0.0400947585025826,0.0462849068116389,Any Complaint,Full Sample
filed_complaint:tc_black_c,0.0211902100757589,0.00308528800722227,6.86814651538376,9.94822677548078e-12,full,complaint,tract_tenant_augmented,same_period,0.0151430455816033,0.0272373745699146,Any Complaint,Full Sample
filed_complaint:tc_female_c,0.00943955874258973,0.00235824032631185,4.0027976102642,6.60456008289374e-05,full,complaint,tract_tenant_augmented,same_period,0.00481740770301852,0.014061709782161,Any Complaint,Full Sample
filed_complaint:tc_black_female_c,-0.00160142278683628,0.00374085090476312,-0.428090514058508,0.66865437783827,full,complaint,tract_tenant_augmented,same_period,-0.00893349056017199,0.00573064498649943,Any Complaint,Full Sample
filed_complaint:tc_cov_c,0.0107099743273156,0.00209136040841176,5.12105626760386,3.48411239036393e-07,full,complaint,tract_tenant_augmented,same_period,0.00661090792682858,0.0148090407278027,Any Complaint,Full Sample
filed_severe,0.0754828218548103,0.00215556265210762,35.0176886675069,4.92412472546747e-191,full,severe,tract_baseline,same_period,0.0712579190566794,0.0797077246529412,Severe Complaint,Full Sample
filed_severe,0.0750424732331437,0.00222029291377477,33.7984563962609,2.23436210182488e-181,full,severe,tract_tenant_augmented,same_period,0.0706906991221451,0.0793942473441422,Severe Complaint,Full Sample
filed_severe:tc_black_c,0.0158704472531938,0.00508606881352046,3.12037603797355,0.00184496550100653,full,severe,tract_tenant_augmented,same_period,0.00590175237869369,0.0258391421276939,Severe Complaint,Full Sample
filed_severe:tc_female_c,0.0135098406093345,0.0043801641425959,3.08432290880495,0.00208210248873019,full,severe,tract_tenant_augmented,same_period,0.00492471888984657,0.0220949623288225,Severe Complaint,Full Sample
filed_severe:tc_black_female_c,-0.0122422337743429,0.00603328574506714,-2.02911552537557,0.0426449120918155,full,severe,tract_tenant_augmented,same_period,-0.0240674738346745,-0.000416993714011269,Severe Complaint,Full Sample
filed_severe:tc_cov_c,0.0221272135362951,0.00327883849969025,6.74849143633803,2.2219360699861e-11,full,severe,tract_tenant_augmented,same_period,0.0157006900769022,0.028553736995688,Severe Complaint,Full Sample
filed_non_severe,0.00729937370241649,0.000586399309970039,12.4477869914094,9.94404885384225e-34,full,non_severe,tract_baseline,same_period,0.00615003105487521,0.00844871634995777,Non-Severe Complaint,Full Sample
filed_non_severe,0.00731149875699765,0.000586882644021316,12.4581955719449,8.84742001377772e-34,full,non_severe,tract_tenant_augmented,same_period,0.00616120877471587,0.00846178873927943,Non-Severe Complaint,Full Sample
filed_non_severe:tc_black_c,-0.00292575629420251,0.00216957268664369,-1.34854034262785,0.177713720948213,full,non_severe,tract_tenant_augmented,same_period,-0.00717811876002414,0.00132660617161912,Non-Severe Complaint,Full Sample
filed_non_severe:tc_female_c,0.00250582484800677,0.00169150200353155,1.48141997040208,0.138731029637743,full,non_severe,tract_tenant_augmented,same_period,-0.00080951907891507,0.0058211687749286,Non-Severe Complaint,Full Sample
filed_non_severe:tc_black_female_c,0.00179491116852216,0.00311396579350076,0.576406835382833,0.564437536500576,full,non_severe,tract_tenant_augmented,same_period,-0.00430846178673932,0.00789828412378365,Non-Severe Complaint,Full Sample
filed_non_severe:tc_cov_c,-0.00149851331646176,0.00193098290030051,-0.776036554351959,0.437865065970267,full,non_severe,tract_tenant_augmented,same_period,-0.00528323980105075,0.00228621316812724,Non-Severe Complaint,Full Sample
filed_complaint,0.0491600028671095,0.00181850584290388,27.0331838959662,1.09294714986824e-128,pre,complaint,tract_baseline,same_period,0.0455957314150179,0.0527242743192011,Any Complaint,Pre-COVID (<=2019)
filed_complaint,0.0489326241412525,0.00182286094255409,26.8438601096423,2.9836236851109e-127,pre,complaint,tract_tenant_augmented,same_period,0.0453598166938465,0.0525054315886585,Any Complaint,Pre-COVID (<=2019)
filed_complaint:tc_black_c,0.0259213338391298,0.00377641569550696,6.86400437059141,1.02310027843603e-11,pre,complaint,tract_tenant_augmented,same_period,0.0185195590759361,0.0333231086023234,Any Complaint,Pre-COVID (<=2019)
