term,estimate,std_error,t_value,p_value,sample,outcome,fe,block,conf_low,conf_high
tc_black_c,-0.00865118703279028,0.00833317301400015,-1.03816241643559,0.299861597979471,full,same,tract,bldg_year_targeting,-0.0249842061402306,0.00768183207465001
tc_female_c,0.00794128506608055,0.00873326230160804,0.909314846139264,0.363766450462602,full,same,tract,bldg_year_targeting,-0.0091759090450712,0.0250584791772323
tc_black_female_c,-0.0158445735314604,0.0100259312187318,-1.58035928890648,0.114865433978882,full,same,tract,bldg_year_targeting,-0.0354953987201748,0.00380625165725404
tc_cov_c,-0.00572737725595348,0.00806410522339599,-0.710230967638781,0.478001177298991,full,same,tract,bldg_year_targeting,-0.0215330234938096,0.0100782689819027
tenant_comp_missing,0.00141381022417529,0.00347147118087115,0.407265436039281,0.684044803972336,full,same,tract,bldg_year_targeting,-0.00539027329033217,0.00821789373868275
building_type::COMMERCIAL:tc_black_c,0.175268825798778,0.0744062052997041,2.35556732254796,0.0190073042951706,full,same,tract,bldg_year_targeting,0.0294326634113577,0.321104988186198
building_type::DETACHED:tc_black_c,0.0192271292254996,0.0494822398646036,0.388566266969928,0.697816950877122,full,same,tract,bldg_year_targeting,-0.0777580609091236,0.116212319360123
building_type::HIGHRISE_MULTI:tc_black_c,0.256459907998136,0.0581691088484081,4.40886774914301,1.35798315019914e-05,full,same,tract,bldg_year_targeting,0.142448454655256,0.370471361341016
building_type::LOWRISE_MULTI:tc_black_c,0.0835533471404075,0.0196309171043939,4.25621211154246,2.62867734896935e-05,full,same,tract,bldg_year_targeting,0.0450767496157954,0.12202994466502
building_type::MIDRISE_MULTI:tc_black_c,0.0949465974431405,0.050915063992508,1.86480365530153,0.0629877845659753,full,same,tract,bldg_year_targeting,-0.00484692798217523,0.194740122868456
building_type::OTHER:tc_black_c,0.0770447625229933,0.0988860485532697,0.779126718583456,0.436395157713643,full,same,tract,bldg_year_targeting,-0.116771892641415,0.270861417687402
building_type::SMALL_MULTI_2_4:tc_black_c,0.0210434993294654,0.0134637536881874,1.56297417620825,0.118899898287399,full,same,tract,bldg_year_targeting,-0.00534545789938182,0.0474324565583127
building_type::TWIN:tc_black_c,-0.0105924560761604,0.0172373329224387,-0.614506671294354,0.539252228350797,full,same,tract,bldg_year_targeting,-0.0443776286041402,0.0231927164518195
building_type::COMMERCIAL:tc_female_c,-0.00397126354018404,0.0776275203446614,-0.0511579337141246,0.959226838033638,full,same,tract,bldg_year_targeting,-0.15612120341572,0.148178676335352
building_type::DETACHED:tc_female_c,-0.0413622825993272,0.0565875321439419,-0.730943390394087,0.465268967156604,full,same,tract,bldg_year_targeting,-0.152273845601453,0.0695492804027988
building_type::HIGHRISE_MULTI:tc_female_c,-0.112889019693432,0.133881418151561,-0.843201552926751,0.399651807671046,full,same,tract,bldg_year_targeting,-0.375296599270493,0.149518559883628
building_type::LOWRISE_MULTI:tc_female_c,-0.0177218972060093,0.0278711163888063,-0.635851716837822,0.525259897409975,full,same,tract,bldg_year_targeting,-0.0723492853280697,0.0369054909160512
building_type::MIDRISE_MULTI:tc_female_c,-0.0388459003297861,0.0540018430871229,-0.719343972521728,0.472375853778793,full,same,tract,bldg_year_targeting,-0.144689512780547,0.0669977121209749
building_type::OTHER:tc_female_c,-0.0898136761483885,0.120065547938391,-0.748038697949175,0.454904423046561,full,same,tract,bldg_year_targeting,-0.325142150107635,0.145514797810858
building_type::SMALL_MULTI_2_4:tc_female_c,-0.0303676507354131,0.0145697128247059,-2.08429988296809,0.0378074025414514,full,same,tract,bldg_year_targeting,-0.0589242878718366,-0.00181101359898959
building_type::TWIN:tc_female_c,-0.0329518822421942,0.0173939857360377,-1.89444114432743,0.0589335702156294,full,same,tract,bldg_year_targeting,-0.067044094284828,0.0011403298004396
tc_black_c,-0.00514358604870914,0.00904728504336066,-0.568522603638288,0.569777529728851,full,same,bg,bldg_year_targeting,-0.022876264733696,0.0125890926362778
tc_female_c,0.00816961943898281,0.00939319365184663,0.86973821064327,0.384602693850216,full,same,bg,bldg_year_targeting,-0.0102410401186366,0.0265802789966022
tc_black_female_c,-0.016683698413031,0.0107879403636971,-1.54651377840147,0.122221881166599,full,same,bg,bldg_year_targeting,-0.0378280615258774,0.00446066469981535
tc_cov_c,-0.00479982420443884,0.00777718175722841,-0.617167549154641,0.537231387605977,full,same,bg,bldg_year_targeting,-0.0200431004486065,0.0104434520397288
tenant_comp_missing,0.000853534757266264,0.00359521947468413,0.237408248168564,0.812377185543926,full,same,bg,bldg_year_targeting,-0.00619309541311463,0.00790016492764716
building_type::COMMERCIAL:tc_black_c,0.194458438272496,0.0799184218246313,2.4332116905312,0.015098488906222,full,same,bg,bldg_year_targeting,0.0378183314962189,0.351098545048773
building_type::DETACHED:tc_black_c,0.0201443774350636,0.0485468933800222,0.414946787168741,0.678248751584509,full,same,bg,bldg_year_targeting,-0.0750075335897799,0.115296288459907
building_type::HIGHRISE_MULTI:tc_black_c,0.238967701113747,0.0547083027268522,4.36803353792323,1.35248723965074e-05,full,same,bg,bldg_year_targeting,0.131739427769117,0.346195974458377
building_type::LOWRISE_MULTI:tc_black_c,0.0706449809012057,0.0191986099670571,3.67969248932216,0.000242982572483356,full,same,bg,bldg_year_targeting,0.0330157053657737,0.108274256436638
building_type::MIDRISE_MULTI:tc_black_c,0.0774902712225446,0.0526216165587624,1.47259389372828,0.141100597705839,full,same,bg,bldg_year_targeting,-0.0256480972326297,0.180628639677719
building_type::OTHER:tc_black_c,0.0700385193434474,0.0928336883825651,0.754451541931853,0.450713626368272,full,same,bg,bldg_year_targeting,-0.11191550988638,0.251992548573275
building_type::SMALL_MULTI_2_4:tc_black_c,0.0195877827440044,0.0130683880884424,1.49886754291661,0.134148744490224,full,same,bg,bldg_year_targeting,-0.00602625790934269,0.0452018233973515
building_type::TWIN:tc_black_c,-0.0124540362882329,0.0178615658433917,-0.697253331394824,0.48576789248172,full,same,bg,bldg_year_targeting,-0.0474627053412807,0.0225546327648149
building_type::COMMERCIAL:tc_female_c,-0.01566949896978,0.0779349882406547,-0.201058591571148,0.840683948079785,full,same,bg,bldg_year_targeting,-0.168422075921463,0.137083077981903
building_type::DETACHED:tc_female_c,-0.0396213090155934,0.0626525932827661,-0.632396951819264,0.527237798691782,full,same,bg,bldg_year_targeting,-0.162420391849815,0.0831777738186281
building_type::HIGHRISE_MULTI:tc_female_c,-0.116865199827146,0.130751876854194,-0.893793669650082,0.371596342842724,full,same,bg,bldg_year_targeting,-0.373138878461367,0.139408478807075
building_type::LOWRISE_MULTI:tc_female_c,-0.0170288066696244,0.0268766053534797,-0.633592168566768,0.526457530649627,full,same,bg,bldg_year_targeting,-0.0697069531624446,0.0356493398231958
building_type::MIDRISE_MULTI:tc_female_c,-0.0398785721779048,0.0536358486090828,-0.743505942612264,0.457308646015232,full,same,bg,bldg_year_targeting,-0.145004835451707,0.0652476910958974
building_type::OTHER:tc_female_c,-0.10866835694123,0.119279644474191,-0.911038571755156,0.362442527830752,full,same,bg,bldg_year_targeting,-0.342456460110643,0.125119746228184
building_type::SMALL_MULTI_2_4:tc_female_c,-0.032679809681432,0.0145531781062471,-2.24554454311281,0.0248992547716692,full,same,bg,bldg_year_targeting,-0.0612040387696763,-0.0041555805931877
building_type::TWIN:tc_female_c,-0.0325133370905535,0.0177374589225255,-1.83303241081864,0.0670244064246217,full,same,bg,bldg_year_targeting,-0.0672787565787034,0.00225208239759651
tc_black_c,-0.0112125430521866,0.0105733388932779,-1.060454333807,0.289618659334157,pre,same,tract,bldg_year_targeting,-0.0319362872830113,0.00951120117863805
tc_female_c,0.00450706526866853,0.0106209078332032,0.424357817566074,0.671547575856789,pre,same,tract,bldg_year_targeting,-0.0163099140844097,0.0253240446217468
tc_black_female_c,-0.0133222197424571,0.0122708828374987,-1.08567736477327,0.278317320852876,pre,same,tract,bldg_year_targeting,-0.0373731501039545,0.0107287106190402
tc_cov_c,-0.0133924021750981,0.0106705508552247,-1.25508067547803,0.210228971438527,pre,same,tract,bldg_year_targeting,-0.0343066818513386,0.00752187750114237
tenant_comp_missing,0.00124114853641961,0.00397095064506372,0.312557029124116,0.754790502748735,pre,same,tract,bldg_year_targeting,-0.00654191472790528,0.0090242118007445
building_type::COMMERCIAL:tc_black_c,0.26556848656821,0.115519183314835,2.29891243123172,0.0220576227916337,pre,same,tract,bldg_year_targeting,0.0391508872711339,0.491986085865287
building_type::DETACHED:tc_black_c,0.0184318417575781,0.0606305216740804,0.304002691196664,0.761294005463434,pre,same,tract,bldg_year_targeting,-0.100403980723619,0.137267664238776
building_type::HIGHRISE_MULTI:tc_black_c,0.182963208821623,0.0653905772090355,2.79800571627837,0.00540656496922345,pre,same,tract,bldg_year_targeting,0.0547976774919138,0.311128740151333
building_type::LOWRISE_MULTI:tc_black_c,0.0816213657148045,0.0224769228838524,3.6313407371897,0.000321034839722616,pre,same,tract,bldg_year_targeting,0.0375665968624538,0.125676134567155
building_type::MIDRISE_MULTI:tc_black_c,0.0483061435158302,0.0533535344774621,0.905397252289556,0.36583475705983,pre,same,tract,bldg_year_targeting,-0.0562667840599954,0.152879071091656
building_type::OTHER:tc_black_c,0.157236943078259,0.125737199800188,1.25052047705952,0.211887127708978,pre,same,tract,bldg_year_targeting,-0.0892079685301084,0.403681854686627
building_type::SMALL_MULTI_2_4:tc_black_c,0.0146054506080646,0.0157722205011022,0.926023739462934,0.355027615779814,pre,same,tract,bldg_year_targeting,-0.0163081015740957,0.045519002790225
building_type::TWIN:tc_black_c,-0.0208391754510722,0.0206441001312156,-1.00944944650611,0.313408291148667,pre,same,tract,bldg_year_targeting,-0.0613016117082548,0.0196232608061104
building_type::COMMERCIAL:tc_female_c,-0.042321678198421,0.0956038365405125,-0.442677613470951,0.658253487796335,pre,same,tract,bldg_year_targeting,-0.229705197817825,0.145061841420983
building_type::DETACHED:tc_female_c,-0.0182214955445575,0.0643765789612518,-0.283045415562157,0.777297787435842,pre,same,tract,bldg_year_targeting,-0.144399590308611,0.107956599219496
building_type::HIGHRISE_MULTI:tc_female_c,-0.009386555876945,0.181224326832258,-0.0517952310322732,0.958719360930232,pre,same,tract,bldg_year_targeting,-0.364586236468171,0.345813124714281
