block,sample,outcome,fe,slope_var,slope_label,building_type,ref_building_type,base_term,interaction_term,estimable,estimate,std_error,stat_value,p_value,conf_low,conf_high
bldg_year_targeting,full,bw,bg,tc_black_c,pct_black,COMMERCIAL,ROW,tc_black_c,building_type::COMMERCIAL:tc_black_c,TRUE,0.338532731840836,0.113278582236628,2.98849725302594,0.00280353020486676,0.116506710657045,0.560558753024628
bldg_year_targeting,full,bw,bg,tc_black_c,pct_black,DETACHED,ROW,tc_black_c,building_type::DETACHED:tc_black_c,TRUE,-0.00963712063512076,0.0632991082275286,-0.152247336573529,0.878991859911296,-0.133703372761077,0.114429131490835
bldg_year_targeting,full,bw,bg,tc_black_c,pct_black,HIGHRISE_MULTI,ROW,tc_black_c,building_type::HIGHRISE_MULTI:tc_black_c,TRUE,0.150587686718978,0.0690048739497578,2.18227609297019,0.029089162324343,0.0153381337774524,0.285837239660503
bldg_year_targeting,full,bw,bg,tc_black_c,pct_black,LOWRISE_MULTI,ROW,tc_black_c,building_type::LOWRISE_MULTI:tc_black_c,TRUE,0.108140155350981,0.0313490712847932,3.44954893140449,0.000561523954968693,0.0466959756327868,0.169584335069176
bldg_year_targeting,full,bw,bg,tc_black_c,pct_black,MIDRISE_MULTI,ROW,tc_black_c,building_type::MIDRISE_MULTI:tc_black_c,TRUE,0.0417671086671586,0.0619649370501799,0.674044236232098,0.500283190338201,-0.0796841679511941,0.163218385285511
bldg_year_targeting,full,bw,bg,tc_black_c,pct_black,OTHER,ROW,tc_black_c,building_type::OTHER:tc_black_c,TRUE,0.142626258404078,0.141013347053946,1.01143800486854,0.311806839059205,-0.133759901821657,0.419012418629812
bldg_year_targeting,full,bw,bg,tc_black_c,pct_black,ROW,ROW,tc_black_c,,TRUE,-0.0258148745618923,0.0126434195506941,-2.04176365882561,0.0411749807175295,-0.0505959768812527,-0.00103377224253198
bldg_year_targeting,full,bw,bg,tc_black_c,pct_black,SMALL_MULTI_2_4,ROW,tc_black_c,building_type::SMALL_MULTI_2_4:tc_black_c,TRUE,0.00966673722875728,0.0202578087023375,0.477185729749826,0.633229871845376,-0.0300385678278242,0.0493720422853387
bldg_year_targeting,full,bw,bg,tc_black_c,pct_black,TWIN,ROW,tc_black_c,building_type::TWIN:tc_black_c,TRUE,-0.0157302763810824,0.0259058104766108,-0.607210355193656,0.543711320989713,-0.0665056649152395,0.0350451121530747
bldg_year_targeting,full,bw,bg,tc_female_c,pct_women,COMMERCIAL,ROW,tc_female_c,building_type::COMMERCIAL:tc_female_c,TRUE,-0.227364871759045,0.110969722641915,-2.04889105195587,0.0404727695152463,-0.444865528137199,-0.00986421538089083
bldg_year_targeting,full,bw,bg,tc_female_c,pct_women,DETACHED,ROW,tc_female_c,building_type::DETACHED:tc_female_c,TRUE,-0.0364697483968113,0.0757700138484268,-0.481321654101407,0.63028790928995,-0.184978975539728,0.112039478746105
bldg_year_targeting,full,bw,bg,tc_female_c,pct_women,HIGHRISE_MULTI,ROW,tc_female_c,building_type::HIGHRISE_MULTI:tc_female_c,TRUE,0.105716455075267,0.161367155200728,0.655129942296895,0.512384095472681,-0.21056316911816,0.421996079268694
bldg_year_targeting,full,bw,bg,tc_female_c,pct_women,LOWRISE_MULTI,ROW,tc_female_c,building_type::LOWRISE_MULTI:tc_female_c,TRUE,-0.0155974068436253,0.0371535231206463,-0.419809631322898,0.674624528398997,-0.088418312160092,0.0572234984728415
bldg_year_targeting,full,bw,bg,tc_female_c,pct_women,MIDRISE_MULTI,ROW,tc_female_c,building_type::MIDRISE_MULTI:tc_female_c,TRUE,0.0402373397094937,0.097817160117336,0.411352564940827,0.680814030871948,-0.151484294120485,0.231958973539472
bldg_year_targeting,full,bw,bg,tc_female_c,pct_women,OTHER,ROW,tc_female_c,building_type::OTHER:tc_female_c,TRUE,-0.0927210175391807,0.168952543675838,-0.548799180656793,0.583143272650589,-0.423868003143823,0.238425968065461
bldg_year_targeting,full,bw,bg,tc_female_c,pct_women,ROW,ROW,tc_female_c,,TRUE,0.00747844742578111,0.0129000895686175,0.579720581473652,0.562103061710167,-0.0178057281287091,0.0327626229802713
bldg_year_targeting,full,bw,bg,tc_female_c,pct_women,SMALL_MULTI_2_4,ROW,tc_female_c,building_type::SMALL_MULTI_2_4:tc_female_c,TRUE,-0.0310398354237469,0.0202384900802903,-1.53370312215019,0.125102705337397,-0.0707072759811159,0.0086276051336221
