term,estimate,std_error,t_value,p_value,sample,outcome,fe,level
tc_black_c,-0.00471691349617707,0.00910342803164954,-0.51814695296958,0.604659686794106,full,same,tract,bldg_year
tc_female_c,-0.00649104581267662,0.00811949454422646,-0.799439642125532,0.424538926581968,full,same,tract,bldg_year
tc_black_female_c,-0.00959169108588066,0.0104595330955955,-0.917028609041808,0.359713898699773,full,same,tract,bldg_year
tc_cov_c,-0.00498081519606792,0.00839939293426578,-0.592997045744629,0.553538678576814,full,same,tract,bldg_year
tenant_comp_missing,0.00150915163986409,0.00443868439178688,0.339999762690167,0.734046056660856,full,same,tract,bldg_year
log_total_area,0.00808040086263063,0.0035083733122217,2.30317590048981,0.0218125882176019,full,same,tract,bldg_year
log_market_value,0.0182334227026136,0.00394999238523595,4.61606527920546,5.37071463433652e-06,full,same,tract,bldg_year
tc_black_c,-0.00638818621515003,0.00990280065151055,-0.645088843041144,0.518983702166095,full,same,bg,bldg_year
tc_female_c,-0.00844010734708866,0.00879158438251887,-0.960021195254738,0.337223476404197,full,same,bg,bldg_year
tc_black_female_c,-0.00834926934921526,0.0115501847379046,-0.722868901119406,0.469890758627134,full,same,bg,bldg_year
tc_cov_c,-0.00684515664483535,0.00865761700609574,-0.790651358221985,0.429292011440727,full,same,bg,bldg_year
tenant_comp_missing,-6.1939571815916e-05,0.00451518837574319,-0.013718048210053,0.989057034164649,full,same,bg,bldg_year
log_total_area,0.00783211077429157,0.00378200829847693,2.07088672371388,0.0385668084521534,full,same,bg,bldg_year
log_market_value,0.0200798779521725,0.00380755553020374,5.27369273878931,1.5650627375507e-07,full,same,bg,bldg_year
tc_black_c,-0.00471691349617707,0.00910342803164954,-0.51814695296958,0.604659686794106,pre,same,tract,bldg_year
tc_female_c,-0.00649104581267662,0.00811949454422646,-0.799439642125532,0.424538926581968,pre,same,tract,bldg_year
tc_black_female_c,-0.00959169108588066,0.0104595330955955,-0.917028609041808,0.359713898699773,pre,same,tract,bldg_year
tc_cov_c,-0.00498081519606792,0.00839939293426578,-0.592997045744629,0.553538678576814,pre,same,tract,bldg_year
tenant_comp_missing,0.00150915163986409,0.00443868439178688,0.339999762690167,0.734046056660856,pre,same,tract,bldg_year
log_total_area,0.00808040086263063,0.0035083733122217,2.30317590048981,0.0218125882176019,pre,same,tract,bldg_year
log_market_value,0.0182334227026136,0.00394999238523595,4.61606527920546,5.37071463433652e-06,pre,same,tract,bldg_year
tc_black_c,-0.00638818621515003,0.00990280065151055,-0.645088843041144,0.518983702166095,pre,same,bg,bldg_year
tc_female_c,-0.00844010734708866,0.00879158438251887,-0.960021195254738,0.337223476404197,pre,same,bg,bldg_year
tc_black_female_c,-0.00834926934921526,0.0115501847379046,-0.722868901119406,0.469890758627134,pre,same,bg,bldg_year
tc_cov_c,-0.00684515664483535,0.00865761700609574,-0.790651358221985,0.429292011440727,pre,same,bg,bldg_year
tenant_comp_missing,-6.1939571815916e-05,0.00451518837574319,-0.013718048210053,0.989057034164649,pre,same,bg,bldg_year
log_total_area,0.00783211077429157,0.00378200829847693,2.07088672371388,0.0385668084521534,pre,same,bg,bldg_year
log_market_value,0.0200798779521725,0.00380755553020374,5.27369273878931,1.5650627375507e-07,pre,same,bg,bldg_year
tc_black_c,-0.0227039464734773,0.0126599442251568,-1.79336860176382,0.0737153800874144,full,bw,tract,bldg_year
tc_female_c,-0.00405265225220348,0.0112817585415935,-0.359221679604485,0.719630367782157,full,bw,tract,bldg_year
tc_black_female_c,0.00874371389702928,0.015701359134963,0.556876243761548,0.577942415064729,full,bw,tract,bldg_year
tc_cov_c,-0.00260689145839485,0.0112954917322166,-0.230790435706271,0.817602804130048,full,bw,tract,bldg_year
tenant_comp_missing,0.00620997463895008,0.00641988292679364,0.967303408763499,0.334012496209012,full,bw,tract,bldg_year
log_total_area,0.0271493770022586,0.0056029927387551,4.84551350824895,1.84806711062591e-06,full,bw,tract,bldg_year
log_market_value,0.0300475715817962,0.0062571909682093,4.80208638899753,2.26886987144524e-06,full,bw,tract,bldg_year
tc_black_c,-0.030432167662823,0.0131773447371828,-2.30943094149703,0.0210761513560478,full,bw,bg,bldg_year
tc_female_c,-0.0121620639420506,0.0122076016182203,-0.996269727863514,0.31930493705881,full,bw,bg,bldg_year
tc_black_female_c,0.0182437770029043,0.0164789768662741,1.10709403568871,0.268458553779559,full,bw,bg,bldg_year
