term,estimate,std_error,t_value,p_value,sample,outcome,fe,block,conf_low,conf_high
tc_black_c,-0.016669105322382,0.00956231469871594,-1.74320819253317,0.0821125035741471,full,same,tract,bldg_year_targeting,-0.0354112421318652,0.00207303148710125
tc_female_c,0.00362561178737653,0.00874820280437345,0.414440756399016,0.678787055119119,full,same,tract,bldg_year_targeting,-0.0135208657091954,0.0207720892839485
tc_black_female_c,-0.0113439518971486,0.0105646630613581,-1.07376371884882,0.283615379502178,full,same,tract,bldg_year_targeting,-0.0320506914974104,0.00936278770311319
tc_cov_c,-0.00585422946729434,0.00837622055452687,-0.698910615973509,0.48503882843791,full,same,tract,bldg_year_targeting,-0.022271621754167,0.0105631628195783
tenant_comp_missing,0.000269699680331853,0.00443460733719947,0.0608170374115181,0.951537148504138,full,same,tract,bldg_year_targeting,-0.00842213070057911,0.00896153006124281
num_units_bin::2-5:tc_black_c,0.0299890104658149,0.0122389791682175,2.45028691148451,0.0147280130430375,full,same,tract,bldg_year_targeting,0.00600061129610861,0.0539774096355213
num_units_bin::21-50:tc_black_c,0.073368611870026,0.0369058697879882,1.98799302906296,0.0475353348059527,full,same,tract,bldg_year_targeting,0.00103310708556913,0.145704116654483
num_units_bin::51+:tc_black_c,0.140290339347736,0.0481255586321243,2.91509009630676,0.00376818578501495,full,same,tract,bldg_year_targeting,0.0459642444287722,0.234616434266699
num_units_bin::6-20:tc_black_c,0.0877960480692307,0.0272273008480413,3.22455936999523,0.00137173358747606,full,same,tract,bldg_year_targeting,0.0344305384070698,0.141161557731392
num_units_bin::2-5:tc_female_c,-0.0362332421062994,0.0117513393618227,-3.08332871604514,0.00219772038526573,full,same,tract,bldg_year_targeting,-0.0592658672554719,-0.013200616957127
num_units_bin::21-50:tc_female_c,0.0639635604306309,0.0617046482425467,1.0366084606658,0.300582795130147,full,same,tract,bldg_year_targeting,-0.0569775501247606,0.184904670986022
num_units_bin::51+:tc_female_c,-0.029772741522627,0.106422123264142,-0.279760829886193,0.779814432789142,full,same,tract,bldg_year_targeting,-0.238360103120345,0.178814620075091
num_units_bin::6-20:tc_female_c,0.0445215132886195,0.0396032806904466,1.12418750448014,0.26164877322305,full,same,tract,bldg_year_targeting,-0.0331009168646558,0.122143943441895
tc_black_c,-0.0168296709481842,0.010477572064737,-1.6062567591232,0.10846092315714,full,same,bg,bldg_year_targeting,-0.0373657121950686,0.00370637029870029
tc_female_c,0.00255981366195623,0.00991060075327744,0.25829046348272,0.796223725073562,full,same,bg,bldg_year_targeting,-0.0168649638144676,0.02198459113838
tc_black_female_c,-0.0102957571150626,0.0116619744301161,-0.882848541364889,0.377481708271618,full,same,bg,bldg_year_targeting,-0.0331532269980901,0.0125617127679649
tc_cov_c,-0.00768021175117565,0.00865449434728208,-0.887424665496212,0.37501483612049,full,same,bg,bldg_year_targeting,-0.0246430206718485,0.00928259716949722
tenant_comp_missing,-0.00110367120428725,0.00452161411524648,-0.244087880158939,0.807201363488584,full,same,bg,bldg_year_targeting,-0.00996603487017035,0.00775869246159586
num_units_bin::2-5:tc_black_c,0.0282804290733116,0.0117060597613258,2.41587943765192,0.0158347053107725,full,same,bg,bldg_year_targeting,0.00533655194111297,0.0512243062055102
num_units_bin::21-50:tc_black_c,0.0800714947868505,0.0369663630955372,2.16606363411816,0.030488027244987,full,same,bg,bldg_year_targeting,0.00761742311959766,0.152525566454103
num_units_bin::51+:tc_black_c,0.125715407017355,0.0451524884908987,2.78424094040121,0.00544328409929405,full,same,bg,bldg_year_targeting,0.0372165295751932,0.214214284459516
num_units_bin::6-20:tc_black_c,0.0742542255764407,0.0286693165980419,2.59002426243785,0.0097044458470264,full,same,bg,bldg_year_targeting,0.0180623650442785,0.130446086108603
num_units_bin::2-5:tc_female_c,-0.0384524027712489,0.0120128958549001,-3.20092700675201,0.00140307855132165,full,same,bg,bldg_year_targeting,-0.061997678646853,-0.0149071268956447
