block,sample,outcome,fe,group_var,group_level,ref_group_level,slope_var,slope_label,base_term,interaction_term,estimable,estimate,std_error,stat_value,p_value,conf_low,conf_high,num_units_bin,ref_num_units_bin
bldg_year_targeting,full,bw,bg,num_units_bin,1,1,tc_black_c,pct_black,tc_black_c,,TRUE,-0.0450182115924413,0.0136303275834483,-3.30279747987188,0.000957254942919299,-0.071733653656,-0.0183027695288825,1,1
bldg_year_targeting,full,bw,bg,num_units_bin,2-5,1,tc_black_c,pct_black,tc_black_c,num_units_bin::2-5:tc_black_c,TRUE,-0.00801094315515844,0.0188387365804385,-0.425237813637499,0.670663321227878,-0.0449348668528179,0.028912980542501,2-5,1
bldg_year_targeting,full,bw,bg,num_units_bin,21-50,1,tc_black_c,pct_black,tc_black_c,num_units_bin::21-50:tc_black_c,TRUE,0.12919553034834,0.0606115645689874,2.13153267478009,0.0330452835464663,0.0103968637931243,0.247994196903555,21-50,1
bldg_year_targeting,full,bw,bg,num_units_bin,51+,1,tc_black_c,pct_black,tc_black_c,num_units_bin::51+:tc_black_c,TRUE,0.114049729835535,0.0596685972194977,1.9113861419599,0.055954976261236,-0.00290072071468028,0.231000180385751,51+,1
bldg_year_targeting,full,bw,bg,num_units_bin,6-20,1,tc_black_c,pct_black,tc_black_c,num_units_bin::6-20:tc_black_c,TRUE,0.0861133175855531,0.0486621382435393,1.76961639364432,0.0767910660149319,-0.0092644733717839,0.18149110854289,6-20,1
bldg_year_targeting,full,bw,bg,num_units_bin,1,1,tc_female_c,pct_women,tc_female_c,,TRUE,0.00542300561493545,0.0134360467777346,0.403616160664322,0.68649499995018,-0.0209116460694243,0.0317576572992952,1,1
bldg_year_targeting,full,bw,bg,num_units_bin,2-5,1,tc_female_c,pct_women,tc_female_c,num_units_bin::2-5:tc_female_c,TRUE,-0.0506620506903485,0.0169148381136062,-2.9951247744781,0.00274332596359692,-0.0838151333930167,-0.0175089679876803,2-5,1
bldg_year_targeting,full,bw,bg,num_units_bin,21-50,1,tc_female_c,pct_women,tc_female_c,num_units_bin::21-50:tc_female_c,TRUE,0.061504470895331,0.10276526895661,0.598494720247361,0.549509880778691,-0.139915456259624,0.262924398050286,21-50,1
bldg_year_targeting,full,bw,bg,num_units_bin,51+,1,tc_female_c,pct_women,tc_female_c,num_units_bin::51+:tc_female_c,TRUE,-0.113417876415857,0.171705226283265,-0.660538289200058,0.508908455673069,-0.449960119931057,0.223124367099343,51+,1
bldg_year_targeting,full,bw,bg,num_units_bin,6-20,1,tc_female_c,pct_women,tc_female_c,num_units_bin::6-20:tc_female_c,TRUE,0.0362936632427393,0.050369427210943,0.720549453356785,0.471186762666574,-0.0624304140907089,0.135017740576188,6-20,1
bldg_year_targeting,full,bw,tract,num_units_bin,1,1,tc_black_c,pct_black,tc_black_c,,TRUE,-0.0379726200431664,0.013261888099918,-2.86328913025599,0.0041926778434005,-0.0639659207190056,-0.0119793193673272,1,1
bldg_year_targeting,full,bw,tract,num_units_bin,2-5,1,tc_black_c,pct_black,tc_black_c,num_units_bin::2-5:tc_black_c,TRUE,-0.00245553070847261,0.0190187453230593,-0.12911107787407,0.897269756502381,-0.0397322715416689,0.0348212101247237,2-5,1
bldg_year_targeting,full,bw,tract,num_units_bin,21-50,1,tc_black_c,pct_black,tc_black_c,num_units_bin::21-50:tc_black_c,TRUE,0.124319285590532,0.0569560287291842,2.18272390762439,0.0290561482164619,0.0126854692813308,0.235953101899733,21-50,1
bldg_year_targeting,full,bw,tract,num_units_bin,51+,1,tc_black_c,pct_black,tc_black_c,num_units_bin::51+:tc_black_c,TRUE,0.146359607928438,0.0605002818649173,2.41915580253368,0.0155565754822681,0.0277790554731998,0.264940160383676,51+,1
bldg_year_targeting,full,bw,tract,num_units_bin,6-20,1,tc_black_c,pct_black,tc_black_c,num_units_bin::6-20:tc_black_c,TRUE,0.0861404098558505,0.0433696497577908,1.98619104228243,0.0470121151220285,0.00113589633058059,0.17114492338112,6-20,1
bldg_year_targeting,full,bw,tract,num_units_bin,1,1,tc_female_c,pct_women,tc_female_c,,TRUE,0.0120227703953513,0.0121792409622586,0.987152683209718,0.323567793991963,-0.0118485418906756,0.0358940826813783,1,1
bldg_year_targeting,full,bw,tract,num_units_bin,2-5,1,tc_female_c,pct_women,tc_female_c,num_units_bin::2-5:tc_female_c,TRUE,-0.0401233470335831,0.0166700531195668,-2.40691176841467,0.0160880561552302,-0.0727966511479341,-0.00745004291923215,2-5,1
bldg_year_targeting,full,bw,tract,num_units_bin,21-50,1,tc_female_c,pct_women,tc_female_c,num_units_bin::21-50:tc_female_c,TRUE,0.0925667034306422,0.0958521071053614,0.965724241501464,0.334182185951051,-0.0953034264958661,0.280436833357151,21-50,1
bldg_year_targeting,full,bw,tract,num_units_bin,51+,1,tc_female_c,pct_women,tc_female_c,num_units_bin::51+:tc_female_c,TRUE,-0.110524399761973,0.169847291979665,-0.650728065627364,0.515222042769065,-0.443425092042116,0.22237629251817,51+,1
bldg_year_targeting,full,bw,tract,num_units_bin,6-20,1,tc_female_c,pct_women,tc_female_c,num_units_bin::6-20:tc_female_c,TRUE,0.0462379643218665,0.050650940215917,0.912874748716636,0.361308419458869,-0.0530378785013307,0.145513807145064,6-20,1
bldg_year_targeting,full,same,bg,num_units_bin,1,1,tc_black_c,pct_black,tc_black_c,,TRUE,-0.0168296709481842,0.010477572064737,-1.6062567591232,0.108217506927924,-0.0373657121950686,0.00370637029870029,1,1
bldg_year_targeting,full,same,bg,num_units_bin,2-5,1,tc_black_c,pct_black,tc_black_c,num_units_bin::2-5:tc_black_c,TRUE,0.0114507581251274,0.0131672738210867,0.86963773068877,0.384498411548374,-0.0143570985642024,0.0372586148144573,2-5,1
bldg_year_targeting,full,same,bg,num_units_bin,21-50,1,tc_black_c,pct_black,tc_black_c,num_units_bin::21-50:tc_black_c,TRUE,0.0632418238386664,0.0370303382745739,1.70783813449768,0.0876663809988833,-0.00933763917949851,0.135821286856831,21-50,1
bldg_year_targeting,full,same,bg,num_units_bin,51+,1,tc_black_c,pct_black,tc_black_c,num_units_bin::51+:tc_black_c,TRUE,0.10888573606917,0.0457083072393312,2.38218701688161,0.017210154719135,0.0192974538800814,0.19847401825826,51+,1
bldg_year_targeting,full,same,bg,num_units_bin,6-20,1,tc_black_c,pct_black,tc_black_c,num_units_bin::6-20:tc_black_c,TRUE,0.0574245546282566,0.0292389706189467,1.96397319784732,0.0495332001880456,0.000116172215121016,0.114732937041392,6-20,1
bldg_year_targeting,full,same,bg,num_units_bin,1,1,tc_female_c,pct_women,tc_female_c,,TRUE,0.00255981366195623,0.00991060075327744,0.25829046348272,0.796182745667885,-0.0168649638144676,0.02198459113838,1,1
bldg_year_targeting,full,same,bg,num_units_bin,2-5,1,tc_female_c,pct_women,tc_female_c,num_units_bin::2-5:tc_female_c,TRUE,-0.0358925891092927,0.0117279136658996,-3.0604411092874,0.00221011219842989,-0.0588792998944559,-0.0129058783241294,2-5,1
bldg_year_targeting,full,same,bg,num_units_bin,21-50,1,tc_female_c,pct_women,tc_female_c,num_units_bin::21-50:tc_female_c,TRUE,0.0568920024920908,0.065517375959851,0.868349833286274,0.38520284916736,-0.0715220543892172,0.185306059373399,21-50,1
bldg_year_targeting,full,same,bg,num_units_bin,51+,1,tc_female_c,pct_women,tc_female_c,num_units_bin::51+:tc_female_c,TRUE,-0.0140760807698257,0.101613449795648,-0.138525764041411,0.889824909141348,-0.213238442369296,0.185086280829644,51+,1
bldg_year_targeting,full,same,bg,num_units_bin,6-20,1,tc_female_c,pct_women,tc_female_c,num_units_bin::6-20:tc_female_c,TRUE,0.0431932917194428,0.0371291406817464,1.16332591938164,0.244697293334502,-0.0295798240167801,0.115966407455666,6-20,1
bldg_year_targeting,full,same,tract,num_units_bin,1,1,tc_black_c,pct_black,tc_black_c,,TRUE,-0.016669105322382,0.00956231469871594,-1.74320819253317,0.0812972549372659,-0.0354112421318652,0.00207303148710125,1,1
bldg_year_targeting,full,same,tract,num_units_bin,2-5,1,tc_black_c,pct_black,tc_black_c,num_units_bin::2-5:tc_black_c,TRUE,0.0133199051434329,0.0132774807271434,1.00319521580647,0.315766680868233,-0.0127039570817682,0.0393437673686341,2-5,1
bldg_year_targeting,full,same,tract,num_units_bin,21-50,1,tc_black_c,pct_black,tc_black_c,num_units_bin::21-50:tc_black_c,TRUE,0.056699506547644,0.0376467640536715,1.50609243511102,0.132043446328394,-0.0170881509975521,0.13048716409284,21-50,1
bldg_year_targeting,full,same,tract,num_units_bin,51+,1,tc_black_c,pct_black,tc_black_c,num_units_bin::51+:tc_black_c,TRUE,0.123621234025354,0.0480199635941788,2.57437167320843,0.0100422331401687,0.0295021053807635,0.217740362669944,51+,1
bldg_year_targeting,full,same,tract,num_units_bin,6-20,1,tc_black_c,pct_black,tc_black_c,num_units_bin::6-20:tc_black_c,TRUE,0.0711269427468487,0.0279198005056835,2.54754480542832,0.010848392111693,0.0164041337557092,0.125849751737988,6-20,1
bldg_year_targeting,full,same,tract,num_units_bin,1,1,tc_female_c,pct_women,tc_female_c,,TRUE,0.00362561178737653,0.00874820280437345,0.414440756399016,0.678551345959565,-0.0135208657091954,0.0207720892839485,1,1
bldg_year_targeting,full,same,tract,num_units_bin,2-5,1,tc_female_c,pct_women,tc_female_c,num_units_bin::2-5:tc_female_c,TRUE,-0.0326076303189229,0.0119290229492177,-2.73347033178951,0.00626707690768925,-0.0559885152993897,-0.00922674533845611,2-5,1
bldg_year_targeting,full,same,tract,num_units_bin,21-50,1,tc_female_c,pct_women,tc_female_c,num_units_bin::21-50:tc_female_c,TRUE,0.0675891722180075,0.0617629486910152,1.09433201701783,0.27380938809511,-0.0534662072163824,0.188644551652397,21-50,1
bldg_year_targeting,full,same,tract,num_units_bin,51+,1,tc_female_c,pct_women,tc_female_c,num_units_bin::51+:tc_female_c,TRUE,-0.0261471297352505,0.106085465737474,-0.246472309410941,0.805316637261876,-0.2340746425807,0.181780383110199,51+,1
bldg_year_targeting,full,same,tract,num_units_bin,6-20,1,tc_female_c,pct_women,tc_female_c,num_units_bin::6-20:tc_female_c,TRUE,0.0481471250759961,0.0388222392999107,1.24019443350623,0.214903486810376,-0.0279444639518289,0.124238714103821,6-20,1
bldg_year_targeting,pre,bw,bg,num_units_bin,1,1,tc_black_c,pct_black,tc_black_c,,TRUE,-0.0450182115924413,0.0136303275834483,-3.30279747987188,0.000957254942919299,-0.071733653656,-0.0183027695288825,1,1
bldg_year_targeting,pre,bw,bg,num_units_bin,2-5,1,tc_black_c,pct_black,tc_black_c,num_units_bin::2-5:tc_black_c,TRUE,-0.00801094315515844,0.0188387365804385,-0.425237813637499,0.670663321227878,-0.0449348668528179,0.028912980542501,2-5,1
bldg_year_targeting,pre,bw,bg,num_units_bin,21-50,1,tc_black_c,pct_black,tc_black_c,num_units_bin::21-50:tc_black_c,TRUE,0.12919553034834,0.0606115645689874,2.13153267478009,0.0330452835464663,0.0103968637931243,0.247994196903555,21-50,1
