spec,outcome,term,estimate,std_error,t_value,p_value,conf_low,conf_high,n_obs
months_back_rent_on_retaliatory_severe,months_back_rent,retaliatory_status::same_period_severe,-0.0273397830567003,0.0130712087070677,-2.09160328393483,0.0364740185292128,-0.0529593521225529,-0.00172021399084762,115043
months_back_rent_on_retaliatory_severe,months_back_rent,retaliatory_status::within_bw_severe_not_same_period,0.00463973026122615,0.00956056005815549,0.485299002673834,0.627464262846021,-0.0140989674527586,0.0233784279752109,115043
months_back_rent_on_retaliatory_severe_x_high_black,months_back_rent,retaliatory_status::same_period_severe,0.02485329370431,0.0264825014232994,0.938479840217962,0.347997872451442,-0.0270524090853569,0.0767589964939769,90679
months_back_rent_on_retaliatory_severe_x_high_black,months_back_rent,retaliatory_status::within_bw_severe_not_same_period,0.0281488715565081,0.0174450626611071,1.61357239600317,0.106620208341075,-0.00604345125926192,0.0623411943722781,90679
months_back_rent_on_retaliatory_severe_x_high_black,months_back_rent,high_black_split,0.0172049869845437,0.0226555523387561,0.759415913913153,0.447603796786054,-0.0271998955994182,0.0616098695685057,90679
months_back_rent_on_retaliatory_severe_x_high_black,months_back_rent,high_black_split:retaliatory_status::same_period_severe,-0.0797247009337667,0.0310096110584252,-2.57096745855849,0.0101414855856243,-0.14050353860828,-0.0189458632592532,90679
months_back_rent_on_retaliatory_severe_x_high_black,months_back_rent,high_black_split:retaliatory_status::within_bw_severe_not_same_period,-0.0471064685681994,0.0216055436656316,-2.18029545089081,0.0292355680639676,-0.0894533341528374,-0.00475960298356142,90679
months_back_rent_on_retaliatory_severe_x_defendant_race_grp,months_back_rent,retaliatory_status::same_period_severe,0.00559696323366685,0.0206790416896268,0.270658733498006,0.786653518344518,-0.0349339584780016,0.0461278849453353,114252
months_back_rent_on_retaliatory_severe_x_defendant_race_grp,months_back_rent,retaliatory_status::within_bw_severe_not_same_period,0.00870322050025453,0.0160267459054524,0.543043519351838,0.587099838991203,-0.0227092014744322,0.0401156424749413,114252
months_back_rent_on_retaliatory_severe_x_defendant_race_grp,months_back_rent,defendant_race_black,0.0176313159786119,0.0127659881489145,1.38111643007526,0.167243164570067,-0.00739002079326057,0.0426526527504844,114252
months_back_rent_on_retaliatory_severe_x_defendant_race_grp,months_back_rent,defendant_race_unknown,0.00480357060243972,0.0116123504967889,0.413660490506899,0.679122765916672,-0.0179566363712665,0.0275637775761459,114252
months_back_rent_on_retaliatory_severe_x_defendant_race_grp,months_back_rent,defendant_race_black:retaliatory_status::same_period_severe,-0.0384233233510293,0.0221073160555941,-1.73803655108583,0.0822043735356039,-0.0817536628199937,0.00490701611793517,114252
months_back_rent_on_retaliatory_severe_x_defendant_race_grp,months_back_rent,defendant_race_black:retaliatory_status::within_bw_severe_not_same_period,-0.00517322490050362,0.0182924195250793,-0.282807033449622,0.777324762434539,-0.041026367169659,0.0306799173686518,114252
months_back_rent_on_retaliatory_severe_x_defendant_race_grp,months_back_rent,defendant_race_unknown:retaliatory_status::same_period_severe,-0.0453551250014457,0.0181143503171432,-2.50382289220289,0.0122859517523158,-0.0808592516230464,-0.00985099837984509,114252
months_back_rent_on_retaliatory_severe_x_defendant_race_grp,months_back_rent,defendant_race_unknown:retaliatory_status::within_bw_severe_not_same_period,-0.00485088851430152,0.0171905983545363,-0.282182645086432,0.777803465029379,-0.0385444612891927,0.0288426842605896,114252
