term,estimate,std_error,t_value,p_value,timing,sample,stem,model,conf_low,conf_high,stem_label,sample_label
lag_complaint_4,0.000592718059980001,0.000412182562278725,1.43799887288583,0.150435987569714,-4,pre,complaint,distributed_lag,-0.0002151597620863,0.0014005958820463,Full,Pre-COVID (<=2019)
lag_complaint_3,0.0011143091953664,0.000399971376338407,2.78597235024042,0.00533726043667126,-3,pre,complaint,distributed_lag,0.000330365297743128,0.00189825309298968,Full,Pre-COVID (<=2019)
lag_complaint_2,0.00330193409910892,0.000407155456690612,8.10976260995559,5.10108787679428e-16,-2,pre,complaint,distributed_lag,0.00250390940399532,0.00409995879422252,Full,Pre-COVID (<=2019)
lag_complaint_1,0.0139816727713955,0.000463122033630484,30.1900401105753,9.33030035427427e-200,-1,pre,complaint,distributed_lag,0.0130739535854798,0.0148893919573113,Full,Pre-COVID (<=2019)
filed_complaint,0.0397497015195276,0.000576465498958045,68.9541726111532,0,0,pre,complaint,distributed_lag,0.0386198291415698,0.0408795738974853,Full,Pre-COVID (<=2019)
lead_complaint_1,0.00998220753998435,0.000434070771628784,22.9967281660722,7.21332674261026e-117,1,pre,complaint,distributed_lag,0.00913142882759193,0.0108329862523768,Full,Pre-COVID (<=2019)
lead_complaint_2,0.00204197470903595,0.000399269307003942,5.11427919255458,3.15240051941828e-07,2,pre,complaint,distributed_lag,0.00125940686730822,0.00282454255076367,Full,Pre-COVID (<=2019)
lead_complaint_3,0.00138183520652259,0.000400293298762671,3.45205680633157,0.000556449114742053,3,pre,complaint,distributed_lag,0.000597260340947758,0.00216641007209743,Full,Pre-COVID (<=2019)
lead_complaint_4,0.00110025206950094,0.000404235967531772,2.72180646422677,0.00649319495756342,4,pre,complaint,distributed_lag,0.000307949573138665,0.00189255456586321,Full,Pre-COVID (<=2019)
lag_non_severe_4,-0.000383710140959458,0.000441543263008969,-0.869020485885354,0.384837001306076,-4,pre,non_severe,distributed_lag,-0.00124913493645704,0.00048171465453812,Non-Severe,Pre-COVID (<=2019)
lag_non_severe_3,-0.000594046579175369,0.000423699073779152,-1.40204833085146,0.160902415350425,-3,pre,non_severe,distributed_lag,-0.00142449676378251,0.00023640360543177,Non-Severe,Pre-COVID (<=2019)
lag_non_severe_2,-0.000521310424442905,0.000416909621241663,-1.2504159124232,0.211149163512664,-2,pre,non_severe,distributed_lag,-0.00133845328207656,0.000295832433190755,Non-Severe,Pre-COVID (<=2019)
lag_non_severe_1,0.00210352165626763,0.000444053098316036,4.73709487501546,2.16956802534246e-06,-1,pre,non_severe,distributed_lag,0.0012331775835682,0.00297386572896706,Non-Severe,Pre-COVID (<=2019)
filed_non_severe,0.00600667102991602,0.000473585412722474,12.6833953676609,7.56050383719956e-37,0,pre,non_severe,distributed_lag,0.00507844362097997,0.00693489843885207,Non-Severe,Pre-COVID (<=2019)
