term,estimate,std_error,t_value,p_value,sample,stem,spec,model,conf_low,conf_high,stem_label,sample_label
filed_complaint,0.0426821721576279,0.000594969458390998,71.7384254866715,0,full,complaint,baseline,same_period,0.0415160320191815,0.0438483122960742,Any Complaint,Full Sample
filed_complaint,0.0414543528736378,0.00058147092305313,71.2922198344387,0,full,complaint,tenant_augmented,same_period,0.0403146698644536,0.0425940358828219,Any Complaint,Full Sample
filed_complaint:tc_black_c,0.0304748827255791,0.00301119419518119,10.1205305105689,4.54197724878855e-24,full,complaint,tenant_augmented,same_period,0.024572942103024,0.0363768233481342,Any Complaint,Full Sample
filed_complaint:tc_female_c,0.00251327400963657,0.00243352972620371,1.03276897856401,0.301713312221397,full,complaint,tenant_augmented,same_period,-0.00225644425372271,0.00728299227299584,Any Complaint,Full Sample
filed_complaint:tc_black_female_c,0.00333271749990039,0.00436082917125531,0.764239407007322,0.44472551671433,full,complaint,tenant_augmented,same_period,-0.00521450767576002,0.0118799426755608,Any Complaint,Full Sample
filed_complaint:tc_cov_c,-0.015295991352551,0.00317523600146438,-4.81727699783471,1.45640227579372e-06,full,complaint,tenant_augmented,same_period,-0.0215194539154212,-0.00907252878968084,Any Complaint,Full Sample
filed_severe,0.0801541909741346,0.00105004598826518,76.3339814350041,0,full,severe,baseline,same_period,0.0780961008371349,0.0822122811111343,Severe Complaint,Full Sample
filed_severe,0.0773250607041836,0.00104620197323649,73.9102608122346,0,full,severe,tenant_augmented,same_period,0.07527450483664,0.0793756165717271,Severe Complaint,Full Sample
filed_severe:tc_black_c,0.0279299157254341,0.0049567418310677,5.63473278966758,1.75572140319405e-08,full,severe,tenant_augmented,same_period,0.0182147017365414,0.0376451297143268,Severe Complaint,Full Sample
filed_severe:tc_female_c,0.000610002437768417,0.00470514364091792,0.129645869355311,0.896846745432062,full,severe,tenant_augmented,same_period,-0.0086120790984307,0.00983208397396753,Severe Complaint,Full Sample
filed_severe:tc_black_female_c,0.000427956122181935,0.00715239203124103,0.0598339856530039,0.952287919073753,full,severe,tenant_augmented,same_period,-0.0135907322590505,0.0144466445034144,Severe Complaint,Full Sample
filed_severe:tc_cov_c,-0.0199305354923923,0.00538485948367538,-3.70121737676039,0.000214626878631966,full,severe,tenant_augmented,same_period,-0.0304848600803961,-0.00937621090438856,Severe Complaint,Full Sample
filed_non_severe,0.00678227429250852,0.00049276654176127,13.7636663972091,4.41756238787448e-43,full,non_severe,baseline,same_period,0.00581645187065643,0.0077480967143606,Non-Severe Complaint,Full Sample
filed_non_severe,0.00677028752703621,0.00049763401076947,13.6049534005274,3.91279505000891e-42,full,non_severe,tenant_augmented,same_period,0.00579492486592805,0.00774565018814437,Non-Severe Complaint,Full Sample
filed_non_severe:tc_black_c,-0.00608911128031253,0.00261973595888629,-2.32432251794611,0.020109242250786,full,non_severe,tenant_augmented,same_period,-0.0112237937597296,-0.000954428800895407,Non-Severe Complaint,Full Sample
filed_non_severe:tc_female_c,-0.00152215884389873,0.00213570781349351,-0.712718675411332,0.476020715299235,full,non_severe,tenant_augmented,same_period,-0.00570814615834601,0.00266382847054855,Non-Severe Complaint,Full Sample
filed_non_severe:tc_black_female_c,0.00666189316834531,0.00389430940865491,1.71067382410334,0.0871429417631047,full,non_severe,tenant_augmented,same_period,-0.000970953272618317,0.0142947396093089,Non-Severe Complaint,Full Sample
filed_non_severe:tc_cov_c,-0.00839395886442274,0.00283224669538629,-2.96371035690374,0.00303991154140048,full,non_severe,tenant_augmented,same_period,-0.0139451623873799,-0.00284275534146561,Non-Severe Complaint,Full Sample
filed_complaint,0.0426821721576279,0.000594969458390998,71.7384254866715,0,pre,complaint,baseline,same_period,0.0415160320191815,0.0438483122960742,Any Complaint,Pre-COVID (<=2019)
filed_complaint,0.0414543528736378,0.00058147092305313,71.2922198344387,0,pre,complaint,tenant_augmented,same_period,0.0403146698644536,0.0425940358828219,Any Complaint,Pre-COVID (<=2019)
filed_complaint:tc_black_c,0.0304748827255791,0.00301119419518119,10.1205305105689,4.54197724878855e-24,pre,complaint,tenant_augmented,same_period,0.024572942103024,0.0363768233481342,Any Complaint,Pre-COVID (<=2019)
filed_complaint:tc_female_c,0.00251327400963657,0.00243352972620371,1.03276897856401,0.301713312221397,pre,complaint,tenant_augmented,same_period,-0.00225644425372271,0.00728299227299584,Any Complaint,Pre-COVID (<=2019)
filed_complaint:tc_black_female_c,0.00333271749990039,0.00436082917125531,0.764239407007322,0.44472551671433,pre,complaint,tenant_augmented,same_period,-0.00521450767576002,0.0118799426755608,Any Complaint,Pre-COVID (<=2019)
filed_complaint:tc_cov_c,-0.015295991352551,0.00317523600146438,-4.81727699783471,1.45640227579372e-06,pre,complaint,tenant_augmented,same_period,-0.0215194539154212,-0.00907252878968084,Any Complaint,Pre-COVID (<=2019)
filed_severe,0.0801541909741346,0.00105004598826518,76.3339814350041,0,pre,severe,baseline,same_period,0.0780961008371349,0.0822122811111343,Severe Complaint,Pre-COVID (<=2019)
filed_severe,0.0773250607041836,0.00104620197323649,73.9102608122346,0,pre,severe,tenant_augmented,same_period,0.07527450483664,0.0793756165717271,Severe Complaint,Pre-COVID (<=2019)
filed_severe:tc_black_c,0.0279299157254341,0.0049567418310677,5.63473278966758,1.75572140319405e-08,pre,severe,tenant_augmented,same_period,0.0182147017365414,0.0376451297143268,Severe Complaint,Pre-COVID (<=2019)
filed_severe:tc_female_c,0.000610002437768417,0.00470514364091792,0.129645869355311,0.896846745432062,pre,severe,tenant_augmented,same_period,-0.0086120790984307,0.00983208397396753,Severe Complaint,Pre-COVID (<=2019)
filed_severe:tc_black_female_c,0.000427956122181935,0.00715239203124103,0.0598339856530039,0.952287919073753,pre,severe,tenant_augmented,same_period,-0.0135907322590505,0.0144466445034144,Severe Complaint,Pre-COVID (<=2019)
filed_severe:tc_cov_c,-0.0199305354923923,0.00538485948367538,-3.70121737676039,0.000214626878631966,pre,severe,tenant_augmented,same_period,-0.0304848600803961,-0.00937621090438856,Severe Complaint,Pre-COVID (<=2019)
filed_non_severe,0.00678227429250852,0.00049276654176127,13.7636663972091,4.41756238787448e-43,pre,non_severe,baseline,same_period,0.00581645187065643,0.0077480967143606,Non-Severe Complaint,Pre-COVID (<=2019)
filed_non_severe,0.00677028752703621,0.00049763401076947,13.6049534005274,3.91279505000891e-42,pre,non_severe,tenant_augmented,same_period,0.00579492486592805,0.00774565018814437,Non-Severe Complaint,Pre-COVID (<=2019)
filed_non_severe:tc_black_c,-0.00608911128031253,0.00261973595888629,-2.32432251794611,0.020109242250786,pre,non_severe,tenant_augmented,same_period,-0.0112237937597296,-0.000954428800895407,Non-Severe Complaint,Pre-COVID (<=2019)
filed_non_severe:tc_female_c,-0.00152215884389873,0.00213570781349351,-0.712718675411332,0.476020715299235,pre,non_severe,tenant_augmented,same_period,-0.00570814615834601,0.00266382847054855,Non-Severe Complaint,Pre-COVID (<=2019)
filed_non_severe:tc_black_female_c,0.00666189316834531,0.00389430940865491,1.71067382410334,0.0871429417631047,pre,non_severe,tenant_augmented,same_period,-0.000970953272618317,0.0142947396093089,Non-Severe Complaint,Pre-COVID (<=2019)
filed_non_severe:tc_cov_c,-0.00839395886442274,0.00283224669538629,-2.96371035690374,0.00303991154140048,pre,non_severe,tenant_augmented,same_period,-0.0139451623873799,-0.00284275534146561,Non-Severe Complaint,Pre-COVID (<=2019)
