term,estimate,std_error,t_value,p_value,sample,outcome,fe,block,conf_low,conf_high
tc_black_c,-1.05976239759716e-05,0.000713546147641448,-0.0148520512807769,0.988157966922513,full,complaint,tract,suppression,-0.00140914807335321,0.00138795282540127
tc_female_c,-0.000612501559284437,0.000547041148929589,-1.11966268073789,0.263561030284647,full,complaint,tract,suppression,-0.00168470221118643,0.000459699092617557
tc_black_female_c,0.0022250626960749,0.000857116779395393,2.59598545911614,0.00979579088702472,full,complaint,tract,suppression,0.000545113808459928,0.00390501158368987
tc_cov_c,0.00178422505912951,0.000632440973768643,2.82117246214697,0.00503465438761679,full,complaint,tract,suppression,0.000544640750542973,0.00302380936771605
tenant_comp_missing,0.00499708512352383,0.000409906251145503,12.1907999928258,4.21930277107702e-29,full,complaint,tract,suppression,0.00419366887127865,0.00580050137576902
building_type::COMMERCIAL:tc_black_c,0.0184411660319736,0.0117862627736982,1.56463218121408,0.118497180262113,full,complaint,tract,suppression,-0.00465990900447478,0.041542241068422
building_type::DETACHED:tc_black_c,0.00340881531576175,0.00296692605609632,1.14893841346584,0.251300264060756,full,complaint,tract,suppression,-0.00240635975418703,0.00922399038571053
building_type::HIGHRISE_MULTI:tc_black_c,0.153157219846523,0.0381335121304043,4.01634182875092,7.1184047573379e-05,full,complaint,tract,suppression,0.0784155360709309,0.227898903622116
building_type::LOWRISE_MULTI:tc_black_c,0.0457671253877587,0.00583545226934793,7.84294400421388,4.44687379458323e-14,full,complaint,tract,suppression,0.0343296389398367,0.0572046118356806
building_type::MIDRISE_MULTI:tc_black_c,0.0302980543907191,0.0097618636778293,3.10371619504692,0.00205339849250721,full,complaint,tract,suppression,0.0111648015821737,0.0494313071992645
building_type::OTHER:tc_black_c,0.0086480826959573,0.00914256354678646,0.945914420140621,0.344790173673187,full,complaint,tract,suppression,-0.00927134185574416,0.0265675072476588
building_type::SMALL_MULTI_2_4:tc_black_c,0.00247987123646781,0.00142903249902858,1.73534978256517,0.0834853256605727,full,complaint,tract,suppression,-0.000321032461628214,0.00528077493456383
building_type::TWIN:tc_black_c,-1.96241335754633e-05,0.00150756875982461,-0.0130170736476035,0.989620966757851,full,complaint,tract,suppression,-0.0029744589028317,0.00293521063568077
building_type::COMMERCIAL:tc_female_c,-0.00452481666877563,0.0105125457330961,-0.430420640599961,0.667132416456781,full,complaint,tract,suppression,-0.0251294063056441,0.0160797729680928
building_type::DETACHED:tc_female_c,-0.000528466594660728,0.00318326390332285,-0.166014069430149,0.868233707222634,full,complaint,tract,suppression,-0.00676766384517352,0.00571073065585206
building_type::HIGHRISE_MULTI:tc_female_c,0.0517797659297951,0.048172541910419,1.0748813302417,0.283106310160944,full,complaint,tract,suppression,-0.0426384162146261,0.146197948074216
building_type::LOWRISE_MULTI:tc_female_c,0.00118868402531224,0.00467602511542305,0.254208220865105,0.799471478906679,full,complaint,tract,suppression,-0.00797632520091694,0.0103536932515414
building_type::MIDRISE_MULTI:tc_female_c,-0.00265697557296586,0.0058638922231004,-0.453107845757957,0.650728341662844,full,complaint,tract,suppression,-0.0141502043302426,0.00883625318431092
building_type::OTHER:tc_female_c,0.0119574101799275,0.00955902426931895,1.25090279541464,0.211735539431904,full,complaint,tract,suppression,-0.00677827738793765,0.0306930977477926
building_type::SMALL_MULTI_2_4:tc_female_c,-0.00172774833738733,0.00125105295765937,-1.38103533252487,0.168075460211491,full,complaint,tract,suppression,-0.0041798121343997,0.000724315459625036
building_type::TWIN:tc_female_c,6.61356505855412e-05,0.00149991699416114,0.0440928737010069,0.964853412227617,full,complaint,tract,suppression,-0.0028737016579703,0.00300597295914138
tc_black_c,-0.000103888505367536,0.000671541206116595,-0.154701609404291,0.87707999823816,full,complaint,bg,suppression,-0.00142010926935606,0.00121233225862099
tc_female_c,-0.000544770650444226,0.000550842053772709,-0.988977959676644,0.322853538435861,full,complaint,bg,suppression,-0.00162442107583874,0.000534879774950283
tc_black_female_c,0.00228579089415995,0.000806671927702133,2.83360659477912,0.00467200405209615,full,complaint,bg,suppression,0.000704713915863772,0.00386686787245613
tc_cov_c,0.00192064563996817,0.000622175131063637,3.08698555129443,0.00206370673886879,full,complaint,bg,suppression,0.000701182383083437,0.0031401088968529
tenant_comp_missing,0.00512529638552608,0.000353626197417871,14.4935426813689,2.59589871390296e-44,full,complaint,bg,suppression,0.00443218903858706,0.00581840373246511
building_type::COMMERCIAL:tc_black_c,0.0164894802672446,0.0113134741814338,1.45750810076581,0.145211887835691,full,complaint,bg,suppression,-0.00568492912836572,0.0386638896628549
building_type::DETACHED:tc_black_c,0.0025154840343767,0.0030296215712216,0.830296449652756,0.406519983351935,full,complaint,bg,suppression,-0.00342257424521763,0.00845354231397103
building_type::HIGHRISE_MULTI:tc_black_c,0.14872589354419,0.0354758842329522,4.19230969882478,2.94348545368287e-05,full,complaint,bg,suppression,0.0791931604476041,0.218258626640777
building_type::LOWRISE_MULTI:tc_black_c,0.0435798536485959,0.00548544243260852,7.94463786358107,4.11430958614285e-15,full,complaint,bg,suppression,0.0328283864806832,0.0543313208165086
building_type::MIDRISE_MULTI:tc_black_c,0.0300051415257774,0.00959193714507482,3.12816285928064,0.00179715554519867,full,complaint,bg,suppression,0.0112049447214307,0.048805338330124
building_type::OTHER:tc_black_c,0.00874562567763196,0.00878032815519607,0.996047701526558,0.319407875090337,full,complaint,bg,suppression,-0.00846381750655233,0.0259550688618163
building_type::SMALL_MULTI_2_4:tc_black_c,0.00241429588173823,0.00132644365639121,1.82012697644972,0.0689640089003299,full,complaint,bg,suppression,-0.000185533684788533,0.005014125448265
building_type::TWIN:tc_black_c,0.000213043122331256,0.0015376818459298,0.138548245786458,0.889828084937538,full,complaint,bg,suppression,-0.00280081329569115,0.00322689954035366
building_type::COMMERCIAL:tc_female_c,-0.00354684231528606,0.0103453693007255,-0.342843470560042,0.731770317122873,full,complaint,bg,suppression,-0.0238237661447081,0.016730081514136
building_type::DETACHED:tc_female_c,-0.00109598727149325,0.00325325765460841,-0.336889170134045,0.736253521083282,full,complaint,bg,suppression,-0.00747237227452573,0.00528039773153922
building_type::HIGHRISE_MULTI:tc_female_c,0.0501119271942333,0.0504856826321466,0.992596803322704,0.32108675947047,full,complaint,bg,suppression,-0.0488400107647741,0.149063865153241
building_type::LOWRISE_MULTI:tc_female_c,0.000822057225381357,0.00467428687553695,0.175867944623516,0.86042442140756,full,complaint,bg,suppression,-0.00833954505067106,0.00998365950143377
building_type::MIDRISE_MULTI:tc_female_c,-0.00366654851057255,0.00579473756159287,-0.632737629892714,0.527013595752608,full,complaint,bg,suppression,-0.0150242341312946,0.00769113711014947
building_type::OTHER:tc_female_c,0.0121767151134927,0.00950446871508883,1.28115684090385,0.200361580798834,full,complaint,bg,suppression,-0.0064520435680814,0.0308054737950668
building_type::SMALL_MULTI_2_4:tc_female_c,-0.00178039315794732,0.00121754596974376,-1.46228003064395,0.143900377040914,full,complaint,bg,suppression,-0.0041667832586451,0.00060599694275045
building_type::TWIN:tc_female_c,4.23320817749452e-05,0.00154009779107413,0.027486619369424,0.978075729386561,full,complaint,bg,suppression,-0.00297625958873035,0.00306092375228024
tc_black_c,-4.984006687033e-05,0.00108911083420299,-0.0457621624036114,0.963523730234767,pre,complaint,tract,suppression,-0.0021844973019082,0.00208481716816753
tc_female_c,-8.44747406244241e-05,0.00071190286847817,-0.118660486373661,0.90560671518955,pre,complaint,tract,suppression,-0.00147980436284164,0.00131085488159279
tc_black_female_c,0.00143627718309957,0.00124658403606903,1.15217036440537,0.249971609117158,pre,complaint,tract,suppression,-0.00100702752759573,0.00387958189379486
tc_cov_c,-0.0011571022071536,0.000918607578924588,-1.25962623616519,0.208573277692257,pre,complaint,tract,suppression,-0.00295757306184579,0.000643368647538596
tenant_comp_missing,0.00516145589281663,0.000481839795929128,10.7119750930158,1.3724678594516e-23,pre,complaint,tract,suppression,0.00421704989279554,0.00610586189283772
building_type::COMMERCIAL:tc_black_c,0.0352797898840769,0.0136292126862474,2.58854203072759,0.0100062369694919,pre,complaint,tract,suppression,0.00856653301903211,0.0619930467491218
building_type::DETACHED:tc_black_c,0.00188454468901893,0.00366471520236088,0.51424042113965,0.607381269134841,pre,complaint,tract,suppression,-0.00529829710760838,0.00906738648564625
building_type::HIGHRISE_MULTI:tc_black_c,0.107230382486379,0.0362740552622867,2.95611785644115,0.00330871572045084,pre,complaint,tract,suppression,0.0361332341722969,0.178327530800461
building_type::LOWRISE_MULTI:tc_black_c,0.0409435190332979,0.00618214528902002,6.62286586923423,1.19823140865938e-10,pre,complaint,tract,suppression,0.0288265142668186,0.0530605237997771
building_type::MIDRISE_MULTI:tc_black_c,0.0355515382131971,0.0140421784704439,2.53176800793597,0.011748970353143,pre,complaint,tract,suppression,0.00802886841112706,0.0630742080152671
building_type::OTHER:tc_black_c,0.00405039431923281,0.0133465851989324,0.30347795026677,0.761690865400823,pre,complaint,tract,suppression,-0.0221089126706747,0.0302097013091403
building_type::SMALL_MULTI_2_4:tc_black_c,0.00105774401301413,0.00166814859897065,0.634082607308975,0.526406421505181,pre,complaint,tract,suppression,-0.00221182724096836,0.00432731526699661
building_type::TWIN:tc_black_c,-0.000729992418976598,0.00193099779527883,-0.378038970713163,0.705611621798711,pre,complaint,tract,suppression,-0.00451474809772311,0.00305476325976992
building_type::COMMERCIAL:tc_female_c,-0.00644339600222575,0.0103576604344415,-0.622089905631588,0.53425386941157,pre,complaint,tract,suppression,-0.0267444104537311,0.0138576184492796
building_type::DETACHED:tc_female_c,-0.00144172298438719,0.00438732137062421,-0.328611210029064,0.742629638839,pre,complaint,tract,suppression,-0.0100408728708106,0.00715742690203625
building_type::HIGHRISE_MULTI:tc_female_c,0.0596244680402695,0.0635724525774281,0.937897872787743,0.348889499664879,pre,complaint,tract,suppression,-0.0649775390114896,0.184226475092029
building_type::LOWRISE_MULTI:tc_female_c,-0.00113840639196106,0.00537320020144424,-0.211867481069303,0.83232341520372,pre,complaint,tract,suppression,-0.0116698787867918,0.00939306600286965
building_type::MIDRISE_MULTI:tc_female_c,-0.0053690149342223,0.00777730422702052,-0.690343951773013,0.490397129692561,pre,complaint,tract,suppression,-0.0206125312191825,0.00987450135073792
building_type::OTHER:tc_female_c,0.00591037883173918,0.0130417050888959,0.453190651947149,0.650668772158747,pre,complaint,tract,suppression,-0.0196513631424967,0.0314721208059751
