term,estimate,std_error,t_value,p_value,sample,stem,fe
tc_black_c,0.000649147526591583,0.000696044962479516,0.932622979238482,0.35160220501744,full,complaint,tract
tc_female_c,-0.000679952085634856,0.000437985427162585,-1.55245367417773,0.121379611296277,full,complaint,tract
tc_black_female_c,0.00126388815347045,0.000756775779467226,1.67009593562869,0.0957173822822517,full,complaint,tract
tc_cov_c,0.000667337461585026,0.00062489782565108,1.06791452008931,0.286231711669624,full,complaint,tract
tenant_comp_missing,0.00602646591679523,0.000374172447613687,16.1061188637204,6.19744514514077e-45,full,complaint,tract
total_permits,0.0206133393948924,0.0019226656966536,10.7212290887438,1.25053283749108e-23,full,complaint,tract
total_violations,0.10489661081302,0.00175056924573016,59.9214290259439,1.17818735559109e-196,full,complaint,tract
cumulative_permit_count,-0.000883809701229474,9.60884144572073e-05,-9.19787995485217,2.38650621389152e-18,full,complaint,tract
cumulative_violations_count,0.00310097710984185,7.9753843030416e-05,38.8818518583389,4.87590460368302e-135,full,complaint,tract
log_total_area,0.00483300210927093,0.00044165453285705,10.9429469182766,1.95893616672831e-24,full,complaint,tract
log_market_value,-4.92315459701097e-05,0.000487871717312648,-0.100910842385561,0.919674039816486,full,complaint,tract
tc_black_c,0.000681862929642179,0.000682529768617737,0.999022989170262,0.317964866867153,full,complaint,bg
tc_female_c,-0.000652961494853735,0.000431263472985013,-1.514066309243,0.13024608180339,full,complaint,bg
tc_black_female_c,0.00134855264377888,0.00075809846299206,1.77886212624204,0.0754902083969214,full,complaint,bg
tc_cov_c,0.000897085868068528,0.00058859181263915,1.52412223344756,0.127715377649745,full,complaint,bg
tenant_comp_missing,0.00630468683328124,0.000321450997657638,19.6132128356188,1.87863240836705e-75,full,complaint,bg
total_permits,0.0206772600049244,0.0016688591059985,12.3900573335417,1.8985464132056e-33,full,complaint,bg
total_violations,0.104852478581844,0.00134498141518561,77.958310351355,0,full,complaint,bg
cumulative_permit_count,-0.000843087801435312,0.00010303161535108,-8.1828067876301,6.41095191153868e-16,full,complaint,bg
cumulative_violations_count,0.00308424984790236,6.86027591660092e-05,44.9581020559085,2.19181578912386e-269,full,complaint,bg
log_total_area,0.00490664821528909,0.000417755268322795,11.7452695090796,2.21468248909906e-30,full,complaint,bg
log_market_value,0.000100718980493469,0.000444020216360769,0.226834222367105,0.820587431926056,full,complaint,bg
tc_black_c,0.000649147526591583,0.000696044962479516,0.932622979238482,0.35160220501744,pre,complaint,tract
tc_female_c,-0.000679952085634856,0.000437985427162585,-1.55245367417773,0.121379611296277,pre,complaint,tract
tc_black_female_c,0.00126388815347045,0.000756775779467226,1.67009593562869,0.0957173822822517,pre,complaint,tract
tc_cov_c,0.000667337461585026,0.00062489782565108,1.06791452008931,0.286231711669624,pre,complaint,tract
tenant_comp_missing,0.00602646591679523,0.000374172447613687,16.1061188637204,6.19744514514077e-45,pre,complaint,tract
total_permits,0.0206133393948924,0.0019226656966536,10.7212290887438,1.25053283749108e-23,pre,complaint,tract
total_violations,0.10489661081302,0.00175056924573016,59.9214290259439,1.17818735559109e-196,pre,complaint,tract
cumulative_permit_count,-0.000883809701229474,9.60884144572073e-05,-9.19787995485217,2.38650621389152e-18,pre,complaint,tract
