term,estimate,std_error,t_value,p_value,sample,outcome,fe,block,conf_low,conf_high
tc_black_c,-2.86008955922143e-05,0.000705125017737365,-0.0405614534625222,0.967666649864437,full,complaint,tract,suppression,-0.00141064593035745,0.00135344413917302
tc_female_c,-0.000366997007154634,0.000467739472865384,-0.784618422102375,0.433162350492727,full,complaint,tract,suppression,-0.00128376637397079,0.000549772359661519
tc_black_female_c,0.00110470788821891,0.000753719013025107,1.46567602664697,0.143557033562107,full,complaint,tract,suppression,-0.000372581377310294,0.00258199715374812
tc_cov_c,0.000578723443902383,0.000623663327069787,0.927942078334877,0.354022025139561,full,complaint,tract,suppression,-0.0006436566771544,0.00180110356495917
tenant_comp_missing,0.00589410695830147,0.000373580476087003,15.7773420603725,1.4649234964188e-43,full,complaint,tract,suppression,0.00516188922517094,0.00662632469143199
num_units_bin::2-5:tc_black_c,0.00158977549882875,0.0009586274646521,1.65838718109928,0.0980580432364984,full,complaint,tract,suppression,-0.000289134331889366,0.00346868532954687
num_units_bin::21-50:tc_black_c,0.0606679686413056,0.0161181536921418,3.763952733053,0.000193465862920545,full,complaint,tract,suppression,0.0290763874047076,0.0922595498779036
num_units_bin::51+:tc_black_c,0.0818998472623357,0.0251303379945405,3.25900301381256,0.00121798399166772,full,complaint,tract,suppression,0.0326443847930363,0.131155309731635
num_units_bin::6-20:tc_black_c,0.0243414087193034,0.00633695240615551,3.84118534576005,0.000143261563143402,full,complaint,tract,suppression,0.0119209820032386,0.0367618354353682
num_units_bin::2-5:tc_female_c,-0.00134314025004329,0.000867952223777826,-1.54748177750749,0.122572984476386,full,complaint,tract,suppression,-0.00304432660864783,0.000358046108561248
num_units_bin::21-50:tc_female_c,0.0376711464918594,0.0202315564449461,1.86199942621171,0.0633688319119224,full,complaint,tract,suppression,-0.00198270414023498,0.0773249971239538
num_units_bin::51+:tc_female_c,-0.0126635601327019,0.0433154430253343,-0.292356703480909,0.770172215814155,full,complaint,tract,suppression,-0.0975618284623571,0.0722347081969533
num_units_bin::6-20:tc_female_c,0.000271310289405391,0.00616677434716669,0.0439954949105677,0.964930922954868,full,complaint,tract,suppression,-0.0118155674310413,0.0123581880098521
tc_black_c,0.000112020271452877,0.000694456098887331,0.161306483782572,0.871876460453498,full,complaint,bg,suppression,-0.00124911368236629,0.00147315422527205
tc_female_c,-0.000366577947356455,0.000460679474411092,-0.795733189165999,0.426328805877724,full,complaint,bg,suppression,-0.00126950971720219,0.000536353822489286
tc_black_female_c,0.00119823786285591,0.000760488981382785,1.57561502163671,0.115351835840455,full,complaint,bg,suppression,-0.000292320540654346,0.00268879626636617
tc_cov_c,0.000809009774215027,0.000588808694279648,1.3739772902042,0.169679718048139,full,complaint,bg,suppression,-0.000345055266573083,0.00196307481500314
tenant_comp_missing,0.00617696280853478,0.000321658834718897,19.203460753481,9.41286511280624e-73,full,complaint,bg,suppression,0.00554651149248574,0.00680741412458382
num_units_bin::2-5:tc_black_c,0.00117802332779227,0.00090187120806894,1.30619906396016,0.191710211803996,full,complaint,bg,suppression,-0.000589644240022852,0.00294569089560739
num_units_bin::21-50:tc_black_c,0.0591409587204,0.0152586960466266,3.8758854976651,0.000111404794899972,full,complaint,bg,suppression,0.0292339144690118,0.0890480029717883
num_units_bin::51+:tc_black_c,0.0811573917882283,0.0242756838821246,3.34315573486227,0.000851294900578995,full,complaint,bg,suppression,0.0335770513792641,0.128737732197193
num_units_bin::6-20:tc_black_c,0.0236019801288297,0.00666307035759719,3.54220785045724,0.000410480411879284,full,complaint,bg,suppression,0.0105423622279392,0.0366615980297202
num_units_bin::2-5:tc_female_c,-0.00124650893318,0.000847289745503725,-1.47117198077138,0.141480631048266,full,complaint,bg,suppression,-0.0029071968343673,0.000414178968007305
num_units_bin::21-50:tc_female_c,0.0362868096174024,0.0211755990889395,1.71361430980037,0.0868320799023817,full,complaint,bg,suppression,-0.00521736459691897,0.0777909838317238
num_units_bin::51+:tc_female_c,-0.0146656690991022,0.0415918412425798,-0.352609277708247,0.724437124828919,full,complaint,bg,suppression,-0.0961856779345586,0.0668543397363543
num_units_bin::6-20:tc_female_c,0.00043884192834594,0.0062564359443538,0.0701424792404337,0.944090777307314,full,complaint,bg,suppression,-0.0118237725225875,0.0127014563792794
tc_black_c,-2.86008955922143e-05,0.000705125017737365,-0.0405614534625222,0.967666649864437,pre,complaint,tract,suppression,-0.00141064593035745,0.00135344413917302
tc_female_c,-0.000366997007154634,0.000467739472865384,-0.784618422102375,0.433162350492727,pre,complaint,tract,suppression,-0.00128376637397079,0.000549772359661519
tc_black_female_c,0.00110470788821891,0.000753719013025107,1.46567602664697,0.143557033562107,pre,complaint,tract,suppression,-0.000372581377310294,0.00258199715374812
tc_cov_c,0.000578723443902383,0.000623663327069787,0.927942078334877,0.354022025139561,pre,complaint,tract,suppression,-0.0006436566771544,0.00180110356495917
tenant_comp_missing,0.00589410695830147,0.000373580476087003,15.7773420603725,1.4649234964188e-43,pre,complaint,tract,suppression,0.00516188922517094,0.00662632469143199
num_units_bin::2-5:tc_black_c,0.00158977549882875,0.0009586274646521,1.65838718109928,0.0980580432364984,pre,complaint,tract,suppression,-0.000289134331889366,0.00346868532954687
num_units_bin::21-50:tc_black_c,0.0606679686413056,0.0161181536921418,3.763952733053,0.000193465862920545,pre,complaint,tract,suppression,0.0290763874047076,0.0922595498779036
num_units_bin::51+:tc_black_c,0.0818998472623357,0.0251303379945405,3.25900301381256,0.00121798399166772,pre,complaint,tract,suppression,0.0326443847930363,0.131155309731635
num_units_bin::6-20:tc_black_c,0.0243414087193034,0.00633695240615551,3.84118534576005,0.000143261563143402,pre,complaint,tract,suppression,0.0119209820032386,0.0367618354353682
num_units_bin::2-5:tc_female_c,-0.00134314025004329,0.000867952223777826,-1.54748177750749,0.122572984476386,pre,complaint,tract,suppression,-0.00304432660864783,0.000358046108561248
num_units_bin::21-50:tc_female_c,0.0376711464918594,0.0202315564449461,1.86199942621171,0.0633688319119224,pre,complaint,tract,suppression,-0.00198270414023498,0.0773249971239538
