stage,year,n_obs,n_pid,share_tenant_black_missing,share_tenant_comp_missing,share_log_total_area_missing,share_missing_tract,share_missing_maint_stock
panel_all,,6981480,193930,0.263723451188,0.287229068908025,0.0580896887192974,0.0242922704068478,0
panel_all_by_year,2011,775720,193930,0.271840354767184,0.300721909967514,0.0686175424122106,0.0359304903831279,0
panel_all_by_year,2012,775720,193930,0.273707007683185,0.300917856958696,0.0664002475119889,0.0333161450007735,0
panel_all_by_year,2013,775720,193930,0.261939875212706,0.286840612592172,0.0641004486154798,0.030820399113082,0
panel_all_by_year,2014,775720,193930,0.268179239931934,0.290919403908627,0.0617387717217553,0.0282112102304955,0
panel_all_by_year,2015,775720,193930,0.28805754653741,0.311540246480689,0.0591089568400969,0.0251791883669365,0
panel_all_by_year,2016,775720,193930,0.283669365234879,0.305228690764709,0.0557881709895323,0.0217398030217089,0
panel_all_by_year,2017,775720,193930,0.27349043469293,0.294853813231578,0.0520703346568349,0.0176971072036302,0
panel_all_by_year,2018,775720,193930,0.232351879544165,0.253606971587686,0.0488475223018615,0.0143350693549219,0
panel_all_by_year,2019,775720,193930,0.220275357087609,0.240432114680555,0.0461352034239159,0.0114010209869541,0
reg1_sample,,4976196,174813,0,0,0.0444210798770788,6.3502321853882e-05,0
reg2_3_sample,,4754860,168181,0,0,0,0,0
