term,estimate,std_error,t_value,p_value,sample,outcome,fe,block,conf_low,conf_high
tc_black_c,-0.0142589247577182,0.00563647379406977,-2.52975978930662,0.0118184824888278,full,same,tract,targeting,-0.025306413394095,-0.00321143612134146
tc_female_c,-0.00186256603649079,0.00537782885090415,-0.346341634910461,0.729278176366141,full,same,tract,targeting,-0.0124031105842629,0.00867797851128135
tc_black_female_c,-0.00634959631530379,0.00657840366406646,-0.965218408530857,0.335050902766103,full,same,tract,targeting,-0.0192432674968741,0.00654407486626648
tc_cov_c,-0.00742885102054443,0.00463179282062869,-1.60388240757627,0.109572947721118,full,same,tract,targeting,-0.0165071649489767,0.00164946290788781
tenant_comp_missing,0.00339385468493003,0.00297257910885862,1.14172056004026,0.254291017926019,full,same,tract,targeting,-0.00243240036843286,0.00922010973829293
building_type::COMMERCIAL:tc_black_c,0.0210737908916529,0.0464504052314576,0.453683682341292,0.650316178489752,full,same,tract,targeting,-0.0699690033620039,0.11211658514531
building_type::DETACHED:tc_black_c,0.00361452153008076,0.0302720471803695,0.119401291513072,0.905020702162193,full,same,tract,targeting,-0.0557186909434435,0.062947734003605
building_type::HIGHRISE_MULTI:tc_black_c,0.143821945636197,0.0506321296651945,2.84052728153488,0.00474696730649543,full,same,tract,targeting,0.0445829714924155,0.243060919779978
building_type::LOWRISE_MULTI:tc_black_c,0.0444629477775768,0.0226032983335821,1.96709998343549,0.0499007316792431,full,same,tract,targeting,0.000160483043755898,0.0887654125113977
building_type::MIDRISE_MULTI:tc_black_c,0.0894358052014102,0.0383459243507083,2.33234187767749,0.020205675047107,full,same,tract,targeting,0.0142777934740218,0.164593816928798
building_type::OTHER:tc_black_c,0.0416154945885085,0.0642562709030294,0.647648766473103,0.517604262109019,full,same,tract,targeting,-0.084326796381429,0.167557785558446
building_type::SMALL_MULTI_2_4:tc_black_c,0.0128244672235182,0.009400127589417,1.36428650585088,0.173286968562033,full,same,tract,targeting,-0.0055997828517391,0.0312487172987755
building_type::TWIN:tc_black_c,0.0112124549746639,0.011953683733339,0.937991603658728,0.34884607908852,full,same,tract,targeting,-0.0122167651426805,0.0346416750920084
building_type::COMMERCIAL:tc_female_c,0.00598828295874333,0.0417822391565539,0.143321255146375,0.8861126384951,full,same,tract,targeting,-0.0759049057881023,0.087881471705589
building_type::DETACHED:tc_female_c,-0.00785208517290248,0.0341172947726702,-0.230149700473686,0.818099615519296,full,same,tract,targeting,-0.074721982927336,0.0590178125815311
building_type::HIGHRISE_MULTI:tc_female_c,-0.0553357247040303,0.0762127243575582,-0.726069369261992,0.468244381516377,full,same,tract,targeting,-0.204712664444844,0.0940412150367837
building_type::LOWRISE_MULTI:tc_female_c,0.0110157573684045,0.0218522766848987,0.504101129930185,0.614483225223904,full,same,tract,targeting,-0.031814704933997,0.053846219670806
building_type::MIDRISE_MULTI:tc_female_c,-0.0426330589624909,0.0375046733443868,-1.13673990894448,0.256365240610444,full,same,tract,targeting,-0.116142218717489,0.0308761007925073
building_type::OTHER:tc_female_c,-0.028994516121625,0.0595947668567612,-0.486527889123464,0.626874152618991,full,same,tract,targeting,-0.145800259160877,0.087811226917627
building_type::SMALL_MULTI_2_4:tc_female_c,-0.0153573869033171,0.00940506706290828,-1.63288435910081,0.103323786763614,full,same,tract,targeting,-0.0337913183466174,0.00307654453998312
building_type::TWIN:tc_female_c,-0.0073339670285418,0.0123781717153979,-0.592491944462096,0.553874535288948,full,same,tract,targeting,-0.0315951835907216,0.016927249533638
tc_black_c,-0.0128592604047261,0.00588606751770932,-2.18469468215181,0.0290860987177692,full,same,bg,targeting,-0.0243959527394363,-0.0013225680700158
tc_female_c,-0.0016881044517926,0.00525314622671351,-0.321351125389997,0.747995037253026,full,same,bg,targeting,-0.0119842710561511,0.00860806215256587
tc_black_female_c,-0.00560793271878633,0.00663456478394831,-0.845260073781204,0.398118367420689,full,same,bg,targeting,-0.018611679695325,0.00739581425775236
tc_cov_c,-0.00784675348218459,0.00467503201016481,-1.67843845028731,0.0934975191490347,full,same,bg,targeting,-0.0170098162221076,0.00131630925773843
tenant_comp_missing,0.00274965505156613,0.00278828895046036,0.98614422695042,0.324242517562351,full,same,bg,targeting,-0.00271539129133617,0.00821470139446842
building_type::COMMERCIAL:tc_black_c,0.0189461353487753,0.0464051197738375,0.408276833269955,0.683136462947784,full,same,bg,targeting,-0.0720078994079462,0.109900170105497
building_type::DETACHED:tc_black_c,-0.00322613237099776,0.0285919745132803,-0.112833493521033,0.910179668722772,full,same,bg,targeting,-0.0592664024170272,0.0528141376750317
building_type::HIGHRISE_MULTI:tc_black_c,0.124046713340302,0.0471341851190664,2.63177804022591,0.00859264414216903,full,same,bg,targeting,0.0316637105069318,0.216429716173672
building_type::LOWRISE_MULTI:tc_black_c,0.0375356958067888,0.0197863169640922,1.89705319463485,0.0580383523908926,full,same,bg,targeting,-0.00124548544283195,0.0763168770564095
building_type::MIDRISE_MULTI:tc_black_c,0.0643969889559032,0.0441790870361082,1.4576351227736,0.14517828297216,full,same,bg,targeting,-0.0221940216348689,0.150987999546675
building_type::OTHER:tc_black_c,0.0241284412548981,0.0604313231829347,0.399270444267084,0.689758334812931,full,same,bg,targeting,-0.0943169521836539,0.14257383469345
building_type::SMALL_MULTI_2_4:tc_black_c,0.0124236370428114,0.00855338129789486,1.45248254580549,0.146604415874802,full,same,bg,targeting,-0.0043409903010625,0.0291882643866854
building_type::TWIN:tc_black_c,0.0110121240968559,0.0126932151354868,0.867559871893213,0.385792531191953,full,same,bg,targeting,-0.0138665775686982,0.03589082576241
building_type::COMMERCIAL:tc_female_c,0.00834603892808525,0.0412085019924546,0.202531966088295,0.839531987654939,full,same,bg,targeting,-0.0724226249771257,0.0891147028332962
building_type::DETACHED:tc_female_c,-0.00411236073024637,0.0346924998896892,-0.118537457471278,0.905659798573671,full,same,bg,targeting,-0.0721096605140373,0.0638849390535445
building_type::HIGHRISE_MULTI:tc_female_c,-0.0959517396699673,0.0755694992879282,-1.26971517046025,0.204409224614137,full,same,bg,targeting,-0.244067958274306,0.052164478934372
building_type::LOWRISE_MULTI:tc_female_c,0.0167347511735075,0.0205429566414734,0.814622328497849,0.415435022422443,full,same,bg,targeting,-0.0235294438437805,0.0569989461907954
building_type::MIDRISE_MULTI:tc_female_c,-0.0312847966132106,0.0369444803396345,-0.846805702113177,0.397256461401494,full,same,bg,targeting,-0.103695978078894,0.041126384852473
building_type::OTHER:tc_female_c,-0.0221320689444855,0.0611814947095585,-0.361744495611804,0.717600694950068,full,same,bg,targeting,-0.14204779857522,0.0977836606862491
building_type::SMALL_MULTI_2_4:tc_female_c,-0.0175854185977991,0.00848773782600327,-2.07186166188168,0.038471590044687,full,same,bg,targeting,-0.0342213847367656,-0.000949452458832725
building_type::TWIN:tc_female_c,-0.00672354198124148,0.0103763747950232,-0.647966376895552,0.517119043964174,full,same,bg,targeting,-0.0270612365794869,0.0136141526170039
tc_black_c,-0.015192504459821,0.00606989632855902,-2.50292651430303,0.0127372044125282,pre,same,tract,targeting,-0.0270895012637966,-0.00329550765584528
tc_female_c,-0.00442730038087428,0.00579062173872638,-0.764563907061222,0.445007035870467,pre,same,tract,targeting,-0.015776918988778,0.00692231822702941
tc_black_female_c,-0.00447906040940606,0.00702826204638707,-0.637292744613663,0.524318956317508,pre,same,tract,targeting,-0.0182544540203247,0.0092963332015126
tc_cov_c,-0.00821506344317795,0.00514527240114587,-1.59662361925647,0.111183053356017,pre,same,tract,targeting,-0.0182997973494239,0.00186967046306796
tenant_comp_missing,0.00452877007678594,0.00311183802369428,1.45533605615164,0.146404018471348,pre,same,tract,targeting,-0.00157043244965486,0.0106279726032267
building_type::COMMERCIAL:tc_black_c,0.0329477285432576,0.0552284829915921,0.596571311731911,0.551149795860822,pre,same,tract,targeting,-0.0753000981202628,0.141195555206778
building_type::DETACHED:tc_black_c,-0.00476413035628843,0.0341925001587129,-0.139332611952169,0.889261329305007,pre,same,tract,targeting,-0.0717814306673657,0.0622531699547888
building_type::HIGHRISE_MULTI:tc_black_c,0.111582397712317,0.0540332375582128,2.06506962667383,0.0395959834922768,pre,same,tract,targeting,0.00567725209821957,0.217487543326414
building_type::LOWRISE_MULTI:tc_black_c,0.043063102912226,0.0225950775466043,1.90586214291164,0.0574243897115941,pre,same,tract,targeting,-0.0012232490791184,0.0873494549035704
building_type::MIDRISE_MULTI:tc_black_c,0.070449592952509,0.0390586788662555,1.80368601799723,0.0720744936299874,pre,same,tract,targeting,-0.00610541762535172,0.14700460353037
building_type::OTHER:tc_black_c,0.0559470359369703,0.0686097853861514,0.815438142272094,0.415333706796645,pre,same,tract,targeting,-0.0785281434198863,0.190422215293827
building_type::SMALL_MULTI_2_4:tc_black_c,0.00953911510007662,0.00953542769164685,1.00038670613936,0.31776167135029,pre,same,tract,targeting,-0.00915032317555121,0.0282285533757045
building_type::TWIN:tc_black_c,0.0083940375818997,0.0116896461138931,0.718074567879639,0.473153709515713,pre,same,tract,targeting,-0.0145176688013308,0.0313057439651302
building_type::COMMERCIAL:tc_female_c,0.00515572773239185,0.0500107697884776,0.103092348991991,0.917944203587845,pre,same,tract,targeting,-0.0928653810530242,0.103176836517808
building_type::DETACHED:tc_female_c,0.00124583957081257,0.0355881498590204,0.035007146360456,0.97209247214866,pre,same,tract,targeting,-0.0685069341528674,0.0709986132944926
building_type::HIGHRISE_MULTI:tc_female_c,-0.022828999224108,0.0841463412983498,-0.271301150731739,0.786307128765222,pre,same,tract,targeting,-0.187755828168874,0.142097829720658
building_type::LOWRISE_MULTI:tc_female_c,0.0180787657074041,0.0237324057148949,0.76177552013016,0.446667760270496,pre,same,tract,targeting,-0.02843674949379,0.0645942809085981
building_type::MIDRISE_MULTI:tc_female_c,-0.032786158397911,0.0388073917928421,-0.844843131250018,0.398731425135903,pre,same,tract,targeting,-0.108848646311882,0.0432763295160595
building_type::OTHER:tc_female_c,-0.0212595097376435,0.0662569508787928,-0.320864595422367,0.74848985646111,pre,same,tract,targeting,-0.151123133460077,0.10860411398479
building_type::SMALL_MULTI_2_4:tc_female_c,-0.0150796889633987,0.00987044140043873,-1.52776237167351,0.127405661044177,pre,same,tract,targeting,-0.0344257541082586,0.0042663761814612
building_type::TWIN:tc_female_c,-0.00411853596923014,0.0123600865119926,-0.333212551969927,0.739158099849971,pre,same,tract,targeting,-0.0283443055327357,0.0201072335942754
tc_black_c,-0.0152689183133733,0.00637184433264403,-2.39631063099706,0.0166992028539729,pre,same,bg,targeting,-0.0277577332053556,-0.00278010342139097
tc_female_c,-0.00452740042257895,0.00561011289138993,-0.807007008633879,0.419807497386918,pre,same,bg,targeting,-0.0155232216897032,0.00646842084454532
tc_black_female_c,-0.00305787142247842,0.00707410096951255,-0.432262903181198,0.665620789593977,pre,same,bg,targeting,-0.016923109322723,0.0108073664777662
tc_cov_c,-0.00937417065931213,0.00514253114740967,-1.8228709541281,0.0685485380134733,pre,same,bg,targeting,-0.0194535317082351,0.000705190389610816
tenant_comp_missing,0.00382216076126304,0.00295101000837883,1.29520426918605,0.195475733768489,pre,same,bg,targeting,-0.00196181885515947,0.00960614037768554
building_type::COMMERCIAL:tc_black_c,0.0232692012457385,0.0529764600708922,0.439236619709963,0.660561821788987,pre,same,bg,targeting,-0.0805646604932102,0.127103062984687
building_type::DETACHED:tc_black_c,-0.013014802521564,0.0314475052729524,-0.41385802812021,0.679045163573524,pre,same,bg,targeting,-0.0746519128565507,0.0486223078134227
building_type::HIGHRISE_MULTI:tc_black_c,0.0872975866214019,0.0507505798565737,1.7201298363115,0.0856426947081956,pre,same,bg,targeting,-0.0121735498974825,0.186768723140286
building_type::LOWRISE_MULTI:tc_black_c,0.0381700956240395,0.0208572522598243,1.83006347857064,0.0674653420312291,pre,same,bg,targeting,-0.00271011880521616,0.0790503100532952
building_type::MIDRISE_MULTI:tc_black_c,0.0431473235933451,0.0459056006966947,0.93991414856819,0.347433170785981,pre,same,bg,targeting,-0.0468276537721765,0.133122300958867
building_type::OTHER:tc_black_c,0.0370731867832247,0.0661906718090848,0.560096850053973,0.575508200558389,pre,same,bg,targeting,-0.0926605299625815,0.166806903529031
building_type::SMALL_MULTI_2_4:tc_black_c,0.00861953742669543,0.00898487392155801,0.959338717710217,0.337563420037129,pre,same,bg,targeting,-0.00899081545955827,0.0262298903129491
building_type::TWIN:tc_black_c,0.00719657209881924,0.0134010475325806,0.537015638615039,0.59134710974525,pre,same,bg,targeting,-0.0190694810650387,0.0334626252626771
building_type::COMMERCIAL:tc_female_c,0.00588638106719165,0.0506963949579606,0.116110446750166,0.90758263082744,pre,same,bg,targeting,-0.0934785530504112,0.105251315184794
building_type::DETACHED:tc_female_c,0.00567543647989846,0.0364008858643509,0.155914790124838,0.87612397287489,pre,same,bg,targeting,-0.0656702998142294,0.0770211727740263
building_type::HIGHRISE_MULTI:tc_female_c,-0.0568325015181658,0.0879779957802538,-0.645985408216375,0.518400834322688,pre,same,bg,targeting,-0.229269373247463,0.115604370211132
building_type::LOWRISE_MULTI:tc_female_c,0.0258599483395732,0.0220439776615114,1.17310717406163,0.240963991762132,pre,same,bg,targeting,-0.017346247876989,0.0690661445561355
building_type::MIDRISE_MULTI:tc_female_c,-0.0212995258465478,0.039256677195475,-0.542570776953148,0.587516746358267,pre,same,bg,targeting,-0.0982426131496788,0.0556435614565832
building_type::OTHER:tc_female_c,-0.00933347754613999,0.066620373304699,-0.140099448309181,0.888602741751628,pre,same,bg,targeting,-0.13990940922335,0.12124245413107
building_type::SMALL_MULTI_2_4:tc_female_c,-0.0173978833244482,0.00894418676478986,-1.9451610059103,0.051967215666009,pre,same,bg,targeting,-0.0349284893834363,0.00013272273453992
building_type::TWIN:tc_female_c,-0.00293981287018439,0.0109930422461894,-0.267424867870716,0.78918373658156,pre,same,bg,targeting,-0.0244861756727155,0.0186065499323468
tc_black_c,-0.028177920251226,0.0095479371186175,-2.95120505101379,0.00336216229782212,full,bw,tract,targeting,-0.0468918770037163,-0.00946396349873574
tc_female_c,0.00340847583307983,0.00828457861594653,0.411424164231967,0.680994092203924,full,bw,tract,targeting,-0.0128292982541754,0.019646249920335
tc_black_female_c,-0.00765347704872717,0.0100867423872754,-0.7587659875583,0.448464162699752,full,bw,tract,targeting,-0.0274234921277869,0.0121165380303326
tc_cov_c,-0.0239581962560101,0.00792808177253595,-3.02194111304513,0.00268217170795179,full,bw,tract,targeting,-0.0394972365301806,-0.00841915598183963
