block,sample,outcome,fe,slope_var,slope_label,building_type,ref_building_type,base_term,interaction_term,estimable,estimate,std_error,stat_value,p_value,conf_low,conf_high
targeting,full,bw,bg,tc_black_c,pct_black,COMMERCIAL,ROW,tc_black_c,building_type::COMMERCIAL:tc_black_c,TRUE,-0.0748355098508104,0.101131827337438,-0.739979804786019,0.459312248444156,-0.273053891432188,0.123382871730567
targeting,full,bw,bg,tc_black_c,pct_black,DETACHED,ROW,tc_black_c,building_type::DETACHED:tc_black_c,TRUE,-0.028288605247527,0.0436804273819201,-0.647626567391051,0.517226509624936,-0.11390224291609,0.0573250324210364
targeting,full,bw,bg,tc_black_c,pct_black,HIGHRISE_MULTI,ROW,tc_black_c,building_type::HIGHRISE_MULTI:tc_black_c,TRUE,0.120712690431186,0.0706367551645366,1.7089217950344,0.08746543671718,-0.0177353496913062,0.259160730553677
targeting,full,bw,bg,tc_black_c,pct_black,LOWRISE_MULTI,ROW,tc_black_c,building_type::LOWRISE_MULTI:tc_black_c,TRUE,0.0686840299663827,0.0344984466674427,1.99093108824526,0.0464884638405391,0.00106707449819501,0.13630098543457
targeting,full,bw,bg,tc_black_c,pct_black,MIDRISE_MULTI,ROW,tc_black_c,building_type::MIDRISE_MULTI:tc_black_c,TRUE,0.0403841976661878,0.0630052053456276,0.640966051053278,0.521544740112315,-0.0831060048112423,0.163874400143618
targeting,full,bw,bg,tc_black_c,pct_black,OTHER,ROW,tc_black_c,building_type::OTHER:tc_black_c,TRUE,0.0533889991568054,0.0813977972330729,0.655902259909225,0.51188701405342,-0.106150683420018,0.212928681733628
targeting,full,bw,bg,tc_black_c,pct_black,ROW,ROW,tc_black_c,,TRUE,-0.0292961297545009,0.009201347348859,-3.18389564525392,0.00145307386528733,-0.0473307705582646,-0.0112614889507373
targeting,full,bw,bg,tc_black_c,pct_black,SMALL_MULTI_2_4,ROW,tc_black_c,building_type::SMALL_MULTI_2_4:tc_black_c,TRUE,0.00800387970934755,0.0163304993823902,0.490118490679986,0.624050054332289,-0.0240038990801373,0.0400116584988324
targeting,full,bw,bg,tc_black_c,pct_black,TWIN,ROW,tc_black_c,building_type::TWIN:tc_black_c,TRUE,0.00195916627422638,0.0203987637748481,0.0960433826211594,0.923486117447686,-0.0380224107244759,0.0419407432729287
targeting,full,bw,bg,tc_female_c,pct_women,COMMERCIAL,ROW,tc_female_c,building_type::COMMERCIAL:tc_female_c,TRUE,-0.107445291811263,0.0811536439322532,-1.32397371954066,0.185511772953255,-0.26650643391848,0.0516158502959529
targeting,full,bw,bg,tc_female_c,pct_women,DETACHED,ROW,tc_female_c,building_type::DETACHED:tc_female_c,TRUE,-0.00665282888876531,0.0485077811254405,-0.137149725969967,0.890912448152122,-0.101728079894629,0.0884224221170981
targeting,full,bw,bg,tc_female_c,pct_women,HIGHRISE_MULTI,ROW,tc_female_c,building_type::HIGHRISE_MULTI:tc_female_c,TRUE,-0.00981823014865639,0.168333942900727,-0.0583259084856497,0.953489030652729,-0.339752758234082,0.320116297936769
targeting,full,bw,bg,tc_female_c,pct_women,LOWRISE_MULTI,ROW,tc_female_c,building_type::LOWRISE_MULTI:tc_female_c,TRUE,0.0528356279842565,0.0334910359008865,1.5776050684314,0.114656367270103,-0.0128068023814809,0.118478058349994
targeting,full,bw,bg,tc_female_c,pct_women,MIDRISE_MULTI,ROW,tc_female_c,building_type::MIDRISE_MULTI:tc_female_c,TRUE,-0.0225015883989203,0.0686632078018368,-0.327709542261123,0.743131287801537,-0.15708147569052,0.11207829889268
targeting,full,bw,bg,tc_female_c,pct_women,OTHER,ROW,tc_female_c,building_type::OTHER:tc_female_c,TRUE,-0.00810585822528822,0.0900971697464364,-0.0899679562421419,0.928312678748195,-0.184696310928304,0.168484594477727
targeting,full,bw,bg,tc_female_c,pct_women,ROW,ROW,tc_female_c,,TRUE,0.00248284197548977,0.00822105467726898,0.302010152341496,0.762644323664323,-0.0136304251919574,0.018596109142937
targeting,full,bw,bg,tc_female_c,pct_women,SMALL_MULTI_2_4,ROW,tc_female_c,building_type::SMALL_MULTI_2_4:tc_female_c,TRUE,-0.0161543178918127,0.013196540131643,-1.22413282047144,0.220902126692926,-0.042019536549833,0.00971090076620759
targeting,full,bw,bg,tc_female_c,pct_women,TWIN,ROW,tc_female_c,building_type::TWIN:tc_female_c,TRUE,0.0016960750508147,0.0174565810249291,0.0971596355777001,0.922599622478158,-0.0325188237580463,0.0359109738596757
targeting,full,bw,tract,tc_black_c,pct_black,COMMERCIAL,ROW,tc_black_c,building_type::COMMERCIAL:tc_black_c,TRUE,-0.0730780483354146,0.102544905738521,-0.712644356237026,0.476065856804287,-0.274066063582915,0.127909966912086
targeting,full,bw,tract,tc_black_c,pct_black,DETACHED,ROW,tc_black_c,building_type::DETACHED:tc_black_c,TRUE,-0.026878005547341,0.0413593450770965,-0.649865356843504,0.515779197453322,-0.10794232189845,0.0541863108037682
targeting,full,bw,tract,tc_black_c,pct_black,HIGHRISE_MULTI,ROW,tc_black_c,building_type::HIGHRISE_MULTI:tc_black_c,TRUE,0.162002796904331,0.0788763612508755,2.05388273920323,0.0399870423209212,0.00740512885261546,0.316600464956047
targeting,full,bw,tract,tc_black_c,pct_black,LOWRISE_MULTI,ROW,tc_black_c,building_type::LOWRISE_MULTI:tc_black_c,TRUE,0.0710301823766118,0.0384941076416633,1.84522221005414,0.0650052209373917,-0.0044182686010482,0.146478633354272
targeting,full,bw,tract,tc_black_c,pct_black,MIDRISE_MULTI,ROW,tc_black_c,building_type::MIDRISE_MULTI:tc_black_c,TRUE,0.0776718901666358,0.0644057696968293,1.2059772056487,0.227826279572663,-0.0485634184391497,0.203907198772421
targeting,full,bw,tract,tc_black_c,pct_black,OTHER,ROW,tc_black_c,building_type::OTHER:tc_black_c,TRUE,0.0762915483560023,0.090099606123556,0.846746746610431,0.397136296683445,-0.100303679646167,0.252886776358172
targeting,full,bw,tract,tc_black_c,pct_black,ROW,ROW,tc_black_c,,TRUE,-0.028177920251226,0.0095479371186175,-2.95120505101379,0.00316536701255635,-0.0468918770037163,-0.00946396349873574
targeting,full,bw,tract,tc_black_c,pct_black,SMALL_MULTI_2_4,ROW,tc_black_c,building_type::SMALL_MULTI_2_4:tc_black_c,TRUE,0.00760031663075016,0.0185523698471822,0.409668236098934,0.682049333923242,-0.0287623282697269,0.0439629615312272
targeting,full,bw,tract,tc_black_c,pct_black,TWIN,ROW,tc_black_c,building_type::TWIN:tc_black_c,TRUE,0.00855123932556541,0.0177864432428006,0.480772867786631,0.630677935734572,-0.0263101894303238,0.0434126680814546
targeting,full,bw,tract,tc_female_c,pct_women,COMMERCIAL,ROW,tc_female_c,building_type::COMMERCIAL:tc_female_c,TRUE,-0.128347435268897,0.0811182994039465,-1.58222541907299,0.113598119505483,-0.287339302100632,0.0306444315628379
targeting,full,bw,tract,tc_female_c,pct_women,DETACHED,ROW,tc_female_c,building_type::DETACHED:tc_female_c,TRUE,-0.0198544272077631,0.0490829475245992,-0.404507638784582,0.685839461798034,-0.116057004355977,0.0763481499404512
targeting,full,bw,tract,tc_female_c,pct_women,HIGHRISE_MULTI,ROW,tc_female_c,building_type::HIGHRISE_MULTI:tc_female_c,TRUE,0.097141978480241,0.165910875701801,0.585506996267313,0.558206863711563,-0.228043337895289,0.422327294855771
targeting,full,bw,tract,tc_female_c,pct_women,LOWRISE_MULTI,ROW,tc_female_c,building_type::LOWRISE_MULTI:tc_female_c,TRUE,0.0459322449080093,0.0346444568221419,1.32581801307542,0.184899984963036,-0.0219708904633889,0.113835380279407
targeting,full,bw,tract,tc_female_c,pct_women,MIDRISE_MULTI,ROW,tc_female_c,building_type::MIDRISE_MULTI:tc_female_c,TRUE,-0.0360622069744518,0.0709513803353704,-0.508266460835495,0.611266487593736,-0.175126912431778,0.103002498482874
targeting,full,bw,tract,tc_female_c,pct_women,OTHER,ROW,tc_female_c,building_type::OTHER:tc_female_c,TRUE,-0.0218169786877632,0.0879975350279583,-0.247927157059928,0.804190767456745,-0.194292147342561,0.150658189967035
targeting,full,bw,tract,tc_female_c,pct_women,ROW,ROW,tc_female_c,,TRUE,0.00340847583307983,0.00828457861594653,0.411424164231967,0.680761538197394,-0.0128292982541754,0.019646249920335
targeting,full,bw,tract,tc_female_c,pct_women,SMALL_MULTI_2_4,ROW,tc_female_c,building_type::SMALL_MULTI_2_4:tc_female_c,TRUE,-0.012924390150389,0.0124366837834921,-1.03921514572432,0.298704688077647,-0.0373002903660335,0.0114515100652555
targeting,full,bw,tract,tc_female_c,pct_women,TWIN,ROW,tc_female_c,building_type::TWIN:tc_female_c,TRUE,0.0017893995920561,0.0191435252944128,0.0934728355690238,0.925527929270032,-0.035731909984993,0.0393107091691052
targeting,full,same,bg,tc_black_c,pct_black,COMMERCIAL,ROW,tc_black_c,building_type::COMMERCIAL:tc_black_c,TRUE,0.00608687494404928,0.0461714414357958,0.131832031982658,0.895117149805696,-0.0844091502701105,0.096582900158209
targeting,full,same,bg,tc_black_c,pct_black,DETACHED,ROW,tc_black_c,building_type::DETACHED:tc_black_c,TRUE,-0.0160853927757238,0.0287594566881123,-0.559307950430534,0.575951570323812,-0.072453927884424,0.0402831423329763
targeting,full,same,bg,tc_black_c,pct_black,HIGHRISE_MULTI,ROW,tc_black_c,building_type::HIGHRISE_MULTI:tc_black_c,TRUE,0.111187452935576,0.047184581345398,2.35643614429187,0.0184512396513027,0.0187056734985958,0.203669232372556
targeting,full,same,bg,tc_black_c,pct_black,LOWRISE_MULTI,ROW,tc_black_c,building_type::LOWRISE_MULTI:tc_black_c,TRUE,0.0246764354020627,0.0197009853072008,1.25254828716833,0.210370144725504,-0.0139374958000508,0.0632903666041762
targeting,full,same,bg,tc_black_c,pct_black,MIDRISE_MULTI,ROW,tc_black_c,building_type::MIDRISE_MULTI:tc_black_c,TRUE,0.0515377285511771,0.0441761637071748,1.16664110747142,0.243355335150405,-0.0350475523148856,0.13812300941724
targeting,full,same,bg,tc_black_c,pct_black,OTHER,ROW,tc_black_c,building_type::OTHER:tc_black_c,TRUE,0.011269180850172,0.0607642400487046,0.18545744735949,0.852870253338584,-0.107828729645289,0.130367091345633
targeting,full,same,bg,tc_black_c,pct_black,ROW,ROW,tc_black_c,,TRUE,-0.0128592604047261,0.00588606751770932,-2.18469468215181,0.0289112403668414,-0.0243959527394363,-0.0013225680700158
targeting,full,same,bg,tc_black_c,pct_black,SMALL_MULTI_2_4,ROW,tc_black_c,building_type::SMALL_MULTI_2_4:tc_black_c,TRUE,-0.000435623361914632,0.00937472846470118,-0.0464678378211051,0.962937368084514,-0.0188100911527289,0.0179388444288997
targeting,full,same,bg,tc_black_c,pct_black,TWIN,ROW,tc_black_c,building_type::TWIN:tc_black_c,TRUE,-0.00184713630787017,0.0132576768603898,-0.139325790432326,0.889192710815792,-0.0278321829542342,0.0241379103384938
targeting,full,same,bg,tc_female_c,pct_women,COMMERCIAL,ROW,tc_female_c,building_type::COMMERCIAL:tc_female_c,TRUE,0.00665793447629265,0.0408178594741112,0.163113268605265,0.87042925287393,-0.0733450700929653,0.0866609390455506
targeting,full,same,bg,tc_female_c,pct_women,DETACHED,ROW,tc_female_c,building_type::DETACHED:tc_female_c,TRUE,-0.00580046518203897,0.0345982140098614,-0.16765215627563,0.866856937080371,-0.0736129646413673,0.0620120342772893
targeting,full,same,bg,tc_female_c,pct_women,HIGHRISE_MULTI,ROW,tc_female_c,building_type::HIGHRISE_MULTI:tc_female_c,TRUE,-0.0976398441217599,0.0755557970429473,-1.29228792419805,0.196257452346794,-0.245729206325937,0.0504495180824169
targeting,full,same,bg,tc_female_c,pct_women,LOWRISE_MULTI,ROW,tc_female_c,building_type::LOWRISE_MULTI:tc_female_c,TRUE,0.0150466467217149,0.020327080734623,0.740226642386775,0.459162484119583,-0.0247944315181461,0.0548877249615758
targeting,full,same,bg,tc_female_c,pct_women,MIDRISE_MULTI,ROW,tc_female_c,building_type::MIDRISE_MULTI:tc_female_c,TRUE,-0.0329729010650032,0.0368898089824336,-0.893821409612191,0.371417452208636,-0.105276926670573,0.0393311245405666
targeting,full,same,bg,tc_female_c,pct_women,OTHER,ROW,tc_female_c,building_type::OTHER:tc_female_c,TRUE,-0.0238201733962781,0.06111573577751,-0.389755160323926,0.696717603583237,-0.143607015520198,0.0959666687276415
targeting,full,same,bg,tc_female_c,pct_women,ROW,ROW,tc_female_c,,TRUE,-0.0016881044517926,0.00525314622671351,-0.321351125389997,0.747944316717346,-0.0119842710561511,0.00860806215256587
targeting,full,same,bg,tc_female_c,pct_women,SMALL_MULTI_2_4,ROW,tc_female_c,building_type::SMALL_MULTI_2_4:tc_female_c,TRUE,-0.0192735230495917,0.00814913104978638,-2.36510162026379,0.0180251242395804,-0.035245819907173,-0.00330122619201043
targeting,full,same,bg,tc_female_c,pct_women,TWIN,ROW,tc_female_c,building_type::TWIN:tc_female_c,TRUE,-0.00841164643303408,0.0104351250137995,-0.80608966561593,0.420191149922043,-0.0288644914600811,0.012041198594013
targeting,full,same,tract,tc_black_c,pct_black,COMMERCIAL,ROW,tc_black_c,building_type::COMMERCIAL:tc_black_c,TRUE,0.00681486613393466,0.0464849722446414,0.146603639947752,0.883444880467065,-0.0842956794655625,0.0979254117334318
targeting,full,same,tract,tc_black_c,pct_black,DETACHED,ROW,tc_black_c,building_type::DETACHED:tc_black_c,TRUE,-0.0106444032276375,0.0303265476149738,-0.350992910989372,0.725593666706616,-0.0700844365529862,0.0487956300977113
targeting,full,same,tract,tc_black_c,pct_black,HIGHRISE_MULTI,ROW,tc_black_c,building_type::HIGHRISE_MULTI:tc_black_c,TRUE,0.129563020878478,0.050260904219898,2.57780919164572,0.0099428884452271,0.0310516486074783,0.228074393149478
targeting,full,same,tract,tc_black_c,pct_black,LOWRISE_MULTI,ROW,tc_black_c,building_type::LOWRISE_MULTI:tc_black_c,TRUE,0.0302040230198586,0.0222644549777047,1.35660284745818,0.17490743652778,-0.0134343087364426,0.0738423547761598
targeting,full,same,tract,tc_black_c,pct_black,MIDRISE_MULTI,ROW,tc_black_c,building_type::MIDRISE_MULTI:tc_black_c,TRUE,0.075176880443692,0.0386824564668442,1.9434360511238,0.0519634949532473,-0.000640734231322701,0.150994495118707
targeting,full,same,tract,tc_black_c,pct_black,OTHER,ROW,tc_black_c,building_type::OTHER:tc_black_c,TRUE,0.0273565698307903,0.0644612209173987,0.424388018741459,0.671282857120478,-0.0989874231673112,0.153700562828892
targeting,full,same,tract,tc_black_c,pct_black,ROW,ROW,tc_black_c,,TRUE,-0.0142589247577182,0.00563647379406977,-2.52975978930662,0.0114140640248278,-0.025306413394095,-0.00321143612134146
targeting,full,same,tract,tc_black_c,pct_black,SMALL_MULTI_2_4,ROW,tc_black_c,building_type::SMALL_MULTI_2_4:tc_black_c,TRUE,-0.0014344575342,0.0107175286936752,-0.133842192094762,0.893527362862195,-0.0224408137738035,0.0195718987054035
targeting,full,same,tract,tc_black_c,pct_black,TWIN,ROW,tc_black_c,building_type::TWIN:tc_black_c,TRUE,-0.00304646978305431,0.0125917967998884,-0.241940831119616,0.808826011136229,-0.0277263915108355,0.0216334519447269
targeting,full,same,tract,tc_female_c,pct_women,COMMERCIAL,ROW,tc_female_c,building_type::COMMERCIAL:tc_female_c,TRUE,0.00412571692225254,0.0413437304811621,0.0997906302657517,0.920510546883557,-0.0769079948208252,0.0851594286653303
