term,estimate,std_error,t_value,p_value,sample,outcome,fe
tc_black_c,-0.0133872144823198,0.00716080134101959,-1.86951345872886,0.062320271068119,full,same,tract
tc_female_c,-0.00582633675769556,0.00583746280695725,-0.998094026526656,0.318868898918896,full,same,tract
tc_black_female_c,-0.00745365728630025,0.0077213579201551,-0.965329850445597,0.334993553897165,full,same,tract
tc_cov_c,-0.021124445218572,0.00553159914785105,-3.81886768255408,0.000156520206684836,full,same,tract
tenant_comp_missing,-0.0088468155185454,0.00378057590235088,-2.34007086408295,0.0197969540380267,full,same,tract
tc_black_c,-0.0146160022604507,0.00710587566067019,-2.05688967249283,0.0398934340287381,full,same,bg
tc_female_c,-0.00587211571931995,0.00575877842902979,-1.01968078676527,0.308067148827215,full,same,bg
tc_black_female_c,-0.00634526382757602,0.00790933235911399,-0.80225024559302,0.422552952273332,full,same,bg
tc_cov_c,-0.0189741623119053,0.00580679518000474,-3.26757905586913,0.00111268225081688,full,same,bg
tenant_comp_missing,-0.00572698371085517,0.00337829066953334,-1.69523118969697,0.0902679506106739,full,same,bg
tc_black_c,-0.0133872144823198,0.00716080134101959,-1.86951345872886,0.062320271068119,pre,same,tract
tc_female_c,-0.00582633675769556,0.00583746280695725,-0.998094026526656,0.318868898918896,pre,same,tract
tc_black_female_c,-0.00745365728630025,0.0077213579201551,-0.965329850445597,0.334993553897165,pre,same,tract
tc_cov_c,-0.021124445218572,0.00553159914785105,-3.81886768255408,0.000156520206684836,pre,same,tract
tenant_comp_missing,-0.0088468155185454,0.00378057590235088,-2.34007086408295,0.0197969540380267,pre,same,tract
tc_black_c,-0.0146160022604507,0.00710587566067019,-2.05688967249283,0.0398934340287381,pre,same,bg
tc_female_c,-0.00587211571931995,0.00575877842902979,-1.01968078676527,0.308067148827215,pre,same,bg
tc_black_female_c,-0.00634526382757602,0.00790933235911399,-0.80225024559302,0.422552952273332,pre,same,bg
tc_cov_c,-0.0189741623119053,0.00580679518000474,-3.26757905586913,0.00111268225081688,pre,same,bg
tenant_comp_missing,-0.00572698371085517,0.00337829066953334,-1.69523118969697,0.0902679506106739,pre,same,bg
tc_black_c,-0.0180117243276719,0.0110848376504467,-1.62489744059952,0.105013495613283,full,bw,tract
tc_female_c,0.00389848670770954,0.00865601255902651,0.450379049374667,0.652693991294699,full,bw,tract
tc_black_female_c,-0.0166883799056786,0.0114478596580882,-1.4577729290984,0.145729065089268,full,bw,tract
tc_cov_c,-0.0372466481040495,0.00928916475902107,-4.00968753061224,7.32054226494384e-05,full,bw,tract
tenant_comp_missing,-0.0216508346621396,0.00661816325394356,-3.2714265017924,0.00116790040706245,full,bw,tract
tc_black_c,-0.0244344445506614,0.0107832829189113,-2.26595599266058,0.0236158132058316,full,bw,bg
tc_female_c,0.00272841484604275,0.00873203895751654,0.312460223702292,0.754740253015135,full,bw,bg
tc_black_female_c,-0.0119916177659443,0.0120319844560647,-0.996645051340633,0.31911990672356,full,bw,bg
tc_cov_c,-0.0355232986171607,0.00944305787674658,-3.7618427294231,0.000176071568664924,full,bw,bg
tenant_comp_missing,-0.0149898782712736,0.00558129843972031,-2.68573315567493,0.00732802616830396,full,bw,bg
tc_black_c,-0.0180117243276719,0.0110848376504467,-1.62489744059952,0.105013495613283,pre,bw,tract
tc_female_c,0.00389848670770954,0.00865601255902651,0.450379049374667,0.652693991294699,pre,bw,tract
tc_black_female_c,-0.0166883799056786,0.0114478596580882,-1.4577729290984,0.145729065089268,pre,bw,tract
tc_cov_c,-0.0372466481040495,0.00928916475902107,-4.00968753061224,7.32054226494384e-05,pre,bw,tract
tenant_comp_missing,-0.0216508346621396,0.00661816325394356,-3.2714265017924,0.00116790040706245,pre,bw,tract
tc_black_c,-0.0244344445506614,0.0107832829189113,-2.26595599266058,0.0236158132058316,pre,bw,bg
tc_female_c,0.00272841484604275,0.00873203895751654,0.312460223702292,0.754740253015135,pre,bw,bg
tc_black_female_c,-0.0119916177659443,0.0120319844560647,-0.996645051340633,0.31911990672356,pre,bw,bg
tc_cov_c,-0.0355232986171607,0.00944305787674658,-3.7618427294231,0.000176071568664924,pre,bw,bg
tenant_comp_missing,-0.0149898782712736,0.00558129843972031,-2.68573315567493,0.00732802616830396,pre,bw,bg
