term,estimate,std_error,t_value,p_value,sample,outcome,fe,block,conf_low,conf_high
tc_black_c,-0.0236785163737587,0.00701287134568049,-3.37643672706804,0.00081010949909118,full,same,tract,targeting,-0.0374237442112925,-0.00993328853622492
tc_female_c,-0.00573058551799252,0.00631092966006961,-0.908041418089473,0.364431835586762,full,same,tract,targeting,-0.018100007651729,0.00663883661574391
tc_black_female_c,-0.00594218229729531,0.00782215358451066,-0.759660652670123,0.447928461542978,full,same,tract,targeting,-0.0212736033229362,0.00938923872834558
tc_cov_c,-0.0166647780970149,0.00534098399705728,-3.12017001103106,0.00194553227147644,full,same,tract,targeting,-0.0271331067312472,-0.00619644946278264
tenant_comp_missing,-0.000814453999400492,0.00336365443632728,-0.242133671819684,0.808807209485867,full,same,tract,targeting,-0.00740721669460196,0.00577830869580097
num_units_bin::2-5:tc_black_c,0.022266128309521,0.00872679794907045,2.55146600614178,0.0111179331862629,full,same,tract,targeting,0.00516160432934296,0.0393706522896991
num_units_bin::21-50:tc_black_c,0.0606986902542503,0.0343199453132494,1.76861267406557,0.0777607389437813,full,same,tract,targeting,-0.0065684025597186,0.127965783068219
num_units_bin::51+:tc_black_c,0.0926704734644956,0.0502693863258193,1.84347731766318,0.066037843720769,full,same,tract,targeting,-0.00585752373411022,0.191198470663101
num_units_bin::6-20:tc_black_c,0.066444042766433,0.0221153933035934,3.00442510129978,0.00283718643719137,full,same,tract,targeting,0.02309787189139,0.109790213641476
num_units_bin::2-5:tc_female_c,-0.01016070924863,0.00781897541619894,-1.29949369422234,0.194562357522355,full,same,tract,targeting,-0.0254859010643799,0.00516448256711992
num_units_bin::21-50:tc_female_c,0.0293025837309787,0.0502206100915179,0.583477255206182,0.559918203280289,full,same,tract,targeting,-0.0691298120483963,0.127734979510354
num_units_bin::51+:tc_female_c,0.0185358533818362,0.0861907531441642,0.21505617140661,0.829838894382152,full,same,tract,targeting,-0.150398022780726,0.187469729544398
num_units_bin::6-20:tc_female_c,0.0446484141486278,0.0314979735832574,1.41750116180047,0.157155865918636,full,same,tract,targeting,-0.0170876140745567,0.106384442371812
tc_black_c,-0.0225402415666934,0.00723738688849629,-3.11441711130861,0.00188284261075828,full,same,bg,targeting,-0.0367255198681462,-0.0083549632652407
tc_female_c,-0.00503675507944711,0.00629742732084965,-0.799811545703961,0.423964226686669,full,same,bg,targeting,-0.0173797126283124,0.0073062024694182
tc_black_female_c,-0.00587261829904136,0.00787336715492918,-0.745883963427866,0.455870619166334,full,same,bg,targeting,-0.0213044179227026,0.00955918132461984
tc_cov_c,-0.0157265547475346,0.00571648888034755,-2.75108638828988,0.00602119344915459,full,same,bg,targeting,-0.0269308729530158,-0.0045222365420534
tenant_comp_missing,0.00013165388085175,0.00331766770370933,0.0396826604136858,0.968352140212733,full,same,bg,targeting,-0.00637097481841854,0.00663428258012204
num_units_bin::2-5:tc_black_c,0.021889252596352,0.00791221370022932,2.76651433159819,0.00574513782965357,full,same,bg,targeting,0.00638131374390251,0.0373971914488015
num_units_bin::21-50:tc_black_c,0.0692126715580272,0.0341896128634095,2.02437716491666,0.0431328610164505,full,same,bg,targeting,0.00220103034574462,0.13622431277031
num_units_bin::51+:tc_black_c,0.0787690039095741,0.0470087884892642,1.67562293011578,0.0940494448944566,full,same,bg,targeting,-0.0133682215293838,0.170906229348532
num_units_bin::6-20:tc_black_c,0.0694844995932939,0.0232418061812725,2.98963424147656,0.00284493487996899,full,same,bg,targeting,0.0239305594779998,0.115038439708588
num_units_bin::2-5:tc_female_c,-0.0101845345883776,0.00784684082201767,-1.29791527818438,0.194543712100501,full,same,bg,targeting,-0.0255643425995322,0.00519527342277702
num_units_bin::21-50:tc_female_c,0.0249417397270765,0.0507787644286552,0.491184454913628,0.623377831994118,full,same,bg,targeting,-0.0745846385530876,0.124468118007241
num_units_bin::51+:tc_female_c,-0.0107077157467052,0.0786829983870426,-0.136086778163102,0.891773477532901,full,same,bg,targeting,-0.164926392585309,0.143510961091898
num_units_bin::6-20:tc_female_c,0.0492731730370239,0.02929752098736,1.68182055602186,0.0928407135620076,full,same,bg,targeting,-0.00814996809820179,0.10669631417225
tc_black_c,-0.0236785163737587,0.00701287134568049,-3.37643672706804,0.00081010949909118,pre,same,tract,targeting,-0.0374237442112925,-0.00993328853622492
tc_female_c,-0.00573058551799252,0.00631092966006961,-0.908041418089473,0.364431835586762,pre,same,tract,targeting,-0.018100007651729,0.00663883661574391
tc_black_female_c,-0.00594218229729531,0.00782215358451066,-0.759660652670123,0.447928461542978,pre,same,tract,targeting,-0.0212736033229362,0.00938923872834558
tc_cov_c,-0.0166647780970149,0.00534098399705728,-3.12017001103106,0.00194553227147644,pre,same,tract,targeting,-0.0271331067312472,-0.00619644946278264
