block,sample,outcome,fe,group_var,group_level,ref_group_level,slope_var,slope_label,base_term,interaction_term,estimable,estimate,std_error,stat_value,p_value,conf_low,conf_high,num_units_bin,ref_num_units_bin
targeting,full,bw,bg,num_units_bin,1,1,tc_black_c,pct_black,tc_black_c,,TRUE,-0.0349502722941859,0.0104347522607606,-3.34941083609765,0.00080983616407091,-0.0554023867252767,-0.0144981578630952,1,1
targeting,full,bw,bg,num_units_bin,2-5,1,tc_black_c,pct_black,tc_black_c,num_units_bin::2-5:tc_black_c,TRUE,0.00474042484918359,0.0147641400999398,0.321076934863476,0.748152088989598,-0.0241972897466983,0.0336781394450655,2-5,1
targeting,full,bw,bg,num_units_bin,21-50,1,tc_black_c,pct_black,tc_black_c,num_units_bin::21-50:tc_black_c,TRUE,0.0964179229514264,0.0551032100977139,1.74976961923724,0.0801580750109897,-0.0115843688400927,0.204420214742946,21-50,1
targeting,full,bw,bg,num_units_bin,51+,1,tc_black_c,pct_black,tc_black_c,num_units_bin::51+:tc_black_c,TRUE,0.0207767624510868,0.0749726885779807,0.277124414839097,0.781684575377447,-0.126169707161755,0.167723232063929,51+,1
targeting,full,bw,bg,num_units_bin,6-20,1,tc_black_c,pct_black,tc_black_c,num_units_bin::6-20:tc_black_c,TRUE,0.0965967878479274,0.0422817241999728,2.28459907148227,0.0223363474366145,0.0137246084159806,0.179468967279874,6-20,1
targeting,full,bw,bg,num_units_bin,1,1,tc_female_c,pct_women,tc_female_c,,TRUE,0.00381910782380396,0.0093635411479085,0.407870031591309,0.683369095509815,-0.0145334328260967,0.0221716484737046,1,1
targeting,full,bw,bg,num_units_bin,2-5,1,tc_female_c,pct_women,tc_female_c,num_units_bin::2-5:tc_female_c,TRUE,-0.00928511882236894,0.0117389229483158,-0.790968546539533,0.428962346259739,-0.032293407801068,0.0137231701563301,2-5,1
targeting,full,bw,bg,num_units_bin,21-50,1,tc_female_c,pct_women,tc_female_c,num_units_bin::21-50:tc_female_c,TRUE,0.0522888996444415,0.0783955073685953,0.666988471655559,0.50477949722644,-0.101366294798005,0.205944094086888,21-50,1
targeting,full,bw,bg,num_units_bin,51+,1,tc_female_c,pct_women,tc_female_c,num_units_bin::51+:tc_female_c,TRUE,-0.0567590784497197,0.139474221932803,-0.406950314281484,0.684044480878378,-0.330128553438014,0.216610396538575,51+,1
targeting,full,bw,bg,num_units_bin,6-20,1,tc_female_c,pct_women,tc_female_c,num_units_bin::6-20:tc_female_c,TRUE,0.0559798835207982,0.0494920841548529,1.13108761687316,0.258018215753995,-0.0410246014227135,0.15298436846431,6-20,1
targeting,full,bw,tract,num_units_bin,1,1,tc_black_c,pct_black,tc_black_c,,TRUE,-0.0329149661036641,0.0100782151997663,-3.2659519023197,0.00109096777982937,-0.052668267895206,-0.0131616643121222,1,1
targeting,full,bw,tract,num_units_bin,2-5,1,tc_black_c,pct_black,tc_black_c,num_units_bin::2-5:tc_black_c,TRUE,0.00728100363077216,0.0155682577056428,0.467682625020596,0.640011568109919,-0.0232327814722878,0.0377947887338321,2-5,1
targeting,full,bw,tract,num_units_bin,21-50,1,tc_black_c,pct_black,tc_black_c,num_units_bin::21-50:tc_black_c,TRUE,0.0886650560314192,0.0546866691916649,1.62132851281667,0.104947203174219,-0.018520815584244,0.195850927647082,21-50,1
targeting,full,bw,tract,num_units_bin,51+,1,tc_black_c,pct_black,tc_black_c,num_units_bin::51+:tc_black_c,TRUE,0.045290955265224,0.0761809066757259,0.594518459303865,0.552165399692754,-0.104023621819199,0.194605532349647,51+,1
targeting,full,bw,tract,num_units_bin,6-20,1,tc_black_c,pct_black,tc_black_c,num_units_bin::6-20:tc_black_c,TRUE,0.0783505492570898,0.0383526159500666,2.04289974272156,0.0410623638079268,0.00317942199495916,0.15352167651922,6-20,1
targeting,full,bw,tract,num_units_bin,1,1,tc_female_c,pct_women,tc_female_c,,TRUE,0.00389686566007337,0.00943122286134303,0.41318774005924,0.679469069758249,-0.014588331148159,0.0223820624683057,1,1
targeting,full,bw,tract,num_units_bin,2-5,1,tc_female_c,pct_women,tc_female_c,num_units_bin::2-5:tc_female_c,TRUE,-0.0107851748864238,0.0119233880349045,-0.904539452616264,0.365709424292033,-0.0341550154348365,0.0125846656619889,2-5,1
targeting,full,bw,tract,num_units_bin,21-50,1,tc_female_c,pct_women,tc_female_c,num_units_bin::21-50:tc_female_c,TRUE,0.0465456179141228,0.0797278806157897,0.583806035663071,0.559350817045342,-0.109721028092825,0.202812263921071,21-50,1
targeting,full,bw,tract,num_units_bin,51+,1,tc_female_c,pct_women,tc_female_c,num_units_bin::51+:tc_female_c,TRUE,-0.00771898370441032,0.154662178819681,-0.0499086703893512,0.960195167944407,-0.310856854190984,0.295418886782163,51+,1
targeting,full,bw,tract,num_units_bin,6-20,1,tc_female_c,pct_women,tc_female_c,num_units_bin::6-20:tc_female_c,TRUE,0.054447837888753,0.0485950733865779,1.12043946215732,0.262526536517455,-0.0407985059489397,0.149694181726446,6-20,1
targeting,full,same,bg,num_units_bin,1,1,tc_black_c,pct_black,tc_black_c,,TRUE,-0.0225402415666934,0.00723738688849629,-3.11441711130861,0.00184308733966041,-0.0367255198681462,-0.0083549632652407,1,1
targeting,full,same,bg,num_units_bin,2-5,1,tc_black_c,pct_black,tc_black_c,num_units_bin::2-5:tc_black_c,TRUE,-0.000650988970341455,0.00945847041444436,-0.0688260301948301,0.945128098113895,-0.0191895909826524,0.0178876130419695,2-5,1
targeting,full,same,bg,num_units_bin,21-50,1,tc_black_c,pct_black,tc_black_c,num_units_bin::21-50:tc_black_c,TRUE,0.0466724299913338,0.0339308085005913,1.37551776847641,0.168970980907225,-0.0198319546698252,0.113176814652493,21-50,1
targeting,full,same,bg,num_units_bin,51+,1,tc_black_c,pct_black,tc_black_c,num_units_bin::51+:tc_black_c,TRUE,0.0562287623428806,0.0472906504786327,1.18900378349176,0.234438178096616,-0.0364609125952395,0.148918437281001,51+,1
targeting,full,same,bg,num_units_bin,6-20,1,tc_black_c,pct_black,tc_black_c,num_units_bin::6-20:tc_black_c,TRUE,0.0469442580266005,0.0236428220746835,1.98556068638134,0.0470821253821215,0.000604326760220875,0.09328418929298,6-20,1
targeting,full,same,bg,num_units_bin,1,1,tc_female_c,pct_women,tc_female_c,,TRUE,-0.00503675507944711,0.00629742732084965,-0.799811545703961,0.423819992632571,-0.0173797126283124,0.0073062024694182,1,1
targeting,full,same,bg,num_units_bin,2-5,1,tc_female_c,pct_women,tc_female_c,num_units_bin::2-5:tc_female_c,TRUE,-0.0152212896678247,0.00744847468936881,-2.04354452456555,0.0409985644968666,-0.0298203000589876,-0.000622279276661846,2-5,1
targeting,full,same,bg,num_units_bin,21-50,1,tc_female_c,pct_women,tc_female_c,num_units_bin::21-50:tc_female_c,TRUE,0.0199049846476294,0.0508532572939928,0.391420052653751,0.695486772443095,-0.0797673996485965,0.119577368943855,21-50,1
targeting,full,same,bg,num_units_bin,51+,1,tc_female_c,pct_women,tc_female_c,num_units_bin::51+:tc_female_c,TRUE,-0.0157444708261523,0.0785909268412229,-0.200334459192227,0.841219014228007,-0.169782687434949,0.138293745782645,51+,1
targeting,full,same,bg,num_units_bin,6-20,1,tc_female_c,pct_women,tc_female_c,num_units_bin::6-20:tc_female_c,TRUE,0.0442364179575768,0.0291340934317771,1.51837290084775,0.128920419212615,-0.0128664051687064,0.10133924108386,6-20,1
targeting,full,same,tract,num_units_bin,1,1,tc_black_c,pct_black,tc_black_c,,TRUE,-0.0236785163737587,0.00701287134568049,-3.37643672706804,0.000734312594283935,-0.0374237442112925,-0.00993328853622492,1,1
targeting,full,same,tract,num_units_bin,2-5,1,tc_black_c,pct_black,tc_black_c,num_units_bin::2-5:tc_black_c,TRUE,-0.00141238806423764,0.00985325409507076,-0.143342295916657,0.88601985340022,-0.0207247660905763,0.0178999899621011,2-5,1
targeting,full,same,tract,num_units_bin,21-50,1,tc_black_c,pct_black,tc_black_c,num_units_bin::21-50:tc_black_c,TRUE,0.0370201738804916,0.0343315859059537,1.07831237339,0.280894377041839,-0.0302697344951776,0.104310082256161,21-50,1
targeting,full,same,tract,num_units_bin,51+,1,tc_black_c,pct_black,tc_black_c,num_units_bin::51+:tc_black_c,TRUE,0.0689919570907369,0.0500935402344763,1.37726255257268,0.168431088473058,-0.0291913817688367,0.167175295950311,51+,1
targeting,full,same,tract,num_units_bin,6-20,1,tc_black_c,pct_black,tc_black_c,num_units_bin::6-20:tc_black_c,TRUE,0.0427655263926743,0.022307340075721,1.91710559159044,0.0552245184173701,-0.000956860155738856,0.0864879129410875,6-20,1
targeting,full,same,tract,num_units_bin,1,1,tc_female_c,pct_women,tc_female_c,,TRUE,-0.00573058551799252,0.00631092966006961,-0.908041418089473,0.363856339410061,-0.018100007651729,0.00663883661574391,1,1
targeting,full,same,tract,num_units_bin,2-5,1,tc_female_c,pct_women,tc_female_c,num_units_bin::2-5:tc_female_c,TRUE,-0.0158912947666225,0.0075877194832509,-2.09434399910288,0.036229347505247,-0.0307632249537943,-0.00101936457945077,2-5,1
targeting,full,same,tract,num_units_bin,21-50,1,tc_female_c,pct_women,tc_female_c,num_units_bin::21-50:tc_female_c,TRUE,0.0235719982129862,0.0505079112873068,0.466699129150291,0.640715152901074,-0.0754235079101351,0.122567504336108,21-50,1
targeting,full,same,tract,num_units_bin,51+,1,tc_female_c,pct_women,tc_female_c,num_units_bin::51+:tc_female_c,TRUE,0.0128052678638436,0.0861217020328392,0.148688049139587,0.881799791811986,-0.155993268120521,0.181603803848208,51+,1
targeting,full,same,tract,num_units_bin,6-20,1,tc_female_c,pct_women,tc_female_c,num_units_bin::6-20:tc_female_c,TRUE,0.0389178286306353,0.0311325877497328,1.25006725889561,0.211274978814993,-0.0221020433588409,0.0999377006201115,6-20,1
targeting,pre,bw,bg,num_units_bin,1,1,tc_black_c,pct_black,tc_black_c,,TRUE,-0.0349502722941859,0.0104347522607606,-3.34941083609765,0.00080983616407091,-0.0554023867252767,-0.0144981578630952,1,1
targeting,pre,bw,bg,num_units_bin,2-5,1,tc_black_c,pct_black,tc_black_c,num_units_bin::2-5:tc_black_c,TRUE,0.00474042484918359,0.0147641400999398,0.321076934863476,0.748152088989598,-0.0241972897466983,0.0336781394450655,2-5,1
targeting,pre,bw,bg,num_units_bin,21-50,1,tc_black_c,pct_black,tc_black_c,num_units_bin::21-50:tc_black_c,TRUE,0.0964179229514264,0.0551032100977139,1.74976961923724,0.0801580750109897,-0.0115843688400927,0.204420214742946,21-50,1
