building_type,high_filing_longrun,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_black,mean_case_p_white
COMMERCIAL,low_or_mid_filing,1276,0.0697492163009405,0.163009404388715,0.767241379310345,0.427858031482007,0.448767729282131
COMMERCIAL,high_filing,566,0.0618374558303887,0.146643109540636,0.791519434628975,0.40709760485629,0.52011544790482
COMMERCIAL,missing,14,0.0714285714285714,0,0.928571428571429,0.508019426385176,0.417679439593675
DETACHED,low_or_mid_filing,1008,0.106150793650794,0.114087301587302,0.779761904761905,0.485030221586915,0.441452188592289
DETACHED,high_filing,1091,0.100824931255729,0.118240146654445,0.780934922089826,0.540707397129068,0.399735603886633
DETACHED,missing,2,0,0,1,0.515189756376516,0.344956191050759
HIGHRISE_MULTI,low_or_mid_filing,11099,0.174880619875664,0.208577349310749,0.616542030813587,0.523133404974686,0.406464057346865
HIGHRISE_MULTI,high_filing,14022,0.468763371844245,0.284124946512623,0.247111681643132,0.581253718564872,0.350002939635941
HIGHRISE_MULTI,missing,8,0,0,1,0.329466678965743,0.169383957878699
LOWRISE_MULTI,low_or_mid_filing,18026,0.176744702096971,0.187395983579274,0.635859314323755,0.464526463538722,0.466626670536323
LOWRISE_MULTI,high_filing,52513,0.304019956963038,0.246281873060004,0.449698169976958,0.498331248443908,0.444523534226093
LOWRISE_MULTI,missing,284,0.0950704225352113,0.112676056338028,0.792253521126761,0.614833654389045,0.347471775187599
MIDRISE_MULTI,low_or_mid_filing,3865,0.184217335058215,0.210090556274256,0.605692108667529,0.335854893397493,0.579812238792591
MIDRISE_MULTI,high_filing,4091,0.32094842336837,0.225372769494011,0.453678807137619,0.461101055651571,0.445983012022277
MIDRISE_MULTI,missing,160,0.05625,0.01875,0.925,0.422404771132802,0.48158744751655
OTHER,low_or_mid_filing,3252,0.0630381303813038,0.0750307503075031,0.861931119311193,0.315497072358472,0.587259866051396
OTHER,high_filing,1443,0.0221760221760222,0.0408870408870409,0.936936936936937,0.601733107551336,0.322727953951675
OTHER,missing,73,0.0821917808219178,0.0410958904109589,0.876712328767123,0.446050711216714,0.397880227464532
ROW,low_or_mid_filing,47181,0.0921769356308684,0.0948263071999322,0.8129967571692,0.626054259408813,0.277895155718074
ROW,high_filing,61440,0.0896158854166667,0.099267578125,0.811116536458333,0.657757928719433,0.256778271361006
ROW,missing,146,0.0410958904109589,0.0616438356164384,0.897260273972603,0.702163963838983,0.246642457821364
SMALL_MULTI_2_4,low_or_mid_filing,16977,0.105083348059139,0.111503799257819,0.783412852683042,0.528497004248396,0.401416360355867
SMALL_MULTI_2_4,high_filing,17583,0.108400159244725,0.116078029915259,0.775521810840016,0.598456845289439,0.338689704300842
SMALL_MULTI_2_4,missing,5,0.2,0.2,0.6,0.715893412021459,0.284098581431676
TWIN,low_or_mid_filing,8880,0.10990990990991,0.117342342342342,0.772747747747748,0.584775620275903,0.354568574008785
TWIN,high_filing,10749,0.109963717555121,0.117964461810401,0.772071820634478,0.624999111123292,0.325350771897448
TWIN,missing,1,0,0,1,0.999983506767402,0
