building_type,filing_rate_longrun_pre2019_cuts,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_black,mean_case_p_white
COMMERCIAL,0,281,0.0889679715302491,0.202846975088968,0.708185053380783,0.420168592249511,0.43956841908438
COMMERCIAL,(0-5%],701,0.0556348074179743,0.144079885877318,0.800285306704708,0.394627216660967,0.488016813133543
COMMERCIAL,(5-10%],294,0.0850340136054422,0.170068027210884,0.744897959183674,0.514441479148266,0.363976567328827
COMMERCIAL,(10-20%],169,0.0414201183431953,0.142011834319527,0.816568047337278,0.344174237914468,0.542465393006856
COMMERCIAL,20%+,397,0.0705289672544081,0.148614609571788,0.780856423173804,0.433883622521701,0.510601239536446
COMMERCIAL,missing,14,0.0714285714285714,0,0.928571428571429,0.508019426385176,0.417679439593675
DETACHED,0,334,0.0808383233532934,0.119760479041916,0.79940119760479,0.53010321366847,0.383881735540318
DETACHED,(0-5%],116,0.0862068965517242,0.0517241379310345,0.862068965517241,0.439482718424008,0.526876169506147
DETACHED,(5-10%],559,0.125223613595707,0.123434704830054,0.75134168157424,0.466699926908242,0.45910627018597
DETACHED,(10-20%],382,0.128272251308901,0.12565445026178,0.746073298429319,0.534706669603021,0.38659084448732
DETACHED,20%+,708,0.0861581920903955,0.114406779661017,0.799435028248588,0.544695703382638,0.405993088954874
DETACHED,missing,2,0,0,1,0.515189756376516,0.344956191050759
HIGHRISE_MULTI,0,2234,0.103401969561325,0.136078782452999,0.760519247985676,0.793861603630573,0.170092491576949
HIGHRISE_MULTI,(0-5%],7219,0.196287574456296,0.22565452278709,0.578057902756615,0.486653533390457,0.441063487927061
HIGHRISE_MULTI,(5-10%],1646,0.178007290400972,0.232077764277035,0.589914945321993,0.315685894141949,0.575528934972345
HIGHRISE_MULTI,(10-20%],3897,0.317936874518861,0.316653836284321,0.365409289196818,0.399131283622167,0.514215907056728
HIGHRISE_MULTI,20%+,10125,0.526814814814815,0.271604938271605,0.20158024691358,0.651350620191709,0.286799193064206
HIGHRISE_MULTI,missing,8,0,0,1,0.329466678965743,0.169383957878699
LOWRISE_MULTI,0,1999,0.0860430215107554,0.117058529264632,0.796898449224612,0.626823152094261,0.326028798822343
LOWRISE_MULTI,(0-5%],7637,0.16943826109729,0.180568285976169,0.649993452926542,0.463100662850176,0.476727046468184
LOWRISE_MULTI,(5-10%],8479,0.204269371388135,0.210284231631089,0.585446396980776,0.424808714409084,0.493285840610892
LOWRISE_MULTI,(10-20%],13905,0.217331895001798,0.224163969795038,0.558504135203164,0.451108091005705,0.48717440449628
LOWRISE_MULTI,20%+,38519,0.335704457540435,0.254367974246476,0.40992756821309,0.516059413358388,0.428501517591805
LOWRISE_MULTI,missing,284,0.0950704225352113,0.112676056338028,0.792253521126761,0.614833654389045,0.347471775187599
