building_type,num_units_bin,high_filing_longrun,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_black,mean_case_p_white
COMMERCIAL,1,low_or_mid_filing,192,0.0572916666666667,0.151041666666667,0.791666666666667,0.508495934383496,0.387503903924823
COMMERCIAL,1,high_filing,77,0.025974025974026,0.12987012987013,0.844155844155844,0.633804778253537,0.191198641261411
COMMERCIAL,2-5,low_or_mid_filing,308,0.0649350649350649,0.107142857142857,0.827922077922078,0.464903838076032,0.370194589265255
COMMERCIAL,2-5,high_filing,178,0.0786516853932584,0.123595505617978,0.797752808988764,0.47544529724371,0.458165196797214
COMMERCIAL,21-50,low_or_mid_filing,213,0.07981220657277,0.187793427230047,0.732394366197183,0.264470846461193,0.578060919909796
COMMERCIAL,21-50,missing,10,0,0,1,0.616362373322338,0.379255855526885
COMMERCIAL,51+,low_or_mid_filing,151,0.033112582781457,0.19205298013245,0.774834437086093,0.259502298693958,0.62297308049484
COMMERCIAL,51+,missing,3,0.333333333333333,0,0.666666666666667,0.193597327301238,0.474278097378234
COMMERCIAL,6-20,low_or_mid_filing,412,0.087378640776699,0.186893203883495,0.725728155339806,0.508757546706238,0.405366573837931
COMMERCIAL,6-20,high_filing,311,0.0610932475884244,0.163987138263666,0.77491961414791,0.311848918050667,0.63700849873664
COMMERCIAL,6-20,missing,1,0,0,1,0.367856254265366,0.632119306907891
DETACHED,1,low_or_mid_filing,708,0.100282485875706,0.11864406779661,0.781073446327684,0.471309717362652,0.440432123769766
DETACHED,1,high_filing,858,0.0955710955710956,0.12004662004662,0.784382284382284,0.572616877315296,0.362951065378755
DETACHED,2-5,low_or_mid_filing,254,0.114173228346457,0.118110236220472,0.767716535433071,0.507514824734977,0.446926994581592
DETACHED,2-5,high_filing,233,0.120171673819742,0.111587982832618,0.76824034334764,0.423203817730853,0.535191114786885
DETACHED,2-5,missing,1,0,0,1,0.0303795127530323,0.689912382101517
DETACHED,6-20,low_or_mid_filing,46,0.152173913043478,0.0217391304347826,0.826086956521739,0.572052564873221,0.426921866267577
DETACHED,6-20,missing,1,0,0,1,1,0
HIGHRISE_MULTI,1,low_or_mid_filing,4,0,0,1,0.190674271742872,0.809246565912096
HIGHRISE_MULTI,1,high_filing,322,0.248447204968944,0.254658385093168,0.496894409937888,0.293951414185459,0.669343607468951
HIGHRISE_MULTI,2-5,low_or_mid_filing,36,0.0555555555555556,0.111111111111111,0.833333333333333,0.758006689047853,0.235657181191286
HIGHRISE_MULTI,2-5,high_filing,481,0.182952182952183,0.355509355509356,0.461538461538462,0.599397758925642,0.318234404468348
HIGHRISE_MULTI,21-50,low_or_mid_filing,1429,0.226032190342897,0.202939118264521,0.571028691392582,0.559318827096404,0.394212004703588
HIGHRISE_MULTI,21-50,high_filing,1073,0.398881640260951,0.255358807082945,0.345759552656104,0.506351847920167,0.441027699301165
