retaliatory_status,building_type,n_cases,mean_case_p_black,mean_case_p_white
non_retaliatory,COMMERCIAL,1440,0.431170042313725,0.465222566705528
non_retaliatory,DETACHED,1640,0.521421310141879,0.413945589143354
non_retaliatory,HIGHRISE_MULTI,10316,0.521274968655541,0.40366907860757
non_retaliatory,LOWRISE_MULTI,35302,0.489035452423996,0.443794000427707
non_retaliatory,MIDRISE_MULTI,4345,0.348845535961876,0.542828698467074
non_retaliatory,OTHER,4219,0.406307795479413,0.507402739812038
non_retaliatory,ROW,88324,0.648413050306034,0.264438670112862
non_retaliatory,SMALL_MULTI_2_4,26939,0.561247918628542,0.37422519085678
non_retaliatory,TWIN,15162,0.603257465335877,0.341919404046197
plausibly_retaliatory,COMMERCIAL,291,0.366735925959143,0.490865322889945
plausibly_retaliatory,DETACHED,244,0.464459380298918,0.466380498078372
plausibly_retaliatory,HIGHRISE_MULTI,6299,0.546267224560707,0.383973362332415
plausibly_retaliatory,LOWRISE_MULTI,16343,0.501506106562272,0.442569204860585
plausibly_retaliatory,MIDRISE_MULTI,1737,0.399697661434621,0.516984843077381
plausibly_retaliatory,OTHER,306,0.418179905502407,0.441854695617648
plausibly_retaliatory,ROW,10582,0.607644305863175,0.295694222175958
plausibly_retaliatory,SMALL_MULTI_2_4,3935,0.562248810078208,0.364698245996952
plausibly_retaliatory,TWIN,2310,0.599634305407755,0.343270066718933
retaliatory,COMMERCIAL,125,0.446970792825757,0.480785385724045
retaliatory,DETACHED,217,0.513334450297521,0.410680435931896
retaliatory,HIGHRISE_MULTI,8514,0.603808223256282,0.33327959120078
retaliatory,LOWRISE_MULTI,19178,0.48268806956467,0.46687007935762
retaliatory,MIDRISE_MULTI,2034,0.512300714536306,0.435571007597986
retaliatory,OTHER,243,0.348491420632795,0.529099104651563
retaliatory,ROW,9861,0.644204724930086,0.247289400170548
retaliatory,SMALL_MULTI_2_4,3691,0.58700435419055,0.340045271986363
retaliatory,TWIN,2158,0.639563485684203,0.309837129775023
