buyer,n_acquisitions,n_pids,total_units_acquired,median_price_per_unit
DEUTSCHE BANK NATIONAL TRUST COMPANY TR,171,169,187,10000
FANNIE MAE,143,141,155,10000
STATESIDE-PHILLY LLC,113,113,127,22625
GIOVANNI REAL ESTATE LLC,103,101,117,21000
US BANK NATIONAL ASSOCIATION TR,86,85,98,9650
FEDERAL HOME LOAN MORTGAGE CORPORATION,85,84,87,9700
FEDERAL NATIONAL MORTGAGE ASSOCIATION,84,83,88,14450
GULLE JEAN PAUL,82,82,87,32000
PHILLY SFR II LLC,52,52,66,388715.55
PHILLY ACQUISITIONS LLC,49,47,51,30000
U S BANK NATIONAL ASSOCIATION TR,49,48,68,25000
GREEN HOMES REAL ESTATE L P,49,49,56,22215.04
RAD DIVERSIFIED REIT INC,44,44,52,207083.5
GILLER REALTY LLC,41,41,62,44600
PHILLY SFR I LLC,38,38,66,294433.92
SPECTOR MARK,37,37,37,27000
GREEN HOMES REAL ESTATE LP,36,35,48,14020
WELLS FARGO BANK NA,36,35,39,8452.6
HOME 4 RENT,32,32,37,28300
BANK OF NEW YORK TR,31,31,37,13600
