term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.006232,0.013652,-0.46,0.6481,2plus_highfiler_portfolio_10plus_otherunits,450595,0.5112,691,9394,4934,32976
event_time::-1,-0.026994,0.015028,-1.8,0.0725,2plus_highfiler_portfolio_10plus_otherunits,450595,0.5112,691,9394,4934,32976
event_time::0,-0.012373,0.014316,-0.86,0.3874,2plus_highfiler_portfolio_10plus_otherunits,450595,0.5112,691,9394,4934,32976
event_time::1,0.040183,0.01928,2.08,0.0371,2plus_highfiler_portfolio_10plus_otherunits,450595,0.5112,691,9394,4934,32976
event_time::2,0.018508,0.021623,0.86,0.3921,2plus_highfiler_portfolio_10plus_otherunits,450595,0.5112,691,9394,4934,32976
event_time::3,0.029899,0.015173,1.97,0.0488,2plus_highfiler_portfolio_10plus_otherunits,450595,0.5112,691,9394,4934,32976
event_time::4,2.9e-05,0.015643,0,0.9985,2plus_highfiler_portfolio_10plus_otherunits,450595,0.5112,691,9394,4934,32976
event_time::5,0.027145,0.017003,1.6,0.1104,2plus_highfiler_portfolio_10plus_otherunits,450595,0.5112,691,9394,4934,32976
event_time::-3,-0.003287,0.003706,-0.89,0.3751,2plus_lowfiler_portfolio_10plus_otherunits,455668,0.4987,1125,14472,7734,32976
event_time::-1,0.017156,0.009817,1.75,0.0805,2plus_lowfiler_portfolio_10plus_otherunits,455668,0.4987,1125,14472,7734,32976
event_time::0,0.000316,0.002926,0.11,0.914,2plus_lowfiler_portfolio_10plus_otherunits,455668,0.4987,1125,14472,7734,32976
event_time::1,0.00394,0.006255,0.63,0.5288,2plus_lowfiler_portfolio_10plus_otherunits,455668,0.4987,1125,14472,7734,32976
event_time::2,-0.006949,0.003753,-1.85,0.0641,2plus_lowfiler_portfolio_10plus_otherunits,455668,0.4987,1125,14472,7734,32976
event_time::3,-0.005288,0.004437,-1.19,0.2334,2plus_lowfiler_portfolio_10plus_otherunits,455668,0.4987,1125,14472,7734,32976
event_time::4,0.005427,0.004836,1.12,0.2618,2plus_lowfiler_portfolio_10plus_otherunits,455668,0.4987,1125,14472,7734,32976
event_time::5,-0.001976,0.003117,-0.63,0.5261,2plus_lowfiler_portfolio_10plus_otherunits,455668,0.4987,1125,14472,7734,32976
event_time::-3,-0.004741,0.003436,-1.38,0.1676,2plus_smallportfolio_lt10_otherunits,487303,0.4886,3479,46130,23444,32976
event_time::-1,-0.003301,0.003188,-1.04,0.3004,2plus_smallportfolio_lt10_otherunits,487303,0.4886,3479,46130,23444,32976
event_time::0,0.001324,0.003003,0.44,0.6593,2plus_smallportfolio_lt10_otherunits,487303,0.4886,3479,46130,23444,32976
event_time::1,0.007255,0.003234,2.24,0.0249,2plus_smallportfolio_lt10_otherunits,487303,0.4886,3479,46130,23444,32976
event_time::2,0.009286,0.003819,2.43,0.015,2plus_smallportfolio_lt10_otherunits,487303,0.4886,3479,46130,23444,32976
event_time::3,0.01246,0.005049,2.47,0.0136,2plus_smallportfolio_lt10_otherunits,487303,0.4886,3479,46130,23444,32976
event_time::4,0.017975,0.006632,2.71,0.0067,2plus_smallportfolio_lt10_otherunits,487303,0.4886,3479,46130,23444,32976
event_time::5,0.022142,0.007043,3.14,0.0017,2plus_smallportfolio_lt10_otherunits,487303,0.4886,3479,46130,23444,32976
event_time::-3,0.00013,0.001762,0.07,0.9412,2plus_singlepurchase,570594,0.4824,9624,129460,66045,32976
event_time::-1,0.001748,0.001753,1,0.3188,2plus_singlepurchase,570594,0.4824,9624,129460,66045,32976
event_time::0,0.001109,0.001808,0.61,0.5398,2plus_singlepurchase,570594,0.4824,9624,129460,66045,32976
event_time::1,0.006227,0.002405,2.59,0.0096,2plus_singlepurchase,570594,0.4824,9624,129460,66045,32976
event_time::2,0.008547,0.00312,2.74,0.0062,2plus_singlepurchase,570594,0.4824,9624,129460,66045,32976
event_time::3,0.009949,0.003614,2.75,0.0059,2plus_singlepurchase,570594,0.4824,9624,129460,66045,32976
event_time::4,0.009015,0.002743,3.29,0.001,2plus_singlepurchase,570594,0.4824,9624,129460,66045,32976
event_time::5,0.008879,0.002883,3.08,0.0021,2plus_singlepurchase,570594,0.4824,9624,129460,66045,32976
